"","Language","MeanPars","SDPars"
"1","Afrikaans",0.83199793421783,0.140315644352797
"2","Ancient_Greek",1.04140552124821,0.156472774076832
"3","Arabic",1.00429816149115,0.166491829717875
"4","Basque",1.19606927209213,0.0997334214665463
"5","Belarusian",1.76179192398483,0.157417713777982
"6","Bulgarian",0.550355342014684,0.0707487728315192
"7","Catalan",0.605007593731353,0.082750772350382
"8","Chinese",1.41328067139475,0.219323858113908
"9","Coptic",0.930227061181154,0.0945219980009871
"10","Croatian",0.945024009136687,0.14660585143845
"11","Czech",0.706153324630608,0.11868549309423
"12","Danish",0.801077622809649,0.10252236034812
"13","Dutch",0.703300807768027,0.0604064765690646
"14","English",0.749151980944793,0.103880731959342
"15","Estonian",1.01555850073748,0.134574333437898
"16","Finnish",1.02834256183116,0.104457002903884
"17","French",0.593258057788777,0.0632212337029213
"18","Galician",1.1422782331425,0.140507929614199
"19","German",0.615826648526891,0.103384874336894
"20","Gothic",1.09335032117632,0.150090485363394
"21","Greek",0.795456055238034,0.10944845617153
"22","Hebrew",0.884111294126368,0.0998997060719193
"23","Hindi",0.568172091362867,0.078810897634766
"24","Hungarian",1.20013119564598,0.102187858170971
"25","Indonesian",1.05391705014491,0.153205184350092
"26","Irish",2.391432326091,0.241796018573519
"27","Italian",0.62653056771186,0.0797323291211174
"28","Japanese",0.727451258948807,0.113611752013039
"29","Korean",1.73909850005891,0.125067849332597
"30","Latin",1.28304271530931,0.141371442323564
"31","Latvian",1.46731858348801,0.125002442666713
"32","Lithuanian",2.27342891666114,0.211788026566212
"33","Marathi",1.55259284069199,0.110698217424652
"34","Norwegian",0.673933738377202,0.078692681318295
"35","Old_Church_Slavonic",1.01864402301955,0.0953655992422423
"36","Persian",0.796307710472269,0.119696729151665
"37","Polish",0.514846253600892,0.0678642599606558
"38","Portuguese",0.57797377589898,0.0562676073811606
"39","Romanian",1.02465057117874,0.120925267968944
"40","Russian",0.958162196024947,0.108681359337509
"41","Serbian",0.948536056564647,0.10630813467766
"42","Slovak",0.722899621829325,0.0849971138509581
"43","Slovenian",0.873510678619763,0.085308044685062
"44","Spanish",0.659377140172818,0.0664778440803072
"45","Swedish",0.869454433895314,0.11571844877383
"46","Tamil",1.86448361947453,0.154876575663859
"47","Telugu",0.871444543326678,0.0668585638157005
"48","Turkish",1.88783910953663,0.155974854939117
"49","Ukrainian",1.02511562257123,0.122722023173303
"50","Urdu",0.836856523932766,0.105735547409021
"51","Vietnamese",1.41744437231055,0.225187021123784
