"","Language","MeanSurp","SDSurp"
"1","Afrikaans",6.38011969891299,0.101326271772331
"2","Ancient_Greek",7.26641076578856,0.0789686465542008
"3","Arabic",7.07158058833871,0.127275901543224
"4","Basque",8.27932606897901,0.0914275519102536
"5","Belarusian",8.9808132087046,0.167229368503072
"6","Bulgarian",7.28673319362068,0.0771579452260105
"7","Catalan",5.85259580815257,0.123501641184133
"8","Chinese",7.75562294219468,0.0400602394798732
"9","Coptic",5.00566458856399,0.325543369684325
"10","Croatian",7.82917653190101,0.0895550544947688
"11","Czech",7.02557266319252,0.138195233065575
"12","Danish",7.17049083436917,0.0783044212027484
"13","Dutch",6.78005755684638,0.0838097857461127
"14","English",6.51546050878617,0.0669667999971029
"15","Estonian",8.37501039353251,0.0880434347780951
"16","Finnish",7.96805177619448,0.07374742585187
"17","French",5.76362360387309,0.140797091593826
"18","Galician",6.18457747873795,0.0801798627621722
"19","German",7.08694113072453,0.0727887762285628
"20","Gothic",6.80376539088513,0.069505124717807
"21","Greek",7.04807249722254,0.0890185146006035
"22","Hebrew",6.64919960620321,0.0899036368418719
"23","Hindi",5.76299360441952,0.117288608259334
"24","Hungarian",8.60587453733722,0.0961409412735975
"25","Indonesian",7.80748390797324,0.0421490108770759
"26","Irish",8.29999336729624,0.434030412243263
"27","Italian",6.410034490975,0.097849012668152
"28","Japanese",6.2291660465728,0.110996449164277
"29","Korean",7.63445207415455,0.0813931980217411
"30","Latin",7.63537877227772,0.0856147514594482
"31","Latvian",8.57923255320806,0.0365104176033596
"32","Lithuanian",9.23419489702198,0.0639184582427363
"33","Marathi",7.25585245215825,0.249897128304634
"34","Norwegian",6.73598749977994,0.0845034131919734
"35","Old_Church_Slavonic",6.86044294796483,0.109969778341057
"36","Persian",6.94014644425756,0.0834909101768109
"37","Polish",8.24488607958232,0.100446644316233
"38","Portuguese",6.1171227973489,0.0999320334104921
"39","Romanian",7.17009551656995,0.105659063075954
"40","Russian",7.27214413085973,0.126522830428601
"41","Serbian",7.63688748710936,0.0882065717702305
"42","Slovak",9.01501902443795,0.124468801799475
"43","Slovenian",7.40314101543817,0.131247217867798
"44","Spanish",6.09512936738734,0.128984548806352
"45","Swedish",6.86276232354853,0.0865362707853061
"46","Tamil",9.03003544687876,0.0795472429359107
"47","Telugu",7.91515967582779,0.187499211349984
"48","Turkish",9.03525137927507,0.0665063038063265
"49","Ukrainian",8.86085234326748,0.0938829745802566
"50","Urdu",6.02064207650826,0.153138835334954
"51","Vietnamese",7.58545071751076,0.0461458335245588
