Language	Lambda	Quantile	Samples
Afrikaans	0.0	0.226415097713	53
Afrikaans	0.02	0.245283022523	53
Afrikaans	0.04	0.245283022523	53
Afrikaans	0.06	0.245283022523	53
Afrikaans	0.08	0.264150947332	53
Afrikaans	0.1	0.283018857241	53
Afrikaans	0.12	0.301886796951	53
Afrikaans	0.14	0.301886796951	53
Afrikaans	0.16	0.301886796951	53
Afrikaans	0.18	0.301886796951	53
Afrikaans	0.2	0.301886796951	53
Afrikaans	0.22	0.32075470686	53
Afrikaans	0.24	0.32075470686	53
Afrikaans	0.26	0.32075470686	53
Afrikaans	0.28	0.33962264657	53
Afrikaans	0.3	0.358490556479	53
Afrikaans	0.32	0.377358496189	53
Afrikaans	0.34	0.377358496189	53
Afrikaans	0.36	0.377358496189	53
Afrikaans	0.38	0.377358496189	53
Afrikaans	0.4	0.396226406097	53
Afrikaans	0.42	0.433962255716	53
Afrikaans	0.44	0.433962255716	53
Afrikaans	0.46	0.433962255716	53
Afrikaans	0.48	0.452830195427	53
Afrikaans	0.5	0.452830195427	53
Afrikaans	0.52	0.471698105335	53
Afrikaans	0.54	0.490566045046	53
Afrikaans	0.56	0.490566045046	53
Afrikaans	0.58	0.490566045046	53
Afrikaans	0.6	0.490566045046	53
Afrikaans	0.62	0.528301894665	53
Afrikaans	0.64	0.566037714481	53
Afrikaans	0.66	0.566037714481	53
Afrikaans	0.68	0.566037714481	53
Afrikaans	0.7	0.566037714481	53
Afrikaans	0.72	0.566037714481	53
Afrikaans	0.74	0.566037714481	53
Afrikaans	0.76	0.584905683994	53
Afrikaans	0.78	0.584905683994	53
Afrikaans	0.8	0.603773593903	53
Afrikaans	0.82	0.622641503811	53
Afrikaans	0.84	0.622641503811	53
Afrikaans	0.86	0.622641503811	53
Afrikaans	0.88	0.622641503811	53
Afrikaans	0.9	0.660377383232	53
Afrikaans	0.92	0.67924529314	53
Afrikaans	0.94	0.67924529314	53
Afrikaans	0.96	0.67924529314	53
Afrikaans	0.98	0.67924529314	53
Ancient_Greek	0.0	0.745454549789	55
Ancient_Greek	0.02	0.745454549789	55
Ancient_Greek	0.04	0.745454549789	55
Ancient_Greek	0.06	0.745454549789	55
Ancient_Greek	0.08	0.745454549789	55
Ancient_Greek	0.1	0.763636350632	55
Ancient_Greek	0.12	0.763636350632	55
Ancient_Greek	0.14	0.763636350632	55
Ancient_Greek	0.16	0.763636350632	55
Ancient_Greek	0.18	0.763636350632	55
Ancient_Greek	0.2	0.763636350632	55
Ancient_Greek	0.22	0.763636350632	55
Ancient_Greek	0.24	0.781818211079	55
