dependency	satisfiedFraction	posteriorMean	posteriorSD	posteriorOpposite
acl	0.48469387755102	-0.0944037342709553	0.164609376391934	0.7198
advmod	0.21078431372549	-1.45275339099939	0.32355783124037	1
aux	0.160714285714286	-2.61731408562089	0.54720197862208	1
lifted_case	0.470588235294118	-0.0850915769160605	0.122225529355	0.7711
lifted_cop	0.526595744680851	0.102295220518355	0.111872524160097	0.1831
lifted_mark	0.590686274509804	0.368490366609932	0.122604089988917	0.003
nmod	0.54656862745098	0.230005078375265	0.151345702409206	0.0531
nsubj	0.507352941176471	0.0795440814781612	0.279618964032572	0.3841
obl	0.718137254901961	1.06842596429039	0.288363060261998	1e-04
xcomp	0.778061224489796	1.41459412305312	0.482304136283201	0.0034
