Model	Fraction	RNN_Dim	Loss	UAS	LAS
5391401	0.01	200	1.10765029957	0.79136798988	0.735618336245
5391401	0.1	200	0.788864538557	0.838142280586	0.790223480513
5391401	0.5	200	0.699154549134	0.853051021023	0.807511595687
5391401	0.9	200	0.659635530036	0.859406059876	0.813655803867
5391401	0.6	200	0.678486693014	0.857207397145	0.811306547798
5391401	0.7	200	0.673631060682	0.856273718451	0.81055358111
5391401	0.3	200	0.723096210885	0.849105475574	0.80305403289
5391401	0.05	200	0.937289545859	0.812812481176	0.762333594362
5391401	0.4	200	0.708448978655	0.854165411722	0.808354918378
5391401	0.8	200	0.668134034287	0.857870007831	0.813023311849
5391401	0.2	200	0.74372753514	0.847147762183	0.799921691464
5391401	0.001	200	2.25149704047	0.620083127522	0.511384856334
4312811	0.3	800	0.92588813352	0.780705981567	0.738329016324
4312811	0.3	200	0.941535871723	0.775947232094	0.734052165532
4312811	0.2	200	0.960802667847	0.774953316065	0.732516113487
4312811	0.4	400	0.908211203083	0.784922595024	0.742485392446
4312811	0.8	400	0.878658999211	0.786850189748	0.746069513885
4312811	0.9	800	0.873095535769	0.788566953798	0.748750075297
4312811	0.7	400	0.876588714119	0.789500632492	0.749021143305
4312811	0.4	200	0.913200215395	0.782362508283	0.740075899042
4312811	0.5	400	0.903261892024	0.78706102042	0.744382868502
4312811	0.2	800	0.968627423898	0.77329678935	0.73113065478
4312811	0.1	400	1.06046642199	0.756339979519	0.711553520872
4312811	0.05	400	1.11467316606	0.748448888621	0.70444551533
4312811	0.001	800	5.57279315379	0.18772965484	0.000873441358954
4312811	0.1	200	1.03765122796	0.761911933016	0.71760737305
4312811	0.5	800	0.912772485467	0.786036985724	0.744864767183
4312811	0.8	800	0.871292443334	0.788958496476	0.748418769954
4312811	0.01	400	1.38471776438	0.699144629842	0.653906391181
4312811	0.7	200	0.880614992449	0.788024817782	0.747665803265
4312811	0.001	200	2.43831590943	0.536835130414	0.468736823083
4312811	0.3	400	0.930920390061	0.777453165472	0.735196674899
4312811	0.01	800	1.39389227365	0.696012288416	0.64740075899
4312811	0.01	200	1.37934074158	0.699747003193	0.655502680561
4312811	0.001	400	2.47278354631	0.534064212999	0.474248539245
4312811	0.8	200	0.877723074535	0.790193361846	0.750045178001
4312811	0.05	800	1.13557860349	0.735407505572	0.689356062888
4312811	0.6	200	0.893542705223	0.784380459008	0.743238359135
4312811	0.9	200	0.860077631433	0.790976447202	0.750617432685
4312811	0.6	800	0.887659698797	0.787332088428	0.746912836576
4312811	0.2	400	0.957658005579	0.772573941329	0.729835552075
4312811	0.05	200	1.12606891524	0.749653635323	0.70420456599
4312811	0.6	400	0.880746850295	0.786428528402	0.745617733871
4312811	0.7	800	0.885810810574	0.790855972532	0.749292211313
4312811	0.4	800	0.926424908616	0.77784470815	0.736702608277
4312811	0.5	200	0.897127503219	0.786398409734	0.745677971207
4312811	0.1	800	1.03191238595	0.761309559665	0.720408409132

