dependency	satisfiedFraction
acl	0.877551
advcl	0.8979592
advmod	0.5490196
amod	0.4509804
appos	0.8297872
aux	0.3877551
ccomp	0.877551
compound	0.75
conj	0.84
csubj	0.787234
dep	0.7179487
det	0.4901961
discourse	0.4054054
dislocated	0.6315789
expl	0.5
fixed	0.3902439
flat	0.8666667
goeswith	0.6111111
iobj	0.4782609
lifted_case	0.8823529
lifted_cc	0.8431373
lifted_cop	0.8541667
lifted_mark	0.8235294
list	0.5882353
nmod	0.8823529
nsubj	0.09803922
nummod	0.5686275
obl	0.745098
orphan	0.6176471
parataxis	0.8636364
reparandum	0.4545455
vocative	0.5135135
xcomp	0.9387755
