dependency	satisfiedFraction	posteriorMean	posteriorSD	posteriorOpposite
acl	0.712871287128713	2.29494896092383	0.468219252302626	0
advcl	0.668304668304668	1.25836223862274	0.519321573439777	0.015375
advmod	0.385167464114833	-1.22915637316654	0.421274571240436	0.999
amod	0.514354066985646	0.266472158323207	0.423772104124301	0.2615
appos	0.615584415584416	1.00754632781053	0.298486348247258	0.001125
aux	0.350746268656716	-1.67675215308123	0.681966273431121	0.992125
ccomp	0.774752475247525	2.69816413424839	0.878613762527699	0.001375
compound	0.524064171122995	0.830201414993784	0.630717976309904	0.07125
conj	0.591133004926108	0.749712182721201	0.424283904290086	0.04425
csubj	0.675191815856777	1.77814313841141	0.583633961094929	0.002125
dep	0.582802547770701	0.755535919727061	0.416269127818305	0.0355
det	0.543062200956938	0.268663792759249	0.371307509724152	0.221375
discourse	0.461805555555556	-0.779875063226179	0.568662937904804	0.94
dislocated	0.576158940397351	0.61667036962975	0.821415451759052	0.20275
expl	0.526570048309179	0.533133838866904	1.50390609496468	0.34125
fixed	0.44311377245509	-0.38200335678742	0.762367156055312	0.7145
flat	0.542936288088643	0.526401772907508	0.351446924631845	0.058875
goeswith	0.517730496453901	0.0766371709710889	0.601441088574196	0.4305
iobj	0.617801047120419	0.643677852132432	0.612153287462011	0.138875
lifted_case	0.665071770334928	2.00702988612569	0.477075665433803	0
lifted_cc	0.708133971291866	2.6034245141145	0.430148797496693	0
lifted_cop	0.630541871921182	2.13456273010786	0.831190065576831	0.007375
lifted_mark	0.720095693779904	2.39381142405418	0.656903705126709	0.000125
list	0.517006802721088	0.114902755965977	0.619068717657729	0.422
nmod	0.681818181818182	2.0457869648878	0.408470975825416	0
nsubj	0.229665071770335	-2.44857953110114	0.689821081158518	0.999625
nummod	0.519138755980861	0.431167773216386	0.545417258335583	0.193875
obl	0.679425837320574	2.03441812552332	0.457439643426511	0
orphan	0.592452830188679	0.772790557860323	0.599607556727129	0.0865
parataxis	0.594972067039106	0.754306846023825	0.624091292076152	0.107
reparandum	0.476190476190476	-0.214492218541583	1.47508193314003	0.569875
vocative	0.449826989619377	-0.639611667236291	0.396825962439258	0.956625
xcomp	0.847117794486215	3.9372858828166	0.571104587979748	0
