Language	Model	Type	Surp
Arabic	9889961554	manual_output_funchead_two_coarse_lambda09_best_balanced	6.994423339988746
Persian	9384974527	manual_output_funchead_two_coarse_lambda09_best_balanced	6.915253119946529
Portuguese	3754531072	manual_output_funchead_two_coarse_lambda09_best_balanced	6.099253686975663
Catalan	6707890808	manual_output_funchead_two_coarse_lambda09_best_balanced	5.864866951592068
Dutch	7814279901	manual_output_funchead_two_coarse_lambda09_best_balanced	6.72809714729204
Basque	3556195064	manual_output_funchead_two_coarse_lambda09_best_balanced	8.322000000241276
Croatian	7622163264	manual_output_funchead_two_coarse_lambda09_best_balanced	7.869300846713641
Vietnamese	9174281813	manual_output_funchead_two_coarse_lambda09_best_balanced	7.574678871025604
English	4494063977	manual_output_funchead_two_coarse_lambda09_best_balanced	6.5251242301294425
Hebrew	5649598022	manual_output_funchead_two_coarse_lambda09_best_balanced	6.636872071559451
Persian	5295647892	manual_output_funchead_two_coarse_lambda09_best_balanced	6.836096922111458
Romanian	5728695098	manual_output_funchead_two_coarse_lambda09_best_balanced	7.074861836560357
French	5040879549	manual_output_funchead_two_coarse_lambda09_best_balanced	5.723651750345426
Arabic	4557065486	manual_output_funchead_two_coarse_lambda09_best_balanced	7.015810347567579
German	2166540344	manual_output_funchead_two_coarse_lambda09_best_balanced	7.121339733668839
English	2372889677	manual_output_funchead_two_coarse_lambda09_best_balanced	6.516168001370552
Telugu	5577904492	manual_output_funchead_two_coarse_lambda09_best_balanced	7.737950614619301
Gothic	9944847221	manual_output_funchead_two_coarse_lambda09_best_balanced	6.809945679657512
Coptic	7050603787	manual_output_funchead_two_coarse_lambda09_best_balanced	5.332026243209839
Swedish	1679936807	manual_output_funchead_two_coarse_lambda09_best_balanced	6.827373874879855
Persian	5172914878	manual_output_funchead_two_coarse_lambda09_best_balanced	6.9759199976837305
Galician	8642959621	manual_output_funchead_two_coarse_lambda09_best_balanced	6.334887833484122
English	5345863350	manual_output_funchead_two_coarse_lambda09_best_balanced	6.4959290779421295
Afrikaans	8097413261	manual_output_funchead_two_coarse_lambda09_best_balanced	6.425679435988166
Croatian	8721408351	manual_output_funchead_two_coarse_lambda09_best_balanced	7.853709792972728
