dependency	satisfiedFraction
acl	0.6938776
advcl	0.6938776
advmod	0.2745098
amod	0.5490196
appos	0.5744681
aux	0.1020408
ccomp	0.8571429
compound	0.5227273
conj	0.54
csubj	0.7021277
dep	0.4871795
det	0.627451
discourse	0.4054054
dislocated	0.5263158
expl	0.5
fixed	0.4878049
flat	0.6666667
goeswith	0.5
iobj	0.7608696
lifted_case	0.6862745
lifted_cc	0.4705882
lifted_cop	0.5833333
lifted_mark	0.7647059
list	0.5882353
nmod	0.745098
nsubj	0.5294118
nummod	0.4901961
obl	0.8823529
orphan	0.6470588
parataxis	0.4545455
reparandum	0.3636364
vocative	0.5675676
xcomp	0.9183673
