Language	Model	Type	UAS	Pars
Arabic	9889961554	manual_output_funchead_two_coarse_lambda09_best_balanced	0.817429828035	0.9124743122434099
Persian	9384974527	manual_output_funchead_two_coarse_lambda09_best_balanced	0.857932559425	0.6987141937659945
Portuguese	3754531072	manual_output_funchead_two_coarse_lambda09_best_balanced	0.879777474658	0.5843266252513083
Catalan	6707890808	manual_output_funchead_two_coarse_lambda09_best_balanced	0.861292095141	0.5901581106065712
Dutch	7814279901	manual_output_funchead_two_coarse_lambda09_best_balanced	0.846861924686	0.7194149031393449
Basque	3556195064	manual_output_funchead_two_coarse_lambda09_best_balanced	0.73916967509	1.1710662984891058
Croatian	7622163264	manual_output_funchead_two_coarse_lambda09_best_balanced	0.797074529835	0.9531491449323751
Vietnamese	9174281813	manual_output_funchead_two_coarse_lambda09_best_balanced	0.714589881375	1.3886809722291618
English	4494063977	manual_output_funchead_two_coarse_lambda09_best_balanced	0.849466444141	0.7199890493603558
Hebrew	5649598022	manual_output_funchead_two_coarse_lambda09_best_balanced	0.811303916708	0.8914482492353282
Persian	5295647892	manual_output_funchead_two_coarse_lambda09_best_balanced	0.849571586512	0.7433723543908071
Romanian	5728695098	manual_output_funchead_two_coarse_lambda09_best_balanced	0.796554276869	0.989561418624078
French	5040879549	manual_output_funchead_two_coarse_lambda09_best_balanced	0.874884354441	0.5671608666353246
Arabic	4557065486	manual_output_funchead_two_coarse_lambda09_best_balanced	0.800511508951	0.9271875477524485
German	2166540344	manual_output_funchead_two_coarse_lambda09_best_balanced	0.855877691806	0.6489500645445657
German	2166540344	manual_output_funchead_two_coarse_lambda09_best_balanced	0.85942015475	0.6487814550787847
English	2372889677	manual_output_funchead_two_coarse_lambda09_best_balanced	0.849087139028	0.7335324506647687
Telugu	5577904492	manual_output_funchead_two_coarse_lambda09_best_balanced	0.836223506744	0.9040841440704287
Gothic	9944847221	manual_output_funchead_two_coarse_lambda09_best_balanced	0.827071386197	1.0544970492400128
Coptic	7050603787	manual_output_funchead_two_coarse_lambda09_best_balanced	0.791044776119	1.0279597239707834
Swedish	1679936807	manual_output_funchead_two_coarse_lambda09_best_balanced	0.843404147055	0.8353509517873167
Persian	5172914878	manual_output_funchead_two_coarse_lambda09_best_balanced	0.821241017137	0.8320081154241821
Galician	8642959621	manual_output_funchead_two_coarse_lambda09_best_balanced	0.712061722633	1.3262044329975926
English	5345863350	manual_output_funchead_two_coarse_lambda09_best_balanced	0.818034693774	0.8256302752693102
Afrikaans	8097413261	manual_output_funchead_two_coarse_lambda09_best_balanced	0.854617304493	0.7094561875164013
Afrikaans	8097413261	manual_output_funchead_two_coarse_lambda09_best_balanced	0.849209650582	0.7287925468903413
Croatian	8721408351	manual_output_funchead_two_coarse_lambda09_best_balanced	0.795371875242	0.9334952327989404
Hindi	8295121793	manual_output_funchead_two_coarse_lambda09_best_balanced	0.849313400116	0.6047525962893123
Indonesian	2824869274	manual_output_funchead_two_coarse_lambda09_best_balanced	0.764678252701	1.1601611245680774
Telugu	3278982149	manual_output_funchead_two_coarse_lambda09_best_balanced	0.822736030829	0.8710610131537524
Croatian	3610335939	manual_output_funchead_two_coarse_lambda09_best_balanced	0.816809844439	0.8998355281656533
Gothic	2116173386	manual_output_funchead_two_coarse_lambda09_best_balanced	0.798793751236	1.133012496555231
French	7168788058	manual_output_funchead_two_coarse_lambda09_best_balanced	0.859092310855	0.6331092190157506
Ukrainian	3524066453	manual_output_funchead_two_coarse_lambda09_best_balanced	0.776359732824	1.0600317999265576
Polish	9642604829	manual_output_funchead_two_coarse_lambda09_best_balanced	0.860034904014	0.6021797015820914
Czech	9502052556	manual_output_funchead_two_coarse_lambda09_best_balanced	0.858493968906	0.6353805643416904
Hungarian	3100275451	manual_output_funchead_two_coarse_lambda09_best_balanced	0.748621830209	1.2074315451638928
Arabic	3835252040	manual_output_funchead_two_coarse_lambda09_best_balanced	0.81173688322	0.9107772920113544
Spanish	9029288668	manual_output_funchead_two_coarse_lambda09_best_balanced	0.858631930055	0.6723434388733184
Slovenian	5191836480	manual_output_funchead_two_coarse_lambda09_best_balanced	0.838260309871	0.8103171626450928
Italian	139767606	manual_output_funchead_two_coarse_lambda09_best_balanced	0.862601106854	0.649860194886223
Greek	7699338535	manual_output_funchead_two_coarse_lambda09_best_balanced	0.801361122926	0.8752648875098288
Irish	4255063082	manual_output_funchead_two_coarse_lambda09_best_balanced	0.462938304483	2.688163283238451
Ancient_Greek	3648264606	manual_output_funchead_two_coarse_lambda09_best_balanced	0.790524585264	1.0131569082614749
Swedish	61759598	manual_output_funchead_two_coarse_lambda09_best_balanced	0.801594368825	0.9261684897331843
Estonian	1063918324	manual_output_funchead_two_coarse_lambda09_best_balanced	0.742335514984	1.076874821758774
Bulgarian	9037548649	manual_output_funchead_two_coarse_lambda09_best_balanced	0.850191598583	0.5953090786201285
Gothic	1353646219	manual_output_funchead_two_coarse_lambda09_best_balanced	0.798497132687	1.1243494165634387
Basque	2397399489	manual_output_funchead_two_coarse_lambda09_best_balanced	0.772162053751	1.1136632818105563
Slovak	8573447776	manual_output_funchead_two_coarse_lambda09_best_balanced	0.81108501644	0.7729299088720426
Ancient_Greek	8671094503	manual_output_funchead_two_coarse_lambda09_best_balanced	0.770557465252	1.0827198871385355
Lithuanian	9774140361	manual_output_funchead_two_coarse_lambda09_best_balanced	0.561721404304	2.311742264174119
Hungarian	2830854739	manual_output_funchead_two_coarse_lambda09_best_balanced	0.754134509372	1.1915247841565753
Serbian	7166817572	manual_output_funchead_two_coarse_lambda09_best_balanced	0.823682719547	0.8875733632744203
