Language	FileName	Counter	AverageLoss_LM	AverageLAS	AverageLoss_Parser	AverageUAS	DH_Weight	CoarseDependency	DistanceWeight
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	0.7460152	acl	0.6421794
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	1.6791875	advcl	2.3866584
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	2.8174224	advmod	-1.2048696
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	-1.7134248	amod	-0.25725615
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	-0.40375826	appos	0.07071231
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	-2.491152	aux	-1.1784111
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	-0.8427107	ccomp	0.8203222
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	3.4855332	conj	2.9594798
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	-0.01980951	csubj	-0.002333223
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	-0.15834643	dep	-0.0538619
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	1.7630991	det	-0.21620044
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	1.2807308	discourse	-1.5112566
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	-0.0039188312	fixed	-0.0070164525
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	0.17088541	flat	-0.0019808721
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	-0.3444672	iobj	-0.34495538
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	4.8784966	lifted_case	-0.11321282
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	-4.748378	lifted_cc	0.011378295
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	0.94992936	lifted_mark	0.02345774
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	1.6572003	nmod	-0.47587958
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	3.8582819	nsubj	-0.36428303
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	-0.2785079	nummod	0.0207092
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	-10.008767	obj	-2.6541135
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	-3.5299573	obl	0.4457488
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	0.22888973	orphan	0.07423238
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	0.017853258	parataxis	0.16282853
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	-0.13233475	vocative	-0.073721334
Old	3552291331	301070	10.488301073404331	0.655768657458	1.4128903252110856	0.763688760807	-3.3580236	xcomp	0.8417631
Lithuanian	2569273623	150050	21.210110737364968	0.475308641975	6.9424354197066505	0.534567901235	-6.9636173	acl	2.1257327
Lithuanian	2569273623	150050	21.210110737364968	0.475308641975	6.9424354197066505	0.534567901235	-7.0303426	advcl	5.1311455
Lithuanian	2569273623	150050	21.210110737364968	0.475308641975	6.9424354197066505	0.534567901235	-8.194292	advmod	-11.7408495
Lithuanian	2569273623	150050	21.210110737364968	0.475308641975	6.9424354197066505	0.534567901235	-7.934608	amod	-5.231781
Lithuanian	2569273623	150050	21.210110737364968	0.475308641975	6.9424354197066505	0.534567901235	-6.6955814	appos	2.9117563
Lithuanian	2569273623	150050	21.210110737364968	0.475308641975	6.9424354197066505	0.534567901235	5.7406487	aux	0.5190347
Lithuanian	2569273623	150050	21.210110737364968	0.475308641975	6.9424354197066505	0.534567901235	-6.296006	ccomp	2.0811133
Lithuanian	2569273623	150050	21.210110737364968	0.475308641975	6.9424354197066505	0.534567901235	0.025437057	compound	1.6927677e-07
Lithuanian	2569273623	150050	21.210110737364968	0.475308641975	6.9424354197066505	0.534567901235	8.921478	conj	7.4689426
Lithuanian	2569273623	150050	21.210110737364968	0.475308641975	6.9424354197066505	0.534567901235	4.3543267	csubj	0.07232739
Lithuanian	2569273623	150050	21.210110737364968	0.475308641975	6.9424354197066505	0.534567901235	6.895133	det	-1.4992592
Lithuanian	2569273623	150050	21.210110737364968	0.475308641975	6.9424354197066505	0.534567901235	-0.410598	discourse	0.042962
Lithuanian	2569273623	150050	21.210110737364968	0.475308641975	6.9424354197066505	0.534567901235	6.7657704	fixed	-0.9894634
Lithuanian	2569273623	150050	21.210110737364968	0.475308641975	6.9424354197066505	0.534567901235	-6.2257185	flat	-0.8884295
Lithuanian	2569273623	150050	21.210110737364968	0.475308641975	6.9424354197066505	0.534567901235	-6.306848	iobj	1.5761921
Lithuanian	2569273623	150050	21.210110737364968	0.475308641975	6.9424354197066505	0.534567901235	7.673805	lifted_case	-0.018043777
Lithuanian	2569273623	150050	21.210110737364968	0.475308641975	6.9424354197066505	0.534567901235	-8.384897	lifted_cc	0.61532617
Lithuanian	2569273623	150050	21.210110737364968	0.475308641975	6.9424354197066505	0.534567901235	-6.304231	lifted_cop	-0.06949394
