Language	Lambda	Quantile	Samples
Afrikaans	0.0	0.792452812195	53
Afrikaans	0.02	0.792452812195	53
Afrikaans	0.04	0.811320781708	53
Afrikaans	0.06	0.811320781708	53
Afrikaans	0.08	0.811320781708	53
Afrikaans	0.1	0.811320781708	53
Afrikaans	0.12	0.811320781708	53
Afrikaans	0.14	0.811320781708	53
Afrikaans	0.16	0.830188691616	53
Afrikaans	0.18	0.830188691616	53
Afrikaans	0.2	0.830188691616	53
Afrikaans	0.22	0.830188691616	53
Afrikaans	0.24	0.830188691616	53
Afrikaans	0.26	0.849056601524	53
Afrikaans	0.28	0.849056601524	53
Afrikaans	0.3	0.849056601524	53
Afrikaans	0.32	0.849056601524	53
Afrikaans	0.34	0.849056601524	53
Afrikaans	0.36	0.849056601524	53
Afrikaans	0.38	0.849056601524	53
Afrikaans	0.4	0.849056601524	53
Afrikaans	0.42	0.867924511433	53
Afrikaans	0.44	0.867924511433	53
Afrikaans	0.46	0.886792480946	53
Afrikaans	0.48	0.886792480946	53
Afrikaans	0.5	0.886792480946	53
Afrikaans	0.52	0.886792480946	53
Afrikaans	0.54	0.886792480946	53
Afrikaans	0.56	0.886792480946	53
Afrikaans	0.58	0.886792480946	53
Afrikaans	0.6	0.886792480946	53
Afrikaans	0.62	0.886792480946	53
Afrikaans	0.64	0.886792480946	53
Afrikaans	0.66	0.886792480946	53
Afrikaans	0.68	0.905660390854	53
Afrikaans	0.7	0.905660390854	53
Afrikaans	0.72	0.924528300762	53
Afrikaans	0.74	0.924528300762	53
Afrikaans	0.76	0.924528300762	53
Afrikaans	0.78	0.924528300762	53
Afrikaans	0.8	0.924528300762	53
Afrikaans	0.82	0.924528300762	53
Afrikaans	0.84	0.924528300762	53
Afrikaans	0.86	0.94339621067	53
Afrikaans	0.88	0.94339621067	53
Afrikaans	0.9	0.94339621067	53
Afrikaans	0.92	0.94339621067	53
Afrikaans	0.94	0.94339621067	53
Afrikaans	0.96	0.94339621067	53
Afrikaans	0.98	0.94339621067	53
Ancient_Greek	0.0	0.333333343267	54
Ancient_Greek	0.02	0.351851850748	54
Ancient_Greek	0.04	0.351851850748	54
Ancient_Greek	0.06	0.351851850748	54
Ancient_Greek	0.08	0.351851850748	54
Ancient_Greek	0.1	0.370370358229	54
Ancient_Greek	0.12	0.370370358229	54
Ancient_Greek	0.14	0.388888895512	54
Ancient_Greek	0.16	0.388888895512	54
Ancient_Greek	0.18	0.388888895512	54
Ancient_Greek	0.2	0.407407402992	54
Ancient_Greek	0.22	0.407407402992	54
Ancient_Greek	0.24	0.407407402992	54
Ancient_Greek	0.26	0.425925940275	54
Ancient_Greek	0.28	0.425925940275	54
Ancient_Greek	0.3	0.425925940275	54
Ancient_Greek	0.32	0.425925940275	54
Ancient_Greek	0.34	0.425925940275	54
Ancient_Greek	0.36	0.425925940275	54
Ancient_Greek	0.38	0.425925940275	54
Ancient_Greek	0.4	0.444444447756	54
Ancient_Greek	0.42	0.444444447756	54
Ancient_Greek	0.44	0.444444447756	54
Ancient_Greek	0.46	0.462962955236	54
Ancient_Greek	0.48	0.462962955236	54
Ancient_Greek	0.5	0.462962955236	54
Ancient_Greek	0.52	0.462962955236	54
Ancient_Greek	0.54	0.462962955236	54
Ancient_Greek	0.56	0.481481492519	54
Ancient_Greek	0.58	0.5	54
Ancient_Greek	0.6	0.5	54
Ancient_Greek	0.62	0.5	54
Ancient_Greek	0.64	0.5	54
Ancient_Greek	0.66	0.5	54
