Language	Lambda	Quantile	Samples
Ancient_Greek	0.2	0.518518507481	54
Ancient_Greek	0.22	0.518518507481	54
Ancient_Greek	0.24	0.537037014961	54
Ancient_Greek	0.26	0.574074089527	54
Ancient_Greek	0.28	0.574074089527	54
Ancient_Greek	0.3	0.574074089527	54
Ancient_Greek	0.32	0.574074089527	54
Ancient_Greek	0.34	0.611111104488	54
Ancient_Greek	0.36	0.611111104488	54
Ancient_Greek	0.38	0.611111104488	54
Ancient_Greek	0.4	0.611111104488	54
Ancient_Greek	0.42	0.611111104488	54
Ancient_Greek	0.44	0.611111104488	54
Ancient_Greek	0.46	0.611111104488	54
Ancient_Greek	0.48	0.629629611969	54
Ancient_Greek	0.5	0.666666686535	54
Ancient_Greek	0.52	0.666666686535	54
Ancient_Greek	0.54	0.685185194016	54
Ancient_Greek	0.56	0.685185194016	54
Ancient_Greek	0.58	0.685185194016	54
Ancient_Greek	0.6	0.703703701496	54
Ancient_Greek	0.62	0.703703701496	54
Ancient_Greek	0.64	0.703703701496	54
Ancient_Greek	0.66	0.703703701496	54
Ancient_Greek	0.68	0.722222208977	54
Ancient_Greek	0.7	0.722222208977	54
Ancient_Greek	0.72	0.722222208977	54
Ancient_Greek	0.74	0.722222208977	54
Ancient_Greek	0.76	0.722222208977	54
Ancient_Greek	0.78	0.722222208977	54
Ancient_Greek	0.8	0.722222208977	54
Ancient_Greek	0.82	0.722222208977	54
Ancient_Greek	0.84	0.722222208977	54
Ancient_Greek	0.86	0.722222208977	54
Ancient_Greek	0.88	0.722222208977	54
Ancient_Greek	0.9	0.722222208977	54
Ancient_Greek	0.92	0.740740716457	54
Ancient_Greek	0.94	0.759259283543	54
Ancient_Greek	0.96	0.759259283543	54
Ancient_Greek	0.98	0.759259283543	54
Arabic	0.0	1.0	55
Arabic	0.02	1.0	55
Arabic	0.04	1.0	55
Arabic	0.06	1.0	55
Arabic	0.08	1.0	55
Arabic	0.1	1.0	55
Arabic	0.12	1.0	55
Arabic	0.14	1.0	55
Arabic	0.16	1.0	55
Arabic	0.18	1.0	55
Arabic	0.2	1.0	55
Arabic	0.22	1.0	55
Arabic	0.24	1.0	55
Arabic	0.26	1.0	55
Arabic	0.28	1.0	55
Arabic	0.3	1.0	55
Arabic	0.32	1.0	55
Arabic	0.34	1.0	55
Arabic	0.36	1.0	55
Arabic	0.38	1.0	55
Arabic	0.4	1.0	55
Arabic	0.42	1.0	55
Arabic	0.44	1.0	55
Arabic	0.46	1.0	55
Arabic	0.48	1.0	55
Arabic	0.5	1.0	55
Arabic	0.52	1.0	55
Arabic	0.54	1.0	55
Arabic	0.56	1.0	55
Arabic	0.58	1.0	55
Arabic	0.6	1.0	55
Arabic	0.62	1.0	55
Arabic	0.64	1.0	55
Arabic	0.66	1.0	55
Arabic	0.68	1.0	55
Arabic	0.7	1.0	55
Arabic	0.72	1.0	55
Arabic	0.74	1.0	55
Arabic	0.76	1.0	55
Arabic	0.78	1.0	55
Arabic	0.8	1.0	55
Arabic	0.82	1.0	55
Arabic	0.84	1.0	55
Arabic	0.86	1.0	55
Arabic	0.88	1.0	55
Arabic	0.9	1.0	55
Arabic	0.92	1.0	55
Arabic	0.94	1.0	55
Arabic	0.96	1.0	55
Arabic	0.98	1.0	55
Basque	0.0	0.166666671634	54
Basque	0.02	0.166666671634	54
Basque	0.04	0.185185179114	54
Basque	0.06	0.222222223878	54
Basque	0.08	0.222222223878	54
Basque	0.1	0.222222223878	54
