Language	Model	Type	UAS	Pars	LAS
Serbian	6540054	manual_output_funchead_RANDOM	0.79342776204	1.0303069308661874	0.743569405099
Portuguese	6231403	manual_output_funchead_RANDOM	0.878252962101	0.5479354975379069	0.851640856937
Norwegian	1583012	manual_output_funchead_RANDOM	0.871249144367	0.6412854980961482	0.855664687435
Indonesian	1550386	manual_output_funchead_RANDOM	0.697040864256	1.3527171442910728	0.661437294504
Ancient_Greek	6207048	manual_output_funchead_RANDOM	0.770348228964	1.0261009563442625	0.719264683904
Ancient_Greek	6909776	manual_output_funchead_RANDOM	0.786519204902	1.0182596793268814	0.721357046779
Latin	1101535	manual_output_funchead_RANDOM	0.799973200228	1.098227864731289	0.7252353355
Hebrew	9010571	manual_output_funchead_RANDOM	0.848190381755	0.7842229359564831	0.811998016857
Basque	1798476	manual_output_funchead_RANDOM	0.78168872844	1.0253916418891904	0.72979342158
Gothic	4165603	manual_output_funchead_RANDOM	0.791180541823	1.0460684530957074	0.736899347439
Catalan	650252	manual_output_funchead_RANDOM	0.873773451605	0.5322103243265911	0.859388492032
Italian	8560492	manual_output_funchead_RANDOM	0.853075776926	0.692718800066912	0.821945508727
Latvian	6872334	manual_output_funchead_RANDOM	0.672437737247	1.5499590063975834	0.605221738728
Arabic	8932075	manual_output_funchead_RANDOM	0.799751736241	0.8822497056785008	0.774261896864
Gothic	3566582	manual_output_funchead_RANDOM	0.777437215741	1.0676491215503896	0.734823017599
Arabic	1046153	manual_output_funchead_RANDOM	0.81103061563	0.8485341437341076	0.784171045169
Ancient_Greek	3647766	manual_output_funchead_RANDOM	0.802241817367	0.9422298575495234	0.755283216261
Marathi	6035819	manual_output_funchead_RANDOM	0.59649122807	2.4731200647632976	0.450292397661
Persian	2599790	manual_output_funchead_RANDOM	0.782061912659	0.8932185883413961	0.762506909895
Polish	4813059	manual_output_funchead_RANDOM	0.834438627109	0.6465916347475923	0.814659685864
Telugu	240743	manual_output_funchead_RANDOM	0.849710982659	0.9846518905635974	0.776493256262
Galician	880883	manual_output_funchead_RANDOM	0.729826199171	1.312398193610539	0.690151286346
Afrikaans	986758	manual_output_funchead_RANDOM	0.782445923461	1.0031361032444706	0.759775374376
Irish	2500188	manual_output_funchead_RANDOM	0.402366244372	3.189745782145829	0.330017799183
Estonian	9496546	manual_output_funchead_RANDOM	0.77884946607	1.0161912444128154	0.726030543116
Portuguese	2593069	manual_output_funchead_RANDOM	0.876969162053	0.5681714575354415	0.853192115328
Serbian	6275325	manual_output_funchead_RANDOM	0.810424929178	1.0014026818532107	0.77269121813
Latvian	4071286	manual_output_funchead_RANDOM	0.692065549486	1.4387651804905999	0.630774928247
Polish	7814312	manual_output_funchead_RANDOM	0.823734729494	0.6705675918220988	0.804537521815
Chinese	9941860	manual_output_funchead_RANDOM	0.70624426079	1.2405713215128231	0.674380165289
Belarusian	9855562	manual_output_funchead_RANDOM	0.50863422292	2.492427098320642	0.473312401884
Swedish	8596854	manual_output_funchead_RANDOM	0.795997116567	0.9409457924890896	0.767841241572
German	3332467	manual_output_funchead_RANDOM	0.875361237998	0.5731214673741173	0.852148783444
Afrikaans	5858407	manual_output_funchead_RANDOM	0.822587354409	0.8996798980751768	0.790557404326
Bulgarian	9053822	manual_output_funchead_RANDOM	0.88135348131	0.5142568440790178	0.86002458246
Bulgarian	6159828	manual_output_funchead_RANDOM	0.858506254067	0.6107852231089235	0.838406478201
Indonesian	4347028	manual_output_funchead_RANDOM	0.713668388915	1.2830794577421634	0.688022545796
Hindi	8238226	manual_output_funchead_RANDOM	0.886368480346	0.46047063061657667	0.867795268398
Persian	1804651	manual_output_funchead_RANDOM	0.814331122167	0.8141615672655828	0.796365395246
Persian	1308028	manual_output_funchead_RANDOM	0.756288004422	0.9595763700782034	0.740049751244
Norwegian	5688226	manual_output_funchead_RANDOM	0.870071156816	0.6166109874238841	0.84983842468
Arabic	5432375	manual_output_funchead_RANDOM	0.730719429849	1.076405797776832	0.706342496977
Romanian	4865017	manual_output_funchead_RANDOM	0.777373982098	1.016341762416287	0.745474123427
Latin	222926	manual_output_funchead_RANDOM	0.783424340893	1.1670237052200436	0.721248869385
Croatian	7402429	manual_output_funchead_RANDOM	0.755204705518	1.0604147043457692	0.71441838867
Basque	5133517	manual_output_funchead_RANDOM	0.777577216205	1.0483271216848888	0.721770958684
Serbian	8246536	manual_output_funchead_RANDOM	0.767932011331	1.0800263762001274	0.733937677054
Vietnamese	557265	manual_output_funchead_RANDOM	0.589577207746	1.742201373529497	0.532697962081
Galician	6975120	manual_output_funchead_RANDOM	0.716811729497	1.324123437746147	0.683973531754
Swedish	8005853	manual_output_funchead_RANDOM	0.79485222406	0.8862639628020588	0.767714031294
Swedish	2352668	manual_output_funchead_RANDOM	0.802569647628	0.8907987977016448	0.776830767926
Irish	988178492	manual_output_funchead_RANDOM	0.422573552508	3.113094031230378	0.350329808397
Hebrew	378197	manual_output_funchead_RANDOM	0.795736241943	0.9435968169494614	0.748636588994
Ukrainian	8433366	manual_output_funchead_RANDOM	0.733659351145	1.1776280022983419	0.708253816794
German	1517665	manual_output_funchead_RANDOM	0.852614896989	0.6771179320943748	0.824554861564
Greek	727978	manual_output_funchead_RANDOM	0.817418119949	0.8568248605535468	0.798383666525
Irish	31142791	manual_output_funchead_RANDOM	0.457334310543	3.0654373618023967	0.406868390744
Gothic	7700882	manual_output_funchead_RANDOM	0.7857425351	1.0460384116239738	0.73472414475
Hungarian	6423369	manual_output_funchead_RANDOM	0.652099829608	1.5754315309944165	0.613310614413
Irish	620020926	manual_output_funchead_RANDOM	0.439325725055	3.055868617727699	0.379646110355
Afrikaans	5099457	manual_output_funchead_RANDOM	0.80262063228	0.9496833147998658	0.779118136439
English	37277	manual_output_funchead_RANDOM	0.82362312244	0.8018139494125286	0.793278713397
Arabic	9293143	manual_output_funchead_RANDOM	0.726257102805	1.1133265249212436	0.700767263427
French	7646094	manual_output_funchead_RANDOM	0.882684004934	0.4936752963537497	0.868960731908
Czech	4085254	manual_output_funchead_RANDOM	0.87738507908	0.5224743635487233	0.855394359567
Belarusian	3886159	manual_output_funchead_RANDOM	0.58398744113	2.3410849384086285	0.524332810047
Urdu	7516619	manual_output_funchead_RANDOM	0.804410492937	0.8412579629461784	0.784880368982
Old_Church_Slavonic	8517884	manual_output_funchead_RANDOM	0.763267326733	1.0433522432304845	0.717722772277
Hungarian	225670	manual_output_funchead_RANDOM	0.665230029067	1.514269480595814	0.6212288263
Belarusian	3533155	manual_output_funchead_RANDOM	0.551020408163	2.423297609601702	0.492935635793
Polish	5614060	manual_output_funchead_RANDOM	0.859453170448	0.6462405294093231	0.816288539849
Czech	1596625	manual_output_funchead_RANDOM	0.870757906449	0.5311577790187291	0.850271139397
Japanese	8416264	manual_output_funchead_RANDOM	0.830562229697	0.6305084404465329	0.818068236425
Spanish	9679847	manual_output_funchead_RANDOM	0.864506999545	0.6013263816845802	0.843824228029
Norwegian	1459695	manual_output_funchead_RANDOM	0.879574650981	0.5977999515078691	0.857925150034
Arabic	1640369	manual_output_funchead_RANDOM	0.766064912412	0.9873847258504415	0.734528994425
Japanese	9439753	manual_output_funchead_RANDOM	0.873714560308	0.49415411718873553	0.861220567035
Hebrew	1441211	manual_output_funchead_RANDOM	0.824987605354	0.9016757206451084	0.776499752107
Persian	5423613	manual_output_funchead_RANDOM	0.808803206191	0.7765141975210805	0.794845218353
Swedish	5928472	manual_output_funchead_RANDOM	0.80778526905	0.9468512521194289	0.768434889539
Portuguese	6141669	manual_output_funchead_RANDOM	0.880018187167	0.5091776049978203	0.865200994945
Latvian	2611045	manual_output_funchead_RANDOM	0.709656513286	1.4819973874021466	0.632996944727
Croatian	4844745	manual_output_funchead_RANDOM	0.766039780203	0.992383135093014	0.741041715038
Tamil	5382477	manual_output_funchead_RANDOM	0.587656529517	2.1979168659885797	0.517889087657
Hebrew	3140882	manual_output_funchead_RANDOM	0.810411502231	0.9219466702915621	0.767476450174
Bulgarian	7768185	manual_output_funchead_RANDOM	0.890897259779	0.5255754046111396	0.858289350011
Russian	2273815	manual_output_funchead_RANDOM	0.810792349727	0.833465891767239	0.783593275653
Korean	3175764	manual_output_funchead_RANDOM	0.695135332846	1.340915922772242	0.618934406242
Old_Church_Slavonic	7654374	manual_output_funchead_RANDOM	0.799405940594	0.9772994469357009	0.754257425743
Belarusian	9094537	manual_output_funchead_RANDOM	0.578492935636	2.404570840030113	0.514913657771
Slovak	7368232	manual_output_funchead_RANDOM	0.764678252701	0.9827537243553258	0.727759511508
Russian	9145333	manual_output_funchead_RANDOM	0.819131375228	0.8129183634672864	0.78066180935
Catalan	3700798	manual_output_funchead_RANDOM	0.870417615197	0.5845496397006642	0.841765444697
Ancient_Greek	6773295	manual_output_funchead_RANDOM	0.78134807951	1.0045512819250966	0.72841129876
Irish	4090400	manual_output_funchead_RANDOM	0.414511569469	3.1007692000339473	0.354203748299
Galician	8284063	manual_output_funchead_RANDOM	0.726943247028	1.3369373696655749	0.677933060597
Hindi	720142	manual_output_funchead_RANDOM	0.910574551655	0.4005599510987123	0.894437170782
Dutch	1992455	manual_output_funchead_RANDOM	0.859884937238	0.6635822211614338	0.8339958159
Hebrew	8334981	manual_output_funchead_RANDOM	0.841447694596	0.8438980734460592	0.786217154189
Hebrew	7848309	manual_output_funchead_RANDOM	0.825185919683	0.9162997107607455	0.786018839861
Irish	9310317	manual_output_funchead_RANDOM	0.433462464663	3.0865219187304658	0.36006700869
German	6258009	manual_output_funchead_RANDOM	0.870420434418	0.628532206788805	0.84562319381
French	5419081	manual_output_funchead_RANDOM	0.891832853618	0.49057186725995533	0.872738486842
English	5953198	manual_output_funchead_RANDOM	0.843827441461	0.7625835438305623	0.804708440803
Gothic	1847471	manual_output_funchead_RANDOM	0.767451057939	1.119689144257479	0.72038758157
Japanese	1309780	manual_output_funchead_RANDOM	0.851417587698	0.5493937345521488	0.840557424315
Marathi	18465	manual_output_funchead_RANDOM	0.631578947368	2.5631182737517775	0.497076023392
Danish	9047500	manual_output_funchead_RANDOM	0.79537585167	0.9362836269164344	0.776499497375
Marathi	8997772	manual_output_funchead_RANDOM	0.675438596491	2.1633851291143404	0.555555555556
Turkish	2600993	manual_output_funchead_RANDOM	0.561231972623	1.9830203186297177	0.474822781716
English	2847244	manual_output_funchead_RANDOM	0.838239012795	0.7491847751749271	0.807009558489
English	4147103	manual_output_funchead_RANDOM	0.830450614474	0.7872662204228492	0.804253274667
Ukrainian	5274698	manual_output_funchead_RANDOM	0.748330152672	1.2280393840873058	0.695729961832
Dutch	3751254	manual_output_funchead_RANDOM	0.846391213389	0.7064933295435736	0.824947698745
Vietnamese	2776899	manual_output_funchead_RANDOM	0.620805028896	1.7081457715506825	0.564736895468
Coptic	309560	manual_output_funchead_RANDOM	0.795637198622	0.9670879583544901	0.750861079219
Slovak	8224848	manual_output_funchead_RANDOM	0.78788163457	0.9422594655702348	0.74983560357
Polish	1587273	manual_output_funchead_RANDOM	0.868295520652	0.5320811434427343	0.84502617801
Hindi	8898506	manual_output_funchead_RANDOM	0.902353621776	0.41913535527392004	0.886916542338
Finnish	4777088	manual_output_funchead_RANDOM	0.752259345474	1.0204103249430607	0.711043406819
German	9353584	manual_output_funchead_RANDOM	0.872005220472	0.6115806532159505	0.845250302974
Spanish	3866756	manual_output_funchead_RANDOM	0.861323090918	0.6147596320014912	0.835169555769
French	7371714	manual_output_funchead_RANDOM	0.886834395559	0.49814440089980244	0.874100534539
Romanian	5631856	manual_output_funchead_RANDOM	0.786728582004	0.9598550027853965	0.757587993808
Norwegian	2576966	manual_output_funchead_RANDOM	0.884445788695	0.6117673388793246	0.867237619192
Latin	5701465	manual_output_funchead_RANDOM	0.818632541623	1.0456821473933662	0.736893236407
Gothic	3236267	manual_output_funchead_RANDOM	0.77951354558	1.0885180524151292	0.719992090172
Latvian	4861625	manual_output_funchead_RANDOM	0.663179335247	1.5763804723836572	0.610221275808
Dutch	2695885	manual_output_funchead_RANDOM	0.856380753138	0.6733742862690443	0.826412133891
Serbian	2854903	manual_output_funchead_RANDOM	0.768045325779	1.0272356921079815	0.739036827195
Latvian	1764063	manual_output_funchead_RANDOM	0.681603555226	1.5198472297618746	0.632256272567
Irish	188019440	manual_output_funchead_RANDOM	0.482567270443	2.885066425022736	0.398387603392
