Language	Model	Type	Surp
Dutch	2117993	manual_output_funchead_RANDOM2	7.289391257639427
Hindi	6823438	manual_output_funchead_RANDOM2	6.2296133904248085
Korean	8074268	manual_output_funchead_RANDOM2	8.009525482312016
Russian	9488773	manual_output_funchead_RANDOM2	7.5387854714815745
Basque	6105337	manual_output_funchead_RANDOM2	8.690393906922674
Estonian	6655757	manual_output_funchead_RANDOM2	8.695830323091359
Danish	934401	manual_output_funchead_RANDOM2	7.499096843457878
Japanese	6167037	manual_output_funchead_RANDOM2	6.641103342428046
Coptic	6929336	manual_output_funchead_RANDOM2	5.38729556024922
Catalan	881279	manual_output_funchead_RANDOM2	6.24688441685773
Italian	7952823	manual_output_funchead_RANDOM2	6.818209893046769
Finnish	1943036	manual_output_funchead_RANDOM2	8.294706094462555
Lithuanian	5990049	manual_output_funchead_RANDOM2	9.306995185775374
Latvian	7334438	manual_output_funchead_RANDOM2	8.968362682465354
Urdu	9164359	manual_output_funchead_RANDOM2	6.386769717811831
Belarusian	5285032	manual_output_funchead_RANDOM2	9.16417827013658
Indonesian	7569083	manual_output_funchead_RANDOM2	8.055325045483984
Japanese	5741797	manual_output_funchead_RANDOM2	6.678659809837687
Turkish	6320014	manual_output_funchead_RANDOM2	9.177325761542026
Urdu	6011589	manual_output_funchead_RANDOM2	6.465912012091265
Serbian	130696	manual_output_funchead_RANDOM2	7.980796840601352
Polish	3672544	manual_output_funchead_RANDOM2	8.799734215363397
Arabic	5289009	manual_output_funchead_RANDOM2	7.125628425228816
Chinese	9559108	manual_output_funchead_RANDOM2	8.01616813547574
Hebrew	956211	manual_output_funchead_RANDOM2	6.9162978396410475
Telugu	3645273	manual_output_funchead_RANDOM2	8.14686018576418
Bulgarian	3291464	manual_output_funchead_RANDOM2	7.8983391462350285
Indonesian	6171698	manual_output_funchead_RANDOM2	8.04750511198839
Portuguese	6638465	manual_output_funchead_RANDOM2	6.524499607818227
Italian	7740225	manual_output_funchead_RANDOM2	6.67604722520959
Russian	4262316	manual_output_funchead_RANDOM2	7.510560583622944
Slovenian	201514	manual_output_funchead_RANDOM2	7.945322249241647
Polish	1413236	manual_output_funchead_RANDOM2	8.795285942738731
Estonian	9179172	manual_output_funchead_RANDOM2	8.697418879430103
Old_Church_Slavonic	4214867	manual_output_funchead_RANDOM2	7.118484901785614
Vietnamese	5257160	manual_output_funchead_RANDOM2	7.80735592260499
Latin	1531454	manual_output_funchead_RANDOM2	7.836529781574557
Afrikaans	1253453	manual_output_funchead_RANDOM2	6.8800917656778156
Danish	3768280	manual_output_funchead_RANDOM2	7.492363566928344
Romanian	5254907	manual_output_funchead_RANDOM2	7.54257652661585
Dutch	2833843	manual_output_funchead_RANDOM2	7.262717732339463
Belarusian	375025	manual_output_funchead_RANDOM2	9.137618042403199
Japanese	7556058	manual_output_funchead_RANDOM2	6.593618008866332
Telugu	186127	manual_output_funchead_RANDOM2	8.111364583135808
Estonian	60043	manual_output_funchead_RANDOM2	8.707009627905064
Greek	457138	manual_output_funchead_RANDOM2	7.559927961038263
Chinese	7379212	manual_output_funchead_RANDOM2	8.0241642436158
Danish	7656139	manual_output_funchead_RANDOM2	7.535250332133377
Estonian	9176759	manual_output_funchead_RANDOM2	8.706569938842621
Marathi	5825529	manual_output_funchead_RANDOM2	7.208727197678569
Croatian	8532333	manual_output_funchead_RANDOM2	8.122980868721347
Czech	3177063	manual_output_funchead_RANDOM2	7.210319888880387
Hungarian	937466	manual_output_funchead_RANDOM2	8.664431855562905
Coptic	124981	manual_output_funchead_RANDOM2	5.700369536594192
Tamil	9547996	manual_output_funchead_RANDOM2	9.25061982006421
Old_Church_Slavonic	3339919	manual_output_funchead_RANDOM2	7.170778409228683
Belarusian	5581260	manual_output_funchead_RANDOM2	9.111123561046801
Old_Church_Slavonic	9132102	manual_output_funchead_RANDOM2	7.1009427468659885
Irish	670030	manual_output_funchead_RANDOM2	8.008514923345848
Belarusian	4805333	manual_output_funchead_RANDOM2	9.07291758507863
Slovenian	1595967	manual_output_funchead_RANDOM2	7.939188684167846
Ancient_Greek	3526078	manual_output_funchead_RANDOM2	7.550913960563313
Lithuanian	397989	manual_output_funchead_RANDOM2	9.354365974293088
English	9323106	manual_output_funchead_RANDOM2	6.820176892460722
Bulgarian	8811275	manual_output_funchead_RANDOM2	7.894474855606636
German	3149012	manual_output_funchead_RANDOM2	7.519937351086267
Croatian	767318	manual_output_funchead_RANDOM2	8.231736372631868
Norwegian	6121729	manual_output_funchead_RANDOM2	7.06180885138086
Indonesian	2876099	manual_output_funchead_RANDOM2	8.064222470346431
Urdu	844095	manual_output_funchead_RANDOM2	6.4954478614482705
English	4579979	manual_output_funchead_RANDOM2	6.811376693824749
Romanian	6710533	manual_output_funchead_RANDOM2	7.629012625539625
Korean	6046118	manual_output_funchead_RANDOM2	7.9646154319028115
Arabic	2023400	manual_output_funchead_RANDOM2	7.008504538815002
English	6355946	manual_output_funchead_RANDOM2	6.79881061977328
Galician	3635717	manual_output_funchead_RANDOM2	6.511595184381893
Dutch	2257014	manual_output_funchead_RANDOM2	7.292369319268144
Ukrainian	8842355	manual_output_funchead_RANDOM2	9.284842264043364
Slovak	3302853	manual_output_funchead_RANDOM2	9.518737475375941
Hungarian	1593345	manual_output_funchead_RANDOM2	8.68285077680204
Korean	5508717	manual_output_funchead_RANDOM2	8.001231876132353
Catalan	9428544	manual_output_funchead_RANDOM2	6.266346466699219
Ukrainian	5745341	manual_output_funchead_RANDOM2	9.247620638025408
Korean	8604925	manual_output_funchead_RANDOM2	8.038713406236312
Ukrainian	943232	manual_output_funchead_RANDOM2	9.299889221688556
Norwegian	6143872	manual_output_funchead_RANDOM2	7.08567072306735
Swedish	5035985	manual_output_funchead_RANDOM2	7.357612004543872
Vietnamese	4877500	manual_output_funchead_RANDOM2	7.7931281922011735
Dutch	9863452	manual_output_funchead_RANDOM2	7.1260264805865665
Galician	3352105	manual_output_funchead_RANDOM2	6.5887370884757255
Irish	633872	manual_output_funchead_RANDOM2	9.060983046294014
Basque	2867589	manual_output_funchead_RANDOM2	8.551683052705528
Czech	4325506	manual_output_funchead_RANDOM2	7.22809373364503
Polish	4466759	manual_output_funchead_RANDOM2	8.821017114951655
Ancient_Greek	8916365	manual_output_funchead_RANDOM2	7.609134345018641
Ancient_Greek	1844718	manual_output_funchead_RANDOM2	7.56399398187466
Turkish	8267675	manual_output_funchead_RANDOM2	9.201012199261438
Latvian	5238843	manual_output_funchead_RANDOM2	8.939102806092379
Ukrainian	3267897	manual_output_funchead_RANDOM2	9.257722083139932
Spanish	5226932	manual_output_funchead_RANDOM2	6.377296246611507
Korean	8484480	manual_output_funchead_RANDOM2	8.073483205836178
Norwegian	6575353	manual_output_funchead_RANDOM2	7.062784651075534
Norwegian	5444616	manual_output_funchead_RANDOM2	7.085957638658179
Norwegian	605028	manual_output_funchead_RANDOM2	7.109231330602938
Basque	7215572	manual_output_funchead_RANDOM2	8.67248990502766
Latvian	9550416	manual_output_funchead_RANDOM2	8.943797226751336
Urdu	5769454	manual_output_funchead_RANDOM2	6.410939049527601
Italian	9704152	manual_output_funchead_RANDOM2	6.7219535497058045
Vietnamese	2830802	manual_output_funchead_RANDOM2	7.726474296970516
French	6748786	manual_output_funchead_RANDOM2	6.052496217409074
French	1296609	manual_output_funchead_RANDOM2	6.107786596714228
Hebrew	5306785	manual_output_funchead_RANDOM2	6.8873889640073465
Bulgarian	7735720	manual_output_funchead_RANDOM2	7.872932225844114
Arabic	5958193	manual_output_funchead_RANDOM2	7.132619782894099
Japanese	6836023	manual_output_funchead_RANDOM2	6.630489960925771
Indonesian	9080836	manual_output_funchead_RANDOM2	8.069873859031613
