Language	Model	Type	UAS	Pars	LAS	ParsU
Gothic	2669641	manual_output_funchead_RANDOM_pureUD	0.77338342891	1.0975929530967665	0.690626853866	0.7132688334791091
Hindi	5283545	manual_output_funchead_RANDOM_pureUD	0.848156380355	0.5982358478234514	0.816399232713	0.45097207159028074
Ancient_Greek	981045	manual_output_funchead_RANDOM_pureUD	0.695591092512	1.2866713089359267	0.628515916903	0.9451526996769939
Afrikaans	7103647	manual_output_funchead_RANDOM_pureUD	0.799916805324	0.9100651291761541	0.767678868552	0.7282191379098051
English	5583267	manual_output_funchead_RANDOM_pureUD	0.796313154301	0.8836847980155488	0.75989986345	0.6592472409070704
Hebrew	9762060	manual_output_funchead_RANDOM_pureUD	0.765790778384	1.045052919378361	0.736539414973	0.7979316834358514
Basque	6502673	manual_output_funchead_RANDOM_pureUD	0.741175290814	1.2878494063415442	0.609255916566	0.770437641019234
Ancient_Greek	3771999	manual_output_funchead_RANDOM_pureUD	0.789448512928	1.063929581930776	0.69343894784	0.6786270615712817
Estonian	34935	manual_output_funchead_RANDOM_pureUD	0.772763807555	1.0016671861678563	0.706051211391	0.7158396473987044
Bulgarian	6459578	manual_output_funchead_RANDOM_pureUD	0.852288337792	0.5823264876774478	0.82842889162	0.46346677043037865
Gothic	3513401	manual_output_funchead_RANDOM_pureUD	0.707929602531	1.3372269230254772	0.60213565355	0.8822621389036007
Chinese	4073765	manual_output_funchead_RANDOM_pureUD	0.63507805326	1.569525491611141	0.572727272727	1.1989545447110472
Urdu	4879768	manual_output_funchead_RANDOM_pureUD	0.719155376189	1.1662598220853237	0.668204093399	0.90961628888553
Turkish	7178090	manual_output_funchead_RANDOM_pureUD	0.549376680518	1.9755305170692345	0.432657052066	1.393296173107825
Galician	9304750	manual_output_funchead_RANDOM_pureUD	0.770105159112	1.1675923716075691	0.707833392823	0.7670002875625653
Slovenian	8627834	manual_output_funchead_RANDOM_pureUD	0.799043722128	1.0043376547193523	0.736931635327	0.684821352070789
Coptic	148806	manual_output_funchead_RANDOM_pureUD	0.783008036739	1.011680303567039	0.735935706085	0.7179089632702202
Coptic	148806	manual_output_funchead_RANDOM_pureUD	0.770378874856	1.035221955806325	0.723306544202	0.7228690565111443
Turkish	7146596	manual_output_funchead_RANDOM_pureUD	0.624297237839	1.8958027670972653	0.468345147886	1.2234202471696727
Ukrainian	8968588	manual_output_funchead_RANDOM_pureUD	0.697280534351	1.2638994737720217	0.653625954198	0.9914175223644454
Ukrainian	8968588	manual_output_funchead_RANDOM_pureUD	0.696445610687	1.293642928681642	0.651479007634	1.0056547040176642
Danish	4604447	manual_output_funchead_RANDOM_pureUD	0.778845079861	0.9060185802032145	0.750921478834	0.7270310876570001
Czech	4136659	manual_output_funchead_RANDOM_pureUD	0.818492501635	0.7489430749156497	0.784109458394	0.5675031985674399
Slovak	1963158	manual_output_funchead_RANDOM_pureUD	0.790699859089	0.8579913776096686	0.751244715829	0.6556628560728733
Irish	6102699	manual_output_funchead_RANDOM_pureUD	0.494503193383	2.5769641846964437	0.436289393781	1.891437289028589
Korean	3711669	manual_output_funchead_RANDOM_pureUD	0.556723969763	1.9337565874550524	0.430779078274	1.2783783855735602
Telugu	5025224	manual_output_funchead_RANDOM_pureUD	0.809248554913	1.0462940350203616	0.697495183044	0.5288690050672704
Latin	3070247	manual_output_funchead_RANDOM_pureUD	0.769287461057	1.3123195061016424	0.656862416669	0.7534789424406448
Arabic	9434712	manual_output_funchead_RANDOM_pureUD	0.769371528855	1.0402939525751909	0.7266102366	0.8138827631044383
Indonesian	8799731	manual_output_funchead_RANDOM_pureUD	0.74222639737	1.2002856500275318	0.698543917332	0.8858843921439197
Telugu	2119904	manual_output_funchead_RANDOM_pureUD	0.847784200385	0.811874806306725	0.739884393064	0.38526668300518413
Chinese	3250796	manual_output_funchead_RANDOM_pureUD	0.657208448118	1.4680401604147106	0.593388429752	1.0829447703584822
Czech	1698218	manual_output_funchead_RANDOM_pureUD	0.810844353148	0.7762244756075563	0.771692680153	0.5888203975673413
Estonian	9457550	manual_output_funchead_RANDOM_pureUD	0.813181765989	1.0119150153995724	0.686071879665	0.5730365727724308
Polish	8097416	manual_output_funchead_RANDOM_pureUD	0.857591623037	0.5808418073787323	0.826410703898	0.44297336749797506
Slovak	4290004	manual_output_funchead_RANDOM_pureUD	0.816815406294	0.7432517156690821	0.79032409582	0.5855461115349118
Romanian	6460468	manual_output_funchead_RANDOM_pureUD	0.753819234134	1.1353873831160866	0.691500100949	0.8182834010159827
Dutch	5459514	manual_output_funchead_RANDOM_pureUD	0.839644351464	0.7455004801622993	0.80789748954	0.541548245789865
Hindi	833561	manual_output_funchead_RANDOM_pureUD	0.856072831349	0.5594979054647143	0.835307371434	0.447424273724584
Belarusian	8387309	manual_output_funchead_RANDOM_pureUD	0.604395604396	1.8531697571184047	0.569073783359	1.4106641684072545
Lithuanian	8265421	manual_output_funchead_RANDOM_pureUD	0.467723669309	2.3889202601777333	0.408833522084	1.7525246502453986
Italian	3070846	manual_output_funchead_RANDOM_pureUD	0.838920817369	0.7143243967966609	0.792997020009	0.519193487777107
Serbian	7541606	manual_output_funchead_RANDOM_pureUD	0.762379603399	1.0883094963743734	0.717620396601	0.7998916706349964
Hungarian	5784809	manual_output_funchead_RANDOM_pureUD	0.700511175704	1.3080717050755586	0.658915505663	0.99638620043752
Danish	5336347	manual_output_funchead_RANDOM_pureUD	0.801072266279	0.8528088985056128	0.77091477717	0.6685535550037602
Coptic	3426721	manual_output_funchead_RANDOM_pureUD	0.811710677382	0.9860025506068864	0.739380022962	0.6399446491806433
Portuguese	7243047	manual_output_funchead_RANDOM_pureUD	0.829120864425	0.6948003141293825	0.796490946535	0.5410732684767623
Russian	3711003	manual_output_funchead_RANDOM_pureUD	0.760900500911	1.0615829321062142	0.711454538555	0.7678743299883103
Danish	4297876	manual_output_funchead_RANDOM_pureUD	0.7934770468	0.8570725507980137	0.768010722663	0.6869564181158133
Dutch	6111704	manual_output_funchead_RANDOM_pureUD	0.846705020921	0.7338127294282534	0.810669456067	0.5361385117998059
Polish	3497833	manual_output_funchead_RANDOM_pureUD	0.851774287376	0.6243106799461315	0.800930773706	0.4542572399569917
Slovenian	687137	manual_output_funchead_RANDOM_pureUD	0.780791687738	1.0115624470473115	0.739690129189	0.7288617451439441
Hebrew	1940837	manual_output_funchead_RANDOM_pureUD	0.754784333168	1.0698842120986205	0.729300941993	0.8396211981832479
Spanish	6113650	manual_output_funchead_RANDOM_pureUD	0.819502703795	0.7786275087303891	0.78466922727	0.6035101678985475
Greek	3199660	manual_output_funchead_RANDOM_pureUD	0.796894938324	0.9227908390575346	0.768715440238	0.7302004351406998
Ukrainian	9837586	manual_output_funchead_RANDOM_pureUD	0.75989980916	1.1218719290754267	0.716364503817	0.8437369546092307
Vietnamese	1921707	manual_output_funchead_RANDOM_pureUD	0.582175808578	1.697664414967314	0.514042380614	1.2293030542690615
Latvian	3955902	manual_output_funchead_RANDOM_pureUD	0.674196833627	1.5706524788869796	0.585593926488	1.0861596369089963
Japanese	7481395	manual_output_funchead_RANDOM_pureUD	0.811052378664	0.80542633037393	0.758097068717	0.5972212038379286
Latvian	223672	manual_output_funchead_RANDOM_pureUD	0.624849550968	1.717121981468568	0.561336913249	1.2410238349716947
Greek	2390680	manual_output_funchead_RANDOM_pureUD	0.784772437261	0.8773994148918437	0.758400680561	0.6969944310918457
Galician	846004	manual_output_funchead_RANDOM_pureUD	0.749924494111	1.2094727425745326	0.71077125834	0.874323496613385
Turkish	4982947	manual_output_funchead_RANDOM_pureUD	0.584942556832	1.9539802079094677	0.454289904669	1.3104636257127804
Japanese	3863247	manual_output_funchead_RANDOM_pureUD	0.776453628063	0.8672472278410743	0.724939932725	0.6614448314100317
