Language	FileName	ModelName	Counter	Model	Temperature	OriginalCounter	AverageLengthPerWord	AverageLengthPerSentence	OriginalLoss	Type
Estonian	7315204	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	6950	4380805	Infinity	100850	2.8795261404	25.9857553957	NA	manual_output_funchead_two_coarse_final
Turkish	9551392	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	3680	2201784	Infinity	50970	2.49109905712	18.5945652174	NA	manual_output_funchead_two_coarse_final
Portuguese	2545704	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	17990	1181701	Infinity	51770	3.7165541219	79.2072262368	NA	manual_output_funchead_two_coarse_final
Old_Church_Slavonic	6449253	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4120	2533653	Infinity	151070	2.54182955434	20.5160194175	NA	manual_output_funchead_two_coarse_final
Danish	3124802	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4380	6153946	Infinity	100560	2.66812678337	39.4949771689	NA	manual_output_funchead_two_coarse_final
Estonian	2686361	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	6950	950590	Infinity	250850	2.69612642927	24.3260431655	NA	manual_output_funchead_two_coarse_final
Turkish	2862995	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	3680	6923983	Infinity	50970	2.3419024071	17.5019021739	NA	manual_output_funchead_two_coarse_final
Norwegian	9314271	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	29870	5226187	Infinity	254630	2.31488243135	31.2219283562	NA	manual_output_funchead_two_coarse_final
Ancient_Greek	7560424	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	26320	3735536	Infinity	202150	2.3490284232	26.5612462006	NA	manual_output_funchead_two_coarse_final
Urdu	7548657	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4040	2871146	Infinity	150550	3.12965938141	76.6665841584	NA	manual_output_funchead_two_coarse_final
Old_Church_Slavonic	6308179	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4120	3007583	Infinity	251070	2.62207066458	21.1827669903	NA	manual_output_funchead_two_coarse_final
Slovak	8457425	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	8480	8381866	Infinity	51060	2.53447360974	16.8972877358	NA	manual_output_funchead_two_coarse_final
German	5925901	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	13810	7802485	Infinity	250790	2.87400996883	44.8002172339	NA	manual_output_funchead_two_coarse_final
Tamil	7051632	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	400	5451985	Infinity	50080	2.44414893617	32.165	NA	manual_output_funchead_two_coarse_final
Dutch	3970809	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	18310	1862019	Infinity	151510	2.48395286254	29.3900054615	NA	manual_output_funchead_two_coarse_final
Czech	2788909	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	102990	2588240	Infinity	111310	2.62885324537	36.8662782794	NA	manual_output_funchead_two_coarse_final
Indonesian	2770237	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4470	9866840	Infinity	50550	2.68212005272	46.8914988814	NA	manual_output_funchead_two_coarse_final
Portuguese	75825	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	17990	3038436	Infinity	101770	2.52249951746	53.7571428571	NA	manual_output_funchead_two_coarse_final
Turkish	5569926	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	3680	1325058	Infinity	50970	2.50198217858	18.6934782609	NA	manual_output_funchead_two_coarse_final
Norwegian	6661777	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	29870	5713149	Infinity	254630	2.56096616535	34.5409775695	NA	manual_output_funchead_two_coarse_final
Catalan	2405888	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	13120	1699364	Infinity	151700	2.65528350693	73.3099085366	NA	manual_output_funchead_two_coarse_final
