Language	FileName	ModelName	Counter	Model	Temperature	OriginalCounter	AverageLengthPerWord	AverageLengthPerSentence	OriginalLoss	Type
Old_Church_Slavonic	6590040	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4120	2399527	Infinity	251070	2.60767705893	21.072815534	NA	manual_output_funchead_two_coarse_parser_final
Indonesian	5319519	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4470	521278	Infinity	250550	2.44404295123	42.6706935123	NA	manual_output_funchead_two_coarse_parser_final
Czech	7261689	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	102990	2118014	Infinity	61310	2.83012222454	39.6890086416	NA	manual_output_funchead_two_coarse_parser_final
Bulgarian	3652167	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	8900	9007615	Infinity	151110	3.14756976341	34.6494382022	NA	manual_output_funchead_two_coarse_parser_final
Serbian	5150822	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	2930	1935544	Infinity	250460	2.62064665212	48.7699658703	NA	manual_output_funchead_two_coarse_parser_final
Norwegian	1585826	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	29870	7874052	Infinity	54630	2.71540517933	36.623970539	NA	manual_output_funchead_two_coarse_parser_final
Latvian	8409001	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4120	7806914	Infinity	50980	2.91744587651	33.6242718447	NA	manual_output_funchead_two_coarse_parser_final
Czech	5636681	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	102990	1786864	Infinity	61310	3.2135828489	45.0660452471	NA	manual_output_funchead_two_coarse_parser_final
Latvian	5115339	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4120	558903	Infinity	200980	2.7568733948	31.7856796117	NA	manual_output_funchead_two_coarse_parser_final
Vietnamese	5589205	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	1400	6709736	Infinity	50800	2.26645708897	25.7485714286	NA	manual_output_funchead_two_coarse_parser_final
Hungarian	822361	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	910	858267	Infinity	50440	2.80763358779	50.521978022	NA	manual_output_funchead_two_coarse_parser_final
Catalan	1707545	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	13120	2864162	Infinity	151700	2.74264496805	75.7227134146	NA	manual_output_funchead_two_coarse_parser_final
Ancient_Greek	3043044	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	26320	4674864	Infinity	252150	2.63387295123	29.7829787234	NA	manual_output_funchead_two_coarse_parser_final
Croatian	5283479	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	7680	8820171	Infinity	250600	2.51770443091	46.115625	NA	manual_output_funchead_two_coarse_parser_final
Galician	124256	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	2470	5072964	Infinity	101260	2.74720147985	81.7720647773	NA	manual_output_funchead_two_coarse_parser_final
Polish	6930141	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	6100	7708753	Infinity	251020	1.86779448622	14.1719672131	NA	manual_output_funchead_two_coarse_parser_final
Italian	208733	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	17420	9958142	Infinity	101070	2.4459603749	43.790413318	NA	manual_output_funchead_two_coarse_parser_final
Chinese	5934050	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	3990	7300262	Infinity	150500	2.63999950548	53.5185463659	NA	manual_output_funchead_two_coarse_parser_final
Serbian	704802	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	2930	2698754	Infinity	250460	3.01354025431	56.1341296928	NA	manual_output_funchead_two_coarse_parser_final
Catalan	8490824	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	13120	4111047	Infinity	251700	3.37086408984	93.0723323171	NA	manual_output_funchead_two_coarse_parser_final
Swedish	7352234	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	7040	4749387	Infinity	251410	2.3948754538	32.4213068182	NA	manual_output_funchead_two_coarse_parser_final
Arabic	4797347	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	21860	2421104	Infinity	52890	5.18587568797	169.007593779	NA	manual_output_funchead_two_coarse_parser_final
Estonian	197900	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	6950	4865892	Infinity	50850	2.52268090532	22.7730935252	NA	manual_output_funchead_two_coarse_parser_final
Tamil	9524537	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	400	568335	Infinity	50080	2.66337386018	35.05	NA	manual_output_funchead_two_coarse_parser_final
Slovak	4934447	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	8480	6736761	Infinity	101060	2.54980460116	17.004009434	NA	manual_output_funchead_two_coarse_parser_final
Spanish	3117323	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	28490	2600578	Infinity	53050	2.77716982393	68.536047736	NA	manual_output_funchead_two_coarse_parser_final
Indonesian	5820374	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4470	3248260	Infinity	50550	2.9289547498	51.1597315436	NA	manual_output_funchead_two_coarse_parser_final
Vietnamese	4664714	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	1400	6256452	Infinity	50800	2.33021062559	26.4728571429	NA	manual_output_funchead_two_coarse_parser_final
Russian	8544063	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	52660	490687	Infinity	257160	2.25312356673	30.8784466388	NA	manual_output_funchead_two_coarse_parser_final
French	890933	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	32340	4038162	Infinity	53230	3.35691216187	78.0979282622	NA	manual_output_funchead_two_coarse_parser_final
Italian	634756	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	17420	1618543	Infinity	251070	2.55969333278	45.8260045924	NA	manual_output_funchead_two_coarse_parser_final
French	7077849	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	32340	6899976	Infinity	53230	3.72704505182	86.6955163884	NA	manual_output_funchead_two_coarse_parser_final
Czech	4781107	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	102990	4588980	Infinity	61310	3.30337540004	46.3227594912	NA	manual_output_funchead_two_coarse_parser_final
Russian	3571768	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	52660	2363166	Infinity	57160	2.74914020303	37.6757500949	NA	manual_output_funchead_two_coarse_parser_final
Galician	3977816	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	2470	5054937	Infinity	151260	2.94890838604	87.7688259109	NA	manual_output_funchead_two_coarse_parser_final
Norwegian	6872366	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	29870	6908166	Infinity	254630	2.1442893631	28.9210579176	NA	manual_output_funchead_two_coarse_parser_final
Portuguese	9567571	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	17990	8924211	Infinity	51770	3.87375845088	82.5551973319	NA	manual_output_funchead_two_coarse_parser_final
Korean	9607544	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	27410	3656292	Infinity	253010	2.22287058065	23.1399124407	NA	manual_output_funchead_two_coarse_parser_final
Hebrew	7969832	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	5240	3732660	Infinity	50480	2.58538056918	58.0620229008	NA	manual_output_funchead_two_coarse_parser_final
Belarusian	1828059	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	260	8158706	Infinity	50060	2.99311531842	46.8192307692	NA	manual_output_funchead_two_coarse_parser_final
German	1638982	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	13810	2572163	Infinity	250790	2.36907388911	36.9265025344	NA	manual_output_funchead_two_coarse_parser_final
Ukrainian	9247060	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4500	4524491	Infinity	50570	2.79185039579	35.034	NA	manual_output_funchead_two_coarse_parser_final
Lithuanian	8774477	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	150	7596352	Infinity	50050	3.17781614156	49.0866666667	NA	manual_output_funchead_two_coarse_parser_final
French	4431238	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	32340	2233971	Infinity	53230	2.93675019871	68.3213048856	NA	manual_output_funchead_two_coarse_parser_final
Estonian	1627020	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	6950	2859924	Infinity	250850	2.64460030286	23.8717985612	NA	manual_output_funchead_two_coarse_parser_final
Bulgarian	5475274	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	8900	2790333	Infinity	51110	2.35144568845	25.8873033708	NA	manual_output_funchead_two_coarse_parser_final
Indonesian	5273901	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4470	121464	Infinity	50550	3.12311609222	54.6105145414	NA	manual_output_funchead_two_coarse_parser_final
Croatian	7729707	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	7680	1326278	Infinity	200600	2.34914237377	43.0305989583	NA	manual_output_funchead_two_coarse_parser_final
Indonesian	5751317	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4470	9119583	Infinity	200550	2.25830891104	39.4769574944	NA	manual_output_funchead_two_coarse_parser_final
Portuguese	7499457	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	17990	2078226	Infinity	51770	3.14978814886	67.1081712062	NA	manual_output_funchead_two_coarse_parser_final
Irish	8673723	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	120	1925711	Infinity	50450	4.32779009608	97.5916666667	NA	manual_output_funchead_two_coarse_parser_final
Latvian	9802396	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4120	5496593	Infinity	50980	3.07066304508	35.3968446602	NA	manual_output_funchead_two_coarse_parser_final
Marathi	4586371	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	370	8188620	Infinity	50040	1.90732654051	10.6243243243	NA	manual_output_funchead_two_coarse_parser_final
Greek	9229764	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	1660	3709688	Infinity	100400	2.55489296216	56.0060240964	NA	manual_output_funchead_two_coarse_parser_final
Ancient_Greek	1993062	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	26320	5479284	Infinity	252150	2.61689666643	29.5901215805	NA	manual_output_funchead_two_coarse_parser_final
Italian	2176382	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	17420	2428529	Infinity	51070	3.39241813465	60.7252583238	NA	manual_output_funchead_two_coarse_parser_final
Hindi	9970533	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	13300	8937917	Infinity	51650	2.86402950239	53.6045112782	NA	manual_output_funchead_two_coarse_parser_final
Danish	1956932	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4380	3303915	Infinity	50560	3.80098382396	56.2762557078	NA	manual_output_funchead_two_coarse_parser_final
Belarusian	1388370	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	260	3860927	Infinity	50060	3.41529382837	53.4230769231	NA	manual_output_funchead_two_coarse_parser_final
Persian	6630472	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4790	5068970	Infinity	250590	3.15336770836	69.327348643	NA	manual_output_funchead_two_coarse_parser_final
Coptic	2763010	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	360	8232098	Infinity	50040	3.44073853484	80.2361111111	NA	manual_output_funchead_two_coarse_parser_final
Finnish	8282533	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	27190	805706	Infinity	53230	2.74341542846	22.3070246414	NA	manual_output_funchead_two_coarse_parser_final
Romanian	4257975	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	8660	7771658	Infinity	50750	2.89537634542	53.9870669746	NA	manual_output_funchead_two_coarse_parser_final
Latvian	4231014	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4120	7444478	Infinity	50980	3.05730164411	35.2502427184	NA	manual_output_funchead_two_coarse_parser_final
Tamil	6787484	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	400	9984327	Infinity	50080	2.70421732523	35.5875	NA	manual_output_funchead_two_coarse_parser_final
Lithuanian	9559172	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	150	3636457	Infinity	50050	3.25626859329	51.08	NA	manual_output_funchead_two_coarse_parser_final
Ukrainian	493890	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4500	1900506	Infinity	50570	3.25105002924	40.766	NA	manual_output_funchead_two_coarse_parser_final
Slovenian	5574066	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	7530	1651403	Infinity	201810	3.011734292	39.6069057105	NA	manual_output_funchead_two_coarse_parser_final
English	3867144	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	17060	4143283	Infinity	53070	3.08829838231	44.5601992966	NA	manual_output_funchead_two_coarse_parser_final
Coptic	2226024	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	360	9741172	Infinity	50040	4.11593163619	95.6611111111	NA	manual_output_funchead_two_coarse_parser_final
Hebrew	7052142	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	5240	3031317	Infinity	100480	2.79174562171	62.6986641221	NA	manual_output_funchead_two_coarse_parser_final
Arabic	9043620	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	21860	6135873	Infinity	252890	3.42239985176	111.524519671	NA	manual_output_funchead_two_coarse_parser_final
Chinese	5083956	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	3990	3137902	Infinity	250500	2.67970460534	54.2932330827	NA	manual_output_funchead_two_coarse_parser_final
Tamil	9312422	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	400	2281563	Infinity	50080	2.80775075988	36.95	NA	manual_output_funchead_two_coarse_parser_final
Chinese	9707367	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	3990	5913855	Infinity	50500	2.77483574813	56.2067669173	NA	manual_output_funchead_two_coarse_parser_final
Swedish	5033126	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	7040	3015226	Infinity	51410	3.06129942614	41.4488636364	NA	manual_output_funchead_two_coarse_parser_final
German	7999425	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	13810	103878	Infinity	50790	2.73336801475	42.6122375091	NA	manual_output_funchead_two_coarse_parser_final
German	9155250	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	13810	8062194	Infinity	50790	2.73703937652	42.6720492397	NA	manual_output_funchead_two_coarse_parser_final
Gothic	2506236	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	3380	6366749	Infinity	150980	3.13430282293	29.2686390533	NA	manual_output_funchead_two_coarse_parser_final
Galician	6207294	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	2470	9073605	Infinity	101260	2.77370883081	82.5801619433	NA	manual_output_funchead_two_coarse_parser_final
Dutch	6486022	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	18310	1277013	Infinity	251510	3.20118812978	37.8762971054	NA	manual_output_funchead_two_coarse_parser_final
Lithuanian	3428725	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	150	5161978	Infinity	50050	3.15843270869	49.44	NA	manual_output_funchead_two_coarse_parser_final
Hungarian	1306931	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	910	3109809	Infinity	100440	3.26424427481	58.7384615385	NA	manual_output_funchead_two_coarse_parser_final
Slovak	7686286	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	8480	4188998	Infinity	151060	2.41841011584	16.1260613208	NA	manual_output_funchead_two_coarse_parser_final
Latin	2031979	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	30590	1972105	Infinity	52560	3.67153311297	42.7748610657	NA	manual_output_funchead_two_coarse_parser_final
Finnish	9103395	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	27190	1790714	Infinity	253230	2.34532393627	19.0681132769	NA	manual_output_funchead_two_coarse_parser_final
Lithuanian	1688972	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	150	4017245	Infinity	50050	3.02787307033	47.0733333333	NA	manual_output_funchead_two_coarse_parser_final
Afrikaans	5457448	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	1310	8978644	Infinity	100190	2.99778557558	67.1709923664	NA	manual_output_funchead_two_coarse_parser_final
Finnish	8966585	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	27190	7287120	Infinity	53230	2.5444453994	20.6876792939	NA	manual_output_funchead_two_coarse_parser_final
Romanian	100804	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	8660	8692461	Infinity	100750	3.42508391444	63.8639722864	NA	manual_output_funchead_two_coarse_parser_final
English	1331986	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	17060	8036746	Infinity	53070	3.02017744124	43.5794255569	NA	manual_output_funchead_two_coarse_parser_final
Vietnamese	4485822	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	1400	9133800	Infinity	50800	2.13850990255	24.295	NA	manual_output_funchead_two_coarse_parser_final
Polish	2835919	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	6100	7942406	Infinity	51020	2.36347333852	17.9329508197	NA	manual_output_funchead_two_coarse_parser_final
Ancient_Greek	5984615	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	26320	3552868	Infinity	252150	2.70010517438	30.5301671733	NA	manual_output_funchead_two_coarse_parser_final
Persian	247798	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4790	8964424	Infinity	50590	3.57237360364	78.5795407098	NA	manual_output_funchead_two_coarse_parser_final
Irish	7025743	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	120	4338746	Infinity	50450	3.50300075019	77.825	NA	manual_output_funchead_two_coarse_parser_final
Marathi	3717666	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	370	5291894	Infinity	50040	1.97015655577	10.8837837838	NA	manual_output_funchead_two_coarse_parser_final
Turkish	6323228	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	3680	4276515	Infinity	50970	2.22888105022	16.6554347826	NA	manual_output_funchead_two_coarse_parser_final
Old_Church_Slavonic	6806524	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4120	1449463	Infinity	201070	2.19687687688	17.7563106796	NA	manual_output_funchead_two_coarse_parser_final
Italian	4154709	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	17420	9645835	Infinity	51070	2.64463655282	47.3455223881	NA	manual_output_funchead_two_coarse_parser_final
Finnish	5260377	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	27190	6494358	Infinity	253230	2.30241857057	18.7208900331	NA	manual_output_funchead_two_coarse_parser_final
Marathi	4503107	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	370	1412817	Infinity	50040	1.82937469704	10.2	NA	manual_output_funchead_two_coarse_parser_final
Spanish	2493576	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	28490	3731817	Infinity	253050	2.67620683917	66.0453843454	NA	manual_output_funchead_two_coarse_parser_final
Russian	6364462	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	52660	6809775	Infinity	57160	2.69069222199	36.8744398025	NA	manual_output_funchead_two_coarse_parser_final
German	7983155	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	13810	5041218	Infinity	50790	2.49436537282	38.8832005793	NA	manual_output_funchead_two_coarse_parser_final
Hebrew	1242258	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	5240	4742026	Infinity	50480	3.25919567582	73.1851145038	NA	manual_output_funchead_two_coarse_parser_final
Korean	931577	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	27410	7757333	Infinity	253010	2.21844071551	23.093797884	NA	manual_output_funchead_two_coarse_parser_final
Marathi	5447703	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	370	7830932	Infinity	50040	1.9392318911	10.7810810811	NA	manual_output_funchead_two_coarse_parser_final
Hindi	1648207	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	13300	8767252	Infinity	251650	2.70947422548	50.7115789474	NA	manual_output_funchead_two_coarse_parser_final
Vietnamese	2673035	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	1400	5040448	Infinity	50800	2.28475322226	25.9564285714	NA	manual_output_funchead_two_coarse_parser_final
Chinese	5086794	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	3990	9179442	Infinity	150500	2.79892373353	56.7045112782	NA	manual_output_funchead_two_coarse_parser_final
Norwegian	3652534	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	29870	3865666	Infinity	54630	2.96667667814	40.0129896217	NA	manual_output_funchead_two_coarse_parser_final
Slovenian	2069830	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	7530	8014401	Infinity	51810	2.65115175741	34.8790172643	NA	manual_output_funchead_two_coarse_parser_final
Belarusian	477473	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	260	5712831	Infinity	50060	2.99877059257	46.9076923077	NA	manual_output_funchead_two_coarse_parser_final
Finnish	8302018	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	27190	1444965	Infinity	153230	2.0775476785	16.8911732255	NA	manual_output_funchead_two_coarse_parser_final
Estonian	167749	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	6950	7605743	Infinity	50850	2.90003029385	26.1707913669	NA	manual_output_funchead_two_coarse_parser_final
Romanian	9336225	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	8660	3384761	Infinity	200750	2.38251450725	44.4234411085	NA	manual_output_funchead_two_coarse_parser_final
Greek	7933325	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	1660	4374221	Infinity	150400	4.01609939387	88.2114457831	NA	manual_output_funchead_two_coarse_parser_final
Vietnamese	6016428	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	1400	6302447	Infinity	50800	2.25570575291	25.6264285714	NA	manual_output_funchead_two_coarse_parser_final
Old_Church_Slavonic	8159176	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4120	4322322	Infinity	251070	2.02689464511	16.3716019417	NA	manual_output_funchead_two_coarse_parser_final
Serbian	3342474	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	2930	5817984	Infinity	50460	2.92465414567	54.4754266212	NA	manual_output_funchead_two_coarse_parser_final
Catalan	1015897	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	13120	2730880	Infinity	251700	3.09143917307	85.3463414634	NA	manual_output_funchead_two_coarse_parser_final
Korean	9335643	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	27410	5369201	Infinity	253010	2.236433538	23.2811017877	NA	manual_output_funchead_two_coarse_parser_final
Dutch	8104219	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	18310	5112200	Infinity	51510	3.25632030576	38.5286182414	NA	manual_output_funchead_two_coarse_parser_final
English	5803158	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	17060	8141662	Infinity	53070	2.898654275	41.8294841735	NA	manual_output_funchead_two_coarse_parser_final
Romanian	254454	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	8660	7527880	Infinity	200750	2.37468570792	44.2782909931	NA	manual_output_funchead_two_coarse_parser_final
Slovak	917192	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	8480	9710036	Infinity	251060	2.15102048035	14.3423349057	NA	manual_output_funchead_two_coarse_parser_final
Slovak	6344615	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	8480	2122446	Infinity	201060	2.33618022032	15.5799528302	NA	manual_output_funchead_two_coarse_parser_final
Norwegian	1586523	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	29870	9635432	Infinity	54630	3.53554363556	47.6855708068	NA	manual_output_funchead_two_coarse_parser_final
French	4344289	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	32340	6414349	Infinity	53230	2.58907800023	60.2363327149	NA	manual_output_funchead_two_coarse_parser_final
Dutch	1059655	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	18310	2997765	Infinity	51510	3.66702362873	43.3880393228	NA	manual_output_funchead_two_coarse_parser_final
Slovak	8883324	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	8480	3188434	Infinity	51060	2.33506649689	15.5700471698	NA	manual_output_funchead_two_coarse_parser_final
Belarusian	1265306	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	260	9484416	Infinity	50060	2.91517088763	45.6	NA	manual_output_funchead_two_coarse_parser_final
Ancient_Greek	7845659	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	26320	6022317	Infinity	252150	2.36035482083	26.6898556231	NA	manual_output_funchead_two_coarse_parser_final
Slovak	1234310	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	8480	5405356	Infinity	51060	2.26511520982	15.1049528302	NA	manual_output_funchead_two_coarse_parser_final
