dependency	satisfiedFraction	posteriorMean	posteriorSD	posteriorOpposite
acl	0.727040816326531	1.09067288225258	0.232708402829471	0
advcl	0.75	1.17995628072209	0.271110411960887	2e-04
advmod	0.318627450980392	-0.903044809914455	0.24747065202504	0.9996
amod	0.536764705882353	0.259570039714879	0.173328415347861	0.0422
appos	0.617021276595745	0.490966939474978	0.217835176738929	0.016
aux	0.308673469387755	-1.14521953912474	0.415784038461192	0.9959
ccomp	0.852040816326531	2.06068355584068	0.434482066411471	0
compound	0.576704545454545	0.349925579503772	0.288888153059064	0.1033
conj	0.635	0.667877934472914	0.282220011757412	0.0108
csubj	0.664893617021277	0.685723331821088	0.294602698198517	0.0159
dep	0.661184210526316	0.646512508131022	0.325279702722103	0.0266
det	0.53921568627451	0.215051134718719	0.140387367042631	0.0515
discourse	0.403571428571429	-0.390251685084161	0.222977642374891	0.958
dislocated	0.572368421052632	0.195962455896698	0.407474580241089	0.2572
expl	0.567708333333333	0.577555175110664	0.801872561526968	0.2055
fixed	0.44375	-0.15808432758787	0.292333426716698	0.732
flat	0.562674094707521	0.287265710310703	0.147899301963527	0.021
goeswith	0.477941176470588	-0.116647395690464	0.283048088615152	0.675
iobj	0.679347826086957	0.820756055873705	0.424716676461318	0.0303
lifted_case	0.678921568627451	0.888544955944823	0.227228715567133	1e-04
lifted_cc	0.740196078431373	1.12004048018599	0.219285716740805	1e-04
lifted_cop	0.61436170212766	0.469362221850494	0.140030300707094	0.0018
lifted_mark	0.735294117647059	1.11641968782009	0.349292396140847	0.0015
list	0.558333333333333	0.455317620506495	0.584666226576693	0.2005
nmod	0.696078431372549	0.970728363345227	0.271781544011044	5e-04
nsubj	0.132352941176471	-2.96896300174793	0.765887942272317	1
nummod	0.509803921568627	0.0497817243929169	0.132904960806735	0.3507
obl	0.693627450980392	0.943223218774917	0.309900415605448	0.003
orphan	0.578125	0.334101305909428	0.218192543364356	0.0596
parataxis	0.607954545454545	0.413802412193558	0.255734399465704	0.0561
reparandum	0.45	-0.103280587924687	0.795396346881748	0.6896
vocative	0.420138888888889	-0.304908525978837	0.264487425347116	0.8813
xcomp	0.918367346938776	3.35212886102377	0.689509347894317	0
