dependency	satisfiedFraction	posteriorMean	posteriorSD	num_langs	posteriorOpposite
acl	0.795918367346939	2.5094788254227	2.01255111746062	51	0.046375
advcl	0.857142857142857	3.50426402580241	2.05989558077358	51	0.001875
advmod	0.352941176470588	1.52323938189041	2.38892792735681	51	0.242875
amod	0.509803921568627	2.81203059370092	3.20366352224579	51	0.13475
appos	0.765957446808511	1.39786559475678	2.68996254678005	51	0.240125
aux	0.122448979591837	-3.88575198750168	2.11539502217212	51	1
ccomp	0.857142857142857	4.62188575365026	2.96408727068189	51	0.003125
compound	0.659090909090909	0.943173585236662	0.725894181281658	51	0.060375
conj	0.72	0.9045843174629	2.87294308965006	51	0.335125
csubj	0.787234042553192	1.47938027577942	0.859801213500752	51	0.02175
dep	0.564102564102564	-0.0605447351898509	1.00013294684123	51	0.503375
det	0.313725490196078	-0.203198684285343	2.02750992799491	51	0.56675
discourse	0.243243243243243	-1.90487548087919	2.68368759100744	51	0.827875
dislocated	0.473684210526316	0.26657175999502	2.69473796636625	51	0.47075
expl	0.125	-2.40194257561784	2.15739275974458	51	0.906875
fixed	0.780487804878049	1.32095731171076	1.72522369750231	51	0.148375
flat	0.733333333333333	0.162577883791193	2.5374157107595	51	0.428875
goeswith	0.611111111111111	1.48302842434399	2.48034751043765	51	0.20275
iobj	0.739130434782609	2.36332260971653	1.72198396160297	51	0.008125
lifted_case	0.862745098039216	5.90002221614924	3.51076833602541	51	0.000375
lifted_cc	0.705882352941177	0.900220297845377	1.04537309707435	51	0.14675
lifted_cop	0.9375	7.82195245998997	4.94695496774719	51	0
lifted_mark	0.764705882352941	3.25744533480897	3.45303415537896	51	0.084375
list	0.941176470588235	10.2866217188396	7.15943473603621	51	0.01075
nmod	0.803921568627451	4.56336751393585	3.01441724923282	51	0.01325
nsubj	0.333333333333333	0.732036471493337	2.13569759962148	51	0.3685
nummod	0.372549019607843	0.403477298321002	1.104148775366	51	0.37425
obl	0.882352941176471	6.70077467858523	4.15795173318759	51	0
orphan	0.823529411764706	3.70021233737606	3.48288376524581	51	0.04025
parataxis	0.659090909090909	-0.0949381003627419	1.21124818688669	51	0.464375
reparandum	0.181818181818182	-5.71704242331274	5.54308002889757	51	0.923
vocative	0.459459459459459	0.0819145342365011	0.71280553118925	51	0.504875
xcomp	0.877551020408163	5.91897259890651	3.51493044746507	51	0
