dependency	satisfiedFraction	posteriorMean	posteriorSD	posteriorOpposite
acl	0.849431818181818	1.8707642754333	0.248039105653651	0
advcl	0.841359773371105	1.89294794951389	0.311083424836942	0
advmod	0.508152173913043	0.0492237550758339	0.223311347885497	0.3895
amod	0.83695652173913	1.82377188502951	0.23380528850713	0
appos	0.773529411764706	1.52210955814702	0.280262627876814	0
aux	0.263456090651558	-1.28222268236049	0.274577404183455	1
ccomp	0.876056338028169	2.13189197115507	0.347172169155746	0
compound	0.614420062695925	0.572587824203794	0.297568438744554	0.0273
conj	0.816666666666667	1.51615170152575	0.180472143567313	0
csubj	0.777126099706745	1.36004225294164	0.37531341455771	3e-04
dep	0.652173913043478	0.69833627347055	0.271360348271138	0.0053
det	0.714673913043478	1.23377325337368	0.28408632954516	0
discourse	0.342741935483871	-0.64289492089488	0.260963980636329	0.9892
dislocated	0.607692307692308	0.577152975636932	0.43527880003589	0.0817
expl	0.358823529411765	-0.739594607983624	0.664815362251843	0.9127
fixed	0.314685314685315	-0.691036837331142	0.281999942450281	0.9894
flat	0.659442724458204	0.935780511290971	0.318229500737706	0.0017
goeswith	0.581196581196581	0.340869425660961	0.317371242181277	0.1149
iobj	0.493939393939394	-0.0368711454087748	0.449498043950001	0.5471
lifted_case	0.807065217391304	1.69180662775033	0.241028976261481	0
lifted_cc	0.831521739130435	1.6792246357156	0.210824744084314	0
lifted_cop	0.807121661721068	1.5968400241882	0.26231323113893	0
lifted_mark	0.85054347826087	1.95366326449703	0.302925555235278	0
list	0.576923076923077	0.30874662069631	0.438151958531409	0.2178
nmod	0.815217391304348	1.72245746626995	0.255980432789782	0
nsubj	0.285326086956522	-1.07907945186901	0.323742393284859	0.9985
nummod	0.736413043478261	1.10524225148928	0.194442588273272	0
obl	0.777173913043478	1.42371157014535	0.217405334187032	0
orphan	0.715555555555556	1.0292236240928	0.330997802169217	0.0029
parataxis	0.558730158730159	0.579966670634113	0.709760195913461	0.1056
reparandum	0.560606060606061	0.29911702601722	1.17844204767923	0.3745
vocative	0.41015625	-0.329760610446556	0.257459715753598	0.9073
xcomp	0.900849858356941	2.68971343672488	0.477805847395077	0
