Language	FileName	DH_Weight	CoarseDependency	DistanceWeight
Afrikaans	3313553	-0.465568412195	advmod	0.422780112356
Afrikaans	3313553	0.109713289136	amod	0.218901447141
Afrikaans	3313553	-0.834335254658	appos	0.647711835994
Afrikaans	3313553	0.152587855388	aux	0.625508874898
Afrikaans	3313553	-0.387256702403	case	0.856224221353
Afrikaans	3313553	0.113543807247	cc	0.309658633868
Afrikaans	3313553	0.92240910411	ccomp	0.502180021382
Afrikaans	3313553	-0.987290408452	compound	0.443362055868
Afrikaans	3313553	-0.993965065776	conj	0.456020396104
Afrikaans	3313553	-0.424088102781	cop	0.197065006245
Afrikaans	3313553	0.453719142303	csubj	0.579244838018
Afrikaans	3313553	0.883380127393	dep	0.139250965427
Afrikaans	3313553	-0.205017851345	det	0.11796879689
Afrikaans	3313553	-0.251641579614	flat	0.810908481574
Afrikaans	3313553	0.744586402834	iobj	0.493839087536
Afrikaans	3313553	0.0585247955331	mark	0.164026919648
Afrikaans	3313553	0.957242502834	nmod	0.354707412034
Afrikaans	3313553	0.411825807279	nsubj	0.373187589637
Afrikaans	3313553	-0.108707887438	nummod	0.529125892606
Afrikaans	3313553	-0.838527845572	obj	0.555734116633
Afrikaans	3313553	-0.934428930436	obl	0.253573033926
Afrikaans	3313553	-0.527540694138	punct	0.876000738602
Afrikaans	3313553	-0.136849259568	xcomp	0.135893840511
Afrikaans	4523296	-0.975630981405	advmod	0.280508514561
Afrikaans	4523296	0.239290591352	amod	0.652381157182
Afrikaans	4523296	0.858571645977	appos	0.212559055753
Afrikaans	4523296	0.718356234886	aux	0.695568199043
Afrikaans	4523296	-0.298273980186	case	0.72381314257
Afrikaans	4523296	0.869391714614	cc	0.030638182645
Afrikaans	4523296	0.515578881108	ccomp	0.870073335222
Afrikaans	4523296	0.502854149204	compound	0.575764050887
Afrikaans	4523296	0.0896418241175	conj	0.662382630325
Afrikaans	4523296	0.179011198023	cop	0.507216213949
Afrikaans	4523296	0.305141254183	csubj	0.855816851095
Afrikaans	4523296	0.359243939554	dep	0.166948290364
Afrikaans	4523296	0.939358609915	det	0.468822707211
Afrikaans	4523296	0.691378890691	flat	0.503589546248
Afrikaans	4523296	0.0908137152518	iobj	0.00533886951855
Afrikaans	4523296	0.806735711177	mark	0.254555406038
Afrikaans	4523296	0.986612366202	nmod	0.26612794598
Afrikaans	4523296	-0.831151546748	nsubj	0.228795399348
Afrikaans	4523296	-0.799851403945	nummod	0.326953962565
Afrikaans	4523296	0.419316813085	obj	0.3524939242
Afrikaans	4523296	-0.629841178695	obl	0.926649939685
Afrikaans	4523296	-0.145841556665	punct	0.0262965108132
Afrikaans	4523296	-0.710828960446	xcomp	0.58933421199
Afrikaans	7306830	0.46115893389	advmod	0.395089035394
Afrikaans	7306830	0.424723146109	amod	0.739373940705
Afrikaans	7306830	0.496628321309	appos	0.396965107129
Afrikaans	7306830	-0.410669894965	aux	0.279457433285
Afrikaans	7306830	0.630316160097	case	0.569300247074
Afrikaans	7306830	0.694105665058	cc	0.644572748253
Afrikaans	7306830	0.981303174899	ccomp	0.287441131739
Afrikaans	7306830	-0.268604676185	compound	0.878391221457
Afrikaans	7306830	-0.626328140269	conj	0.365784289636
Afrikaans	7306830	0.384177879378	cop	0.347276362172
Afrikaans	7306830	0.475350364398	csubj	0.693590720552
Afrikaans	7306830	0.470693086094	dep	0.855907494189
Afrikaans	7306830	0.541994723925	det	0.401948183531
Afrikaans	7306830	0.357207549551	flat	0.440578425058
Afrikaans	7306830	0.942544741044	iobj	0.142069004032
