Language	Model	Type	BigramCE
Ancient_Greek	515705	manual_output_funchead_RANDOM2	7.05880625869
Ancient_Greek	5243666	manual_output_funchead_RANDOM2	6.97880047529
Ancient_Greek	542477161	manual_output_funchead_two_coarse_lambda09_best_large	7.06862748408
Ancient_Greek	6081210	manual_output_funchead_coarse_depl	6.91287997297
Ancient_Greek	6207048	manual_output_funchead_RANDOM	7.07241428171
Ancient_Greek	663595	manual_output_funchead_RANDOM	7.05504363345
Ancient_Greek	6773295	manual_output_funchead_RANDOM	7.11318363618
Ancient_Greek	6909776	manual_output_funchead_RANDOM	7.02832755815
Ancient_Greek	7540142	manual_output_funchead_RANDOM2	6.99158697299
Ancient_Greek	7980612	manual_output_funchead_RANDOM	7.04631821943
Ancient_Greek	8050679	manual_output_funchead_RANDOM	7.01205179969
Ancient_Greek	8077600	manual_output_funchead_RANDOM2	7.0737392744
Ancient_Greek	8916365	manual_output_funchead_RANDOM2	7.10789487718
Ancient_Greek	916483	manual_output_funchead_RANDOM2	6.99167170125
Ancient_Greek	925566	manual_output_funchead_RANDOM2	7.00194317428
Ancient_Greek	9765128	manual_output_funchead_RANDOM	7.01184141674
Arabic	10024	manual_output_funchead_RANDOM	6.79626149086
Arabic	1046153	manual_output_funchead_RANDOM	6.80129186017
Arabic	1377450	manual_output_funchead_ground_coarse_final	6.60067690953
Arabic	1640369	manual_output_funchead_RANDOM	6.87215552102
Arabic	2023383	manual_output_funchead_RANDOM	6.80011622824
Arabic	2023400	manual_output_funchead_RANDOM2	6.7995897689
Arabic	2365913	manual_output_funchead_RANDOM2	6.83661951516
Arabic	2529055	manual_output_funchead_RANDOM	6.86001985278
Arabic	3552718	manual_output_funchead_RANDOM2	6.85583900246
Arabic	3738591	manual_output_funchead_RANDOM	6.81317717583
Arabic	4398950641	manual_output_funchead_langmod_coarse_best_balanced	6.63995397592
Arabic	5289009	manual_output_funchead_RANDOM2	6.93208729598
Arabic	5414533	manual_output_funchead_RANDOM	6.73882429899
Arabic	5432375	manual_output_funchead_RANDOM	6.89248158093
Arabic	5719297	manual_output_funchead_RANDOM2	6.79460518629
Arabic	5735612693	manual_output_funchead_two_coarse_parser_best_balanced	6.64513748985
Arabic	5744706	manual_output_funchead_RANDOM2	6.9338776049
Arabic	5958193	manual_output_funchead_RANDOM2	6.88035557194
Arabic	6427878818	manual_output_funchead_two_coarse_lambda09_best_large	6.72290996144
Arabic	7580853	manual_output_funchead_RANDOM2	6.87474404007
Arabic	7745385	manual_output_funchead_RANDOM2	6.85692783344
Arabic	7992087	manual_output_funchead_RANDOM2	6.87392207546
Arabic	8294234	manual_output_funchead_RANDOM2	6.90562198646
Arabic	8932075	manual_output_funchead_RANDOM	6.79012731283
Arabic	9293143	manual_output_funchead_RANDOM	6.91662637854
Arabic	9653698	manual_output_funchead_RANDOM	6.77142659799
Arabic	9657519	manual_output_funchead_coarse_depl	6.65363440158
Arabic	9788252482	manual_output_funchead_two_coarse_lambda09_best_large	6.65878837936
Basque	1598415	manual_output_funchead_RANDOM2	7.05454194763
Basque	1798476	manual_output_funchead_RANDOM	7.12371705592
Basque	2335118	manual_output_funchead_RANDOM	7.08486863556
Basque	2696464	manual_output_funchead_RANDOM	7.04382507455
Basque	2775660060	manual_output_funchead_langmod_coarse_best_balanced	6.93360416025
Basque	2867589	manual_output_funchead_RANDOM2	7.02284670369
Basque	3564781	manual_output_funchead_RANDOM	7.12003764579
Basque	4080716	manual_output_funchead_RANDOM	7.07892146538
Basque	4375487	manual_output_funchead_RANDOM2	7.16110398557
Basque	4453318	manual_output_funchead_RANDOM2	7.099962146
Basque	4634998	manual_output_funchead_RANDOM2	7.02167154115
Basque	4864314	manual_output_funchead_RANDOM	7.11123657686
Basque	5133517	manual_output_funchead_RANDOM	7.03725851629
Basque	515964	manual_output_funchead_RANDOM2	7.0831209799
Basque	5198479	manual_output_funchead_RANDOM2	7.14924040027
Basque	5315808	manual_output_funchead_RANDOM2	7.03709921722
Basque	5430429	manual_output_funchead_ground_coarse_final	6.87721178146
Basque	6105337	manual_output_funchead_RANDOM2	7.10167997043
Basque	6222458	manual_output_funchead_coarse_depl	6.94835018827
Basque	6490118	manual_output_funchead_RANDOM	7.12834886075
Basque	657083143	manual_output_funchead_two_coarse_lambda09_best_large	7.0245013418
Basque	6601537573	manual_output_funchead_two_coarse_lambda09_best_large	7.00911646849
Basque	6661	manual_output_funchead_RANDOM	7.06288545487
Basque	7075478	manual_output_funchead_RANDOM2	7.10964878326
Basque	7215572	manual_output_funchead_RANDOM2	7.11937721154
Basque	9026455	manual_output_funchead_RANDOM	7.12889441954
Basque	9663209710	manual_output_funchead_two_coarse_parser_best_balanced	7.06296213662
Belarusian	1452304414	manual_output_funchead_two_coarse_lambda09_best_large	7.35865009978
Belarusian	2522456	manual_output_funchead_RANDOM	7.30989132633
Belarusian	3293490198	manual_output_funchead_two_coarse_parser_best_balanced	7.27714718664
Belarusian	3464829	manual_output_funchead_RANDOM2	7.31609070678
Belarusian	3507643	manual_output_funchead_RANDOM2	7.36348641407
Belarusian	3533155	manual_output_funchead_RANDOM	7.27540119923
Belarusian	375025	manual_output_funchead_RANDOM2	7.32983635986
Belarusian	3886159	manual_output_funchead_RANDOM	7.36190175835
Belarusian	4306356	manual_output_funchead_ground_coarse_final	7.21702893717
Belarusian	4519708	manual_output_funchead_RANDOM	7.27523856548
Belarusian	4696596	manual_output_funchead_RANDOM	7.33644240915
Belarusian	4805333	manual_output_funchead_RANDOM2	7.28841704234
Belarusian	5285032	manual_output_funchead_RANDOM2	7.2980468622
Belarusian	5581260	manual_output_funchead_RANDOM2	7.30955075043
Belarusian	5961249	manual_output_funchead_RANDOM2	7.26609735659
Belarusian	6591467	manual_output_funchead_RANDOM	7.29469240529
Belarusian	6681396101	manual_output_funchead_langmod_coarse_best_balanced	7.3014318246
Belarusian	6993891	manual_output_funchead_RANDOM	7.31155575098
Belarusian	7359258414	manual_output_funchead_two_coarse_lambda09_best_large	7.18843652677
Belarusian	7910563	manual_output_funchead_RANDOM2	7.34551738045
Belarusian	8075466	manual_output_funchead_RANDOM2	7.17629570792
Belarusian	8271764	manual_output_funchead_coarse_depl	7.36306719848
Belarusian	8302616	manual_output_funchead_RANDOM	7.37614321815
Belarusian	8481338	manual_output_funchead_RANDOM2	7.40118056325
Belarusian	8574104	manual_output_funchead_RANDOM	7.34928361781
Belarusian	9094537	manual_output_funchead_RANDOM	7.34689054869
Belarusian	9228632	manual_output_funchead_RANDOM2	7.32649771939
Belarusian	9855562	manual_output_funchead_RANDOM	7.29341947172
Bulgarian	1034053658	manual_output_funchead_langmod_coarse_best_balanced	6.63633098066
