Language	FileName	Counter	AverageLAS	AverageLoss_Parser	AverageUAS	DH_Weight	CoarseDependency	DistanceWeight
Slovenian	3295079199	251810	0.569858205164	1.6370470031753852	0.637938201469	1.2658026	lifted_case	0.0012596886
Slovenian	3295079199	251810	0.569858205164	1.6370470031753852	0.637938201469	0.36406124	lifted_cc	0.018098671
Slovenian	3295079199	251810	0.569858205164	1.6370470031753852	0.637938201469	-0.05409169	lifted_cop	-0.0007101736
Slovenian	3295079199	251810	0.569858205164	1.6370470031753852	0.637938201469	-0.015173888	lifted_mark	0.117656484
Slovenian	3295079199	251810	0.569858205164	1.6370470031753852	0.637938201469	0.5363693	nmod	0.37302518
Slovenian	3295079199	251810	0.569858205164	1.6370470031753852	0.637938201469	-0.752467	nsubj	0.44995865
Slovenian	3295079199	251810	0.569858205164	1.6370470031753852	0.637938201469	0.056111146	nummod	-0.10433121
Slovenian	3295079199	251810	0.569858205164	1.6370470031753852	0.637938201469	10.002209	obj	-0.23968309
Slovenian	3295079199	251810	0.569858205164	1.6370470031753852	0.637938201469	-0.55967534	obl	0.35420197
Slovenian	3295079199	251810	0.569858205164	1.6370470031753852	0.637938201469	-0.0009847304	orphan	-0.0014702813
Slovenian	3295079199	251810	0.569858205164	1.6370470031753852	0.637938201469	0.0050497605	parataxis	0.6034247
Slovenian	3295079199	251810	0.569858205164	1.6370470031753852	0.637938201469	0.0	punct	0.0
Slovenian	3295079199	251810	0.569858205164	1.6370470031753852	0.637938201469	-0.02942539	reparandum	-0.012887826
Slovenian	3295079199	251810	0.569858205164	1.6370470031753852	0.637938201469	-0.005051063	vocative	0.010050883
Slovenian	3295079199	251810	0.569858205164	1.6370470031753852	0.637938201469	0.0916203	xcomp	0.09706391
Marathi	5456841289	100040	0.432258064516	4.172539574100125	0.561290322581	-0.058663152	acl	0.05535283
Marathi	5456841289	100040	0.432258064516	4.172539574100125	0.561290322581	-0.0661346	advcl	0.53228736
Marathi	5456841289	100040	0.432258064516	4.172539574100125	0.561290322581	-0.096855804	advmod	-0.057925634
Marathi	5456841289	100040	0.432258064516	4.172539574100125	0.561290322581	-0.019933471	amod	-0.069505185
Marathi	5456841289	100040	0.432258064516	4.172539574100125	0.561290322581	-0.0019813762	appos	-0.0061050267
Marathi	5456841289	100040	0.432258064516	4.172539574100125	0.561290322581	-0.030638812	aux	-0.14462292
Marathi	5456841289	100040	0.432258064516	4.172539574100125	0.561290322581	-0.05713124	ccomp	0.07482713
Marathi	5456841289	100040	0.432258064516	4.172539574100125	0.561290322581	0.0034428085	compound	0.19922411
Marathi	5456841289	100040	0.432258064516	4.172539574100125	0.561290322581	0.1454268	conj	0.45670727
