Language	Model	Type	Surp	FullSurp
Old_Church_Slavonic	7022147467	manual_output_funchead_two_coarse_lambda09_best_large	6.79400307928759	8.72522203297842
Gothic	7843548989	manual_output_funchead_two_coarse_lambda09_best_large	7.027340135956719	9.09483137590727
Russian	3645992655	manual_output_funchead_two_coarse_lambda09_best_large	7.161442928273834	7.358357705928452
Danish	5604041068	manual_output_funchead_two_coarse_lambda09_best_large	7.198961546981957	7.198980019883718
Persian	8322321601	manual_output_funchead_two_coarse_lambda09_best_large	7.099269466806817	8.916740117944732
Polish	5227897076	manual_output_funchead_two_coarse_lambda09_best_large	8.135666064708362	11.797016766236826
Spanish	2846351591	manual_output_funchead_two_coarse_lambda09_best_large	6.087698990623621	7.027733658112065
Polish	905619302	manual_output_funchead_two_coarse_lambda09_best_large	8.120470241911873	11.790011684905458
Finnish	6642178163	manual_output_funchead_two_coarse_lambda09_best_large	8.027004290938631	10.760642332291193
Gothic	8738609137	manual_output_funchead_two_coarse_lambda09_best_large	6.765124438159856	8.785647143356766
Latvian	9342502206	manual_output_funchead_two_coarse_lambda09_best_large	8.584952868977712	13.488934419031276
Dutch	4727165580	manual_output_funchead_two_coarse_lambda09_best_large	6.757082382783678	9.267824893325015
Galician	2670938162	manual_output_funchead_two_coarse_lambda09_best_large	6.112773947934271	8.801907423945353
Russian	976985032	manual_output_funchead_two_coarse_lambda09_best_large	7.173583487639835	7.375511098724847
Arabic	8583156033	manual_output_funchead_two_coarse_lambda09_best_large	7.140583715033807	10.127291679556029
Finnish	1555669820	manual_output_funchead_two_coarse_lambda09_best_large	7.995672621468241	10.736710166476461
Swedish	5977698508	manual_output_funchead_two_coarse_lambda09_best_large	6.7759440553698775	9.40505675160551
Serbian	9948301601	manual_output_funchead_two_coarse_lambda09_best_large	7.651736950685693	7.651754508528629
Arabic	7835557024	manual_output_funchead_two_coarse_lambda09_best_large	7.054188340455839	10.073352697191623
Romanian	4953637734	manual_output_funchead_two_coarse_lambda09_best_large	7.101061318502029	10.246735369842607
Dutch	1454093843	manual_output_funchead_two_coarse_lambda09_best_large	6.749302264024589	9.226586656296183
Persian	4952612521	manual_output_funchead_two_coarse_lambda09_best_large	6.848378066442862	8.62108025185584
Dutch	4456562268	manual_output_funchead_two_coarse_lambda09_best_large	6.762442462850114	9.308775343193698
Hebrew	7717550035	manual_output_funchead_two_coarse_lambda09_best_large	6.623449990487645	8.254694196561468
Japanese	6063659499	manual_output_funchead_two_coarse_lambda09_best_large	6.367905571377814	6.367926042073725
German	8202691602	manual_output_funchead_two_coarse_lambda09_best_large	7.095137727931717	9.150765469105224
Tamil	1261619753	manual_output_funchead_two_coarse_lambda09_best_large	9.032649601508124	12.765631520470908
Slovak	4764609675	manual_output_funchead_two_coarse_lambda09_best_large	8.998932625307843	13.221223004539565
Japanese	8173520601	manual_output_funchead_two_coarse_lambda09_best_large	6.200858105489189	6.200869565755861
Swedish	608888554	manual_output_funchead_two_coarse_lambda09_best_large	6.884691189141185	9.65967712468162
Afrikaans	5621493157	manual_output_funchead_two_coarse_lambda09_best_large	6.352660261229172	8.945139711645533
Hindi	1066497213	manual_output_funchead_two_coarse_lambda09_best_large	5.74364307452044	7.298119671876645
Arabic	4569200782	manual_output_funchead_two_coarse_lambda09_best_large	7.168463710939983	10.394408705982219
Latvian	5246179795	manual_output_funchead_two_coarse_lambda09_best_large	8.561110954905391	13.353042510141858
Korean	7169100329	manual_output_funchead_two_coarse_lambda09_best_large	7.615715081028598	11.479558341325067
Slovak	7284773621	manual_output_funchead_two_coarse_lambda09_best_large	8.922337756642941	13.021049608451875
Belarusian	4707734453	manual_output_funchead_two_coarse_lambda09_best_large	9.129701003485303	11.395414298115252
Marathi	257696452	manual_output_funchead_two_coarse_lambda09_best_large	7.358638998580306	7.358836983981198
Ancient_Greek	2824182837	manual_output_funchead_two_coarse_lambda09_best_large	7.253764219234348	10.315176454772272
Tamil	7419515713	manual_output_funchead_two_coarse_lambda09_best_large	9.066766839547746	12.795718928355864
Norwegian	2598680483	manual_output_funchead_two_coarse_lambda09_best_large	6.721027612135379	6.721034719680881
Croatian	2343622722	manual_output_funchead_two_coarse_lambda09_best_large	7.932597055605678	7.9326140562656375
German	9443367601	manual_output_funchead_two_coarse_lambda09_best_large	7.144797554088225	9.190646334361489
Afrikaans	6654163338	manual_output_funchead_two_coarse_lambda09_best_large	6.446065882074666	9.050069528967331
Marathi	4639519479	manual_output_funchead_two_coarse_lambda09_best_large	7.267671744582545	7.267733145258568
Hungarian	8420939739	manual_output_funchead_two_coarse_lambda09_best_large	8.557612615219927	8.557645307405064
Turkish	8613841975	manual_output_funchead_two_coarse_lambda09_best_large	9.005248269783884	11.140583042316422
Korean	4992077103	manual_output_funchead_two_coarse_lambda09_best_large	7.684589477656107	11.84137600440321
Italian	1145283527	manual_output_funchead_two_coarse_lambda09_best_large	6.4038439209586056	8.218890134808154
Marathi	684035245	manual_output_funchead_two_coarse_lambda09_best_large	7.649595631849046	7.649872792647189
French	2913304388	manual_output_funchead_two_coarse_lambda09_best_large	6.586487650253596	6.636891171495001
Afrikaans	8246575664	manual_output_funchead_two_coarse_lambda09_best_large	6.455628174289047	9.011271501322764
Catalan	835794223	manual_output_funchead_two_coarse_lambda09_best_large	5.866127050927417	7.421957327892619
Afrikaans	5266076008	manual_output_funchead_two_coarse_lambda09_best_large	6.440370571825643	9.05269548547177
Portuguese	1404584048	manual_output_funchead_two_coarse_lambda09_best_large	6.157203466027752	8.131981349634804
Bulgarian	5456330300	manual_output_funchead_two_coarse_lambda09_best_large	7.308709649199642	10.629471171664894
Korean	9243768601	manual_output_funchead_two_coarse_lambda09_best_large	7.635436444555289	11.765200424130192
Finnish	582421446	manual_output_funchead_two_coarse_lambda09_best_large	7.941887230245794	10.676700953663262
Coptic	3164031297	manual_output_funchead_two_coarse_lambda09_best_large	5.049561874495858	6.780414421984325
Afrikaans	3416813851	manual_output_funchead_two_coarse_lambda09_best_large	6.519976994354344	9.129999327936545
Telugu	6177579936	manual_output_funchead_two_coarse_lambda09_best_large	7.7378931544547855	9.295104060062142
Catalan	7458419633	manual_output_funchead_two_coarse_lambda09_best_large	5.933859424201656	7.419990780615003
Slovak	8078672634	manual_output_funchead_two_coarse_lambda09_best_large	8.969277953295261	13.251130971285926
Finnish	1375310690	manual_output_funchead_two_coarse_lambda09_best_large	8.114029918684668	10.895092914142689
Ancient_Greek	542477161	manual_output_funchead_two_coarse_lambda09_best_large	7.335846068586236	10.44514844415357
Slovenian	2235410242	manual_output_funchead_two_coarse_lambda09_best_large	7.302534000155995	11.08858850684587
Slovak	2560993786	manual_output_funchead_two_coarse_lambda09_best_large	9.01492564388148	13.180950108353887
Latvian	828234708	manual_output_funchead_two_coarse_lambda09_best_large	8.55846375000755	13.373218564975565
Latvian	2609941047	manual_output_funchead_two_coarse_lambda09_best_large	8.582673187807682	13.511936751048363
Norwegian	2398806458	manual_output_funchead_two_coarse_lambda09_best_large	6.821551909970825	6.8215566323327375
Romanian	3026380184	manual_output_funchead_two_coarse_lambda09_best_large	7.091734809790552	10.219387439876808
Serbian	4963641804	manual_output_funchead_two_coarse_lambda09_best_large	7.621404658311887	7.621425687638762
Spanish	3518492860	manual_output_funchead_two_coarse_lambda09_best_large	6.545635717476454	7.512875206784058
Slovak	6162929318	manual_output_funchead_two_coarse_lambda09_best_large	8.8366987386966	12.939734800794753
Latin	7278378530	manual_output_funchead_two_coarse_lambda09_best_large	7.677588493218943	11.552886461915088
Old_Church_Slavonic	520127864	manual_output_funchead_two_coarse_lambda09_best_large	7.037452362422985	8.965327478455066
English	4910096554	manual_output_funchead_two_coarse_lambda09_best_large	6.481448976679938	8.810917405168656
English	2608680131	manual_output_funchead_two_coarse_lambda09_best_large	6.506622123723085	8.781296672212369
Indonesian	8416536337	manual_output_funchead_two_coarse_lambda09_best_large	7.800518245773294	7.800548611896715
Romanian	9081209501	manual_output_funchead_two_coarse_lambda09_best_large	7.237823701171792	10.438811531308755
Spanish	5936298575	manual_output_funchead_two_coarse_lambda09_best_large	6.174522973503843	7.1317998392919675
Romanian	7265871322	manual_output_funchead_two_coarse_lambda09_best_large	7.158322308225842	10.30297397642099
Spanish	5935993697	manual_output_funchead_two_coarse_lambda09_best_large	6.031225487735104	6.952799784794563
Lithuanian	7310249754	manual_output_funchead_two_coarse_lambda09_best_large	9.176849440866539	11.983045400740046
Galician	2179952099	manual_output_funchead_two_coarse_lambda09_best_large	6.188598358671393	8.883387800097115
Belarusian	926360780	manual_output_funchead_two_coarse_lambda09_best_large	9.249640304051088	11.535796281687638
Dutch	9666829161	manual_output_funchead_two_coarse_lambda09_best_large	6.75338736943625	9.251836054940316
