Language	Model	Type	UAS	Pars
Lithuanian	4687175	manual_output_funchead_RANDOM5	0.472253680634	2.5960159582567917
Korean	401259	manual_output_funchead_RANDOM5	0.534259936601	1.9611833358764417
Czech	5696017	manual_output_funchead_RANDOM5	0.816291595596	0.7949002955765326
Polish	6505838	manual_output_funchead_RANDOM5	0.849331006399	0.6252600787336429
Croatian	6190644	manual_output_funchead_RANDOM5	0.744756597787	1.0887201273370275
Estonian	3718751	manual_output_funchead_RANDOM5	0.728327018027	1.1091467396702965
Persian	8119307	manual_output_funchead_RANDOM5	0.748479823107	0.9575774691475895
Irish	9560594	manual_output_funchead_RANDOM5	0.510541500222	2.6285747896021756
Portuguese	2904662	manual_output_funchead_RANDOM5	0.810131322047	0.78366938874314
Japanese	513466	manual_output_funchead_RANDOM5	0.755406054781	0.928516909939804
Dutch	8742570	manual_output_funchead_RANDOM5	0.832479079498	0.7802245136249077
Bulgarian	1155670	manual_output_funchead_RANDOM5	0.845058202588	0.6177486960416105
Swedish	4093331	manual_output_funchead_RANDOM5	0.780943900267	1.0144279811722285
Latvian	5546355	manual_output_funchead_RANDOM5	0.672622905287	1.595476760631159
Ancient_Greek	8208634	manual_output_funchead_RANDOM5	0.756897324765	1.1459426454534944
Ancient_Greek	4125321	manual_output_funchead_RANDOM5	0.729965625467	1.2520054386150603
German	4145946	manual_output_funchead_RANDOM5	0.855877691806	0.68967493905974
Gothic	8359293	manual_output_funchead_RANDOM5	0.721771801463	1.240229081301343
Telugu	7051591	manual_output_funchead_RANDOM5	0.853564547206	0.9973195412255436
Marathi	934592	manual_output_funchead_RANDOM5	0.716374269006	1.6591543203208878
Hebrew	4277236	manual_output_funchead_RANDOM5	0.790778383738	0.9753946946053795
Finnish	1734902	manual_output_funchead_RANDOM5	0.716041352869	1.1562189498242166
Greek	558168	manual_output_funchead_RANDOM5	0.788494257763	0.8950043970450398
Telugu	1420142	manual_output_funchead_RANDOM5	0.845857418112	0.8230930059172055
Gothic	142031	manual_output_funchead_RANDOM5	0.71831125173	1.2810566556390057
Old_Church_Slavonic	6838096	manual_output_funchead_RANDOM5	0.74198019802	1.124556925462024
Turkish	9377917	manual_output_funchead_RANDOM5	0.560620875092	1.9759063867128615
Hungarian	2081473	manual_output_funchead_RANDOM5	0.737596471885	1.2429938767517188
Slovak	5043659	manual_output_funchead_RANDOM5	0.796054485674	0.8230172513319663
Latin	6539498	manual_output_funchead_RANDOM5	0.668687816154	1.5776521608236946
Arabic	4144298	manual_output_funchead_RANDOM5	0.661997453156	1.3284653006684901
Latin	2690135	manual_output_funchead_RANDOM5	0.713845432314	1.406308900131492
Polish	6927765	manual_output_funchead_RANDOM5	0.810122164049	0.7504657572268607
Portuguese	4944251	manual_output_funchead_RANDOM5	0.839150552301	0.6777396100570278
Swedish	2524459	manual_output_funchead_RANDOM5	0.758766908366	1.0797068663252647
Latin	2902519	manual_output_funchead_RANDOM5	0.709255971324	1.4678432396646601
Dutch	9852242	manual_output_funchead_RANDOM5	0.831276150628	0.754000485735209
Czech	7866039	manual_output_funchead_RANDOM5	0.766074256124	0.889481214580156
Czech	7866039	manual_output_funchead_RANDOM5	0.762736215298	0.8864293685424401
Slovak	9142248	manual_output_funchead_RANDOM5	0.80657585721	0.87519359767241
Slovak	9660550	manual_output_funchead_RANDOM5	0.806669798027	0.8717809253704274
Portuguese	170522	manual_output_funchead_RANDOM5	0.829201101928	0.732212387672791
Italian	1819008	manual_output_funchead_RANDOM5	0.826255853555	0.7664638246703384
Indonesian	7070246	manual_output_funchead_RANDOM5	0.666134335369	1.390438702947492
Czech	943964	manual_output_funchead_RANDOM5	0.79436812599	0.8195118930626192
Norwegian	9996271	manual_output_funchead_RANDOM5	0.828777917509	0.8237981050805707
Czech	6720963	manual_output_funchead_RANDOM5	0.807598016739	0.7921006106593286
Afrikaans	8438804	manual_output_funchead_RANDOM5	0.745632279534	1.0959724645547184
Urdu	4967505	manual_output_funchead_RANDOM5	0.752162006342	1.050674578879951
Italian	5577240	manual_output_funchead_RANDOM5	0.818859088974	0.7674829085782113
Japanese	4901198	manual_output_funchead_RANDOM5	0.758769822201	0.9717403048680758
Telugu	9489882	manual_output_funchead_RANDOM5	0.836223506744	0.8803723735846076
Gothic	2828126	manual_output_funchead_RANDOM5	0.779414672731	1.1534283524660907
Ukrainian	9722462	manual_output_funchead_RANDOM5	0.721493320611	1.2092477979550835
English	5417255	manual_output_funchead_RANDOM5	0.821220856724	0.8648325229974653
Chinese	1932987	manual_output_funchead_RANDOM5	0.604866850321	1.6416245775336624
Galician	8585464	manual_output_funchead_RANDOM5	0.721204799429	1.30973618951138
Vietnamese	1664808	manual_output_funchead_RANDOM5	0.58116191828	1.7444625883934937
Finnish	1679999	manual_output_funchead_RANDOM5	0.733465699028	1.117870831842963
Persian	7225516	manual_output_funchead_RANDOM5	0.730997788834	1.067155023333511
Arabic	5340771	manual_output_funchead_RANDOM5	0.709263876553	1.2546308728417297
Tamil	6757492	manual_output_funchead_RANDOM5	0.555456171735	1.9739325767339662
Urdu	8952821	manual_output_funchead_RANDOM5	0.733424618046	1.0853636858613802
Czech	9920952	manual_output_funchead_RANDOM5	0.80308004573	0.7989235167032727
Old_Church_Slavonic	1255635	manual_output_funchead_RANDOM5	0.764851485149	1.1373787603283874
Old_Church_Slavonic	749073	manual_output_funchead_RANDOM5	0.772772277228	1.1090150569689157
Hindi	3505423	manual_output_funchead_RANDOM5	0.804280973115	0.7192143901047853
Slovak	2813188	manual_output_funchead_RANDOM5	0.773790511977	0.8822643191952165
Slovenian	1259730	manual_output_funchead_RANDOM5	0.754677945842	1.0979587424843291
Latin	9121443	manual_output_funchead_RANDOM5	0.68148470738	1.5263462787473034
Latvian	554448	manual_output_funchead_RANDOM5	0.641699842607	1.6608606878336618
Ukrainian	1150221	manual_output_funchead_RANDOM5	0.73151240458	1.1595461132815321
Italian	1794830	manual_output_funchead_RANDOM5	0.845625798212	0.7181706995092311
Basque	1292181	manual_output_funchead_RANDOM5	0.730645808263	1.2184261410555781
