Language	Model	Type	UAS	Pars
Dutch	3902085028	manual_output_funchead_two_coarse_lambda09_best_large	0.839644351464	0.738346770630222
Urdu	8194077103	manual_output_funchead_two_coarse_lambda09_best_large	0.798789276449	0.9175412351097487
Japanese	3429225363	manual_output_funchead_two_coarse_lambda09_best_large	0.847861604998	0.7309042455026131
Indonesian	5382881867	manual_output_funchead_two_coarse_lambda09_best_large	0.797557538751	1.0491056817862392
Slovak	9639523416	manual_output_funchead_two_coarse_lambda09_best_large	0.826867073744	0.7425531913132217
Belarusian	7359258414	manual_output_funchead_two_coarse_lambda09_best_large	0.677394034537	1.7064062085593328
Russian	5725392105	manual_output_funchead_two_coarse_lambda09_best_large	0.76907824833	1.041170125885719
Ancient_Greek	2464717213	manual_output_funchead_two_coarse_lambda09_best_large	0.834763114632	0.9131278222566798
Hindi	2187989692	manual_output_funchead_two_coarse_lambda09_best_large	0.884754742259	0.5166176515473004
Gothic	1202122097	manual_output_funchead_two_coarse_lambda09_best_large	0.814020170061	1.123606541563641
Chinese	6026513642	manual_output_funchead_two_coarse_lambda09_best_large	0.77217630854	1.232397408305887
Hebrew	7994146565	manual_output_funchead_two_coarse_lambda09_best_large	0.835002478929	0.8335046605775424
Latvian	8260671049	manual_output_funchead_two_coarse_lambda09_best_large	0.747153041385	1.3862598762612863
Catalan	8956671908	manual_output_funchead_two_coarse_lambda09_best_large	0.873714577282	0.5435009494251917
Greek	9363886521	manual_output_funchead_two_coarse_lambda09_best_large	0.801042109741	0.8646391621679511
Spanish	9567779505	manual_output_funchead_two_coarse_lambda09_best_large	0.834424116844	0.7336623166719463
Portuguese	5008733344	manual_output_funchead_two_coarse_lambda09_best_large	0.888683837492	0.5603202523361693
Basque	9724974740	manual_output_funchead_two_coarse_lambda09_best_large	0.739019253911	1.2117122788889265
Estonian	6005170877	manual_output_funchead_two_coarse_lambda09_best_large	0.788609484441	1.031060759875124
Hebrew	5764264925	manual_output_funchead_two_coarse_lambda09_best_large	0.837977193852	0.8148985962851188
Ukrainian	3955057044	manual_output_funchead_two_coarse_lambda09_best_large	0.773020038168	1.0609815996993361
Galician	5988943500	manual_output_funchead_two_coarse_lambda09_best_large	0.797836413058	1.0872302661470092
Hindi	5884876022	manual_output_funchead_two_coarse_lambda09_best_large	0.864506896447	0.5253239811869634
Urdu	5145751057	manual_output_funchead_two_coarse_lambda09_best_large	0.825670221966	0.860589953519041
German	8723024291	manual_output_funchead_two_coarse_lambda09_best_large	0.868649202946	0.63545554905777
Hungarian	5672293328	manual_output_funchead_two_coarse_lambda09_best_large	0.758745113762	1.1765488010137704
German	4702663606	manual_output_funchead_two_coarse_lambda09_best_large	0.884030949939	0.6171748540247433
Galician	7889150172	manual_output_funchead_two_coarse_lambda09_best_large	0.807885560528	1.0427395219101891
Estonian	9895311798	manual_output_funchead_two_coarse_lambda09_best_large	0.77058215639	1.0471602947269272
Telugu	6282735639	manual_output_funchead_two_coarse_lambda09_best_large	0.849710982659	0.8814129351650819
Japanese	6615716453	manual_output_funchead_two_coarse_lambda09_best_large	0.842095146564	0.7460294125001056
Ukrainian	6991982342	manual_output_funchead_two_coarse_lambda09_best_large	0.807848282443	0.957605930343839
Persian	3412580769	manual_output_funchead_two_coarse_lambda09_best_large	0.848189607518	0.7588278317135168
Japanese	3088536385	manual_output_funchead_two_coarse_lambda09_best_large	0.868524747717	0.6478541026145206
Telugu	4887700711	manual_output_funchead_two_coarse_lambda09_best_large	0.853564547206	0.8937391375760352
Serbian	491512484	manual_output_funchead_two_coarse_lambda09_best_large	0.810084985836	0.9412335025825176
Swedish	8348397690	manual_output_funchead_two_coarse_lambda09_best_large	0.805877114871	0.9416322765907188
Polish	2653238796	manual_output_funchead_two_coarse_lambda09_best_large	0.876905177429	0.5374484925716682
Latvian	4460902927	manual_output_funchead_two_coarse_lambda09_best_large	0.667530784187	1.5517374102401134
Lithuanian	2831804318	manual_output_funchead_two_coarse_lambda09_best_large	0.473386183465	2.5141281503783213
Afrikaans	2336973232	manual_output_funchead_two_coarse_lambda09_best_large	0.857113144759	0.7210104319200341
Russian	5751275373	manual_output_funchead_two_coarse_lambda09_best_large	0.732705297511	1.1094096914823233
Greek	7331222042	manual_output_funchead_two_coarse_lambda09_best_large	0.833368779243	0.7930454048817334
Marathi	391558040	manual_output_funchead_two_coarse_lambda09_best_large	0.713450292398	1.6851899554157814
Croatian	3321068676	manual_output_funchead_two_coarse_lambda09_best_large	0.81433325594	0.8681045580128012
Korean	9582190605	manual_output_funchead_two_coarse_lambda09_best_large	0.628200438917	1.796978719872226
Slovak	8768895670	manual_output_funchead_two_coarse_lambda09_best_large	0.848473461719	0.6805275585406148
Greek	443087336	manual_output_funchead_two_coarse_lambda09_best_large	0.799659719268	0.8963261327937226
Old_Church_Slavonic	8018536269	manual_output_funchead_two_coarse_lambda09_best_large	0.82603960396	1.0857213009938156
Romanian	576616091	manual_output_funchead_two_coarse_lambda09_best_large	0.814725082442	0.9341853418278978
Tamil	8711707313	manual_output_funchead_two_coarse_lambda09_best_large	0.660107334526	1.7341397004818446
Romanian	3635844330	manual_output_funchead_two_coarse_lambda09_best_large	0.803216905579	0.9851610524006635
Turkish	5509643988	manual_output_funchead_two_coarse_lambda09_best_large	0.648985578098	1.814250112599774
German	6574715777	manual_output_funchead_two_coarse_lambda09_best_large	0.853640346788	0.6758677337113416
Hindi	1091791772	manual_output_funchead_two_coarse_lambda09_best_large	0.882471150626	0.5072420324909155
