Language	Model	Type	Surp	FullSurp
Afrikaans	1246831	manual_output_funchead_RANDOM3	6.63056058043079	9.336146296418713
Afrikaans	136446	manual_output_funchead_RANDOM3	6.456720066070557	9.121437481237583
Afrikaans	2434181	manual_output_funchead_RANDOM3	6.551496154853305	9.229577766687806
Afrikaans	3133633	manual_output_funchead_RANDOM3	6.5743862044197705	9.292026609828856
Afrikaans	361569	manual_output_funchead_RANDOM3	6.401833031882703	8.987424510323471
Afrikaans	3742980	manual_output_funchead_RANDOM3	6.4675182355449525	9.122493311876367
Afrikaans	3958396	manual_output_funchead_RANDOM3	6.5899284908908955	9.316016602328522
Afrikaans	7455212	manual_output_funchead_RANDOM3	6.573208513651808	9.256440955142955
Afrikaans	8267837	manual_output_funchead_RANDOM3	6.502345573373216	9.165387162576357
Afrikaans	9899799	manual_output_funchead_RANDOM3	6.837753393483716	9.605816810882116
Afrikaans	9950877	manual_output_funchead_RANDOM3	6.630507609929773	9.377495754142302
Ancient_Greek	1063796	manual_output_funchead_RANDOM3	7.460077086325855	10.695397219530854
Ancient_Greek	2825953	manual_output_funchead_RANDOM3	7.362460962548382	10.470154685938686
Ancient_Greek	3315951	manual_output_funchead_RANDOM3	7.338515947230274	10.45857743718176
Ancient_Greek	3394585	manual_output_funchead_RANDOM3	7.428727745370855	10.654856882782143
Ancient_Greek	4246850	manual_output_funchead_RANDOM3	7.345971922233804	10.487562440307418
Ancient_Greek	4696398	manual_output_funchead_RANDOM3	7.3937322764691835	10.556286038318532
Ancient_Greek	4833375	manual_output_funchead_RANDOM3	7.372651366958222	10.529546961516633
Ancient_Greek	6168342	manual_output_funchead_RANDOM3	7.38748448002935	10.543546655516014
Ancient_Greek	7921475	manual_output_funchead_RANDOM3	7.428905737646695	10.610468914426606
Ancient_Greek	8052666	manual_output_funchead_RANDOM3	7.401076952059471	10.561487876354722
Ancient_Greek	9328376	manual_output_funchead_RANDOM3	7.361397715460655	10.474230741017033
Arabic	2219726	manual_output_funchead_RANDOM3	7.228810944424365	10.50684369933141
Arabic	3303044	manual_output_funchead_RANDOM3	6.969757510522112	10.105654591086516
Arabic	4095392	manual_output_funchead_RANDOM3	7.1642527941532475	10.38075002754663
Arabic	4342592	manual_output_funchead_RANDOM3	7.1665942022841085	10.412256353069367
Arabic	4789742	manual_output_funchead_RANDOM3	7.499607487732756	10.912625191268269
Arabic	5011109	manual_output_funchead_RANDOM3	7.097516691660341	10.354873845353264
Arabic	6316613	manual_output_funchead_RANDOM3	7.201134540430961	10.478253509829987
Arabic	6821922	manual_output_funchead_RANDOM3	7.084161039892773	10.305556371121904
Arabic	85305	manual_output_funchead_RANDOM3	7.080301843816532	10.28028089222239
Arabic	8708184	manual_output_funchead_RANDOM3	7.052470729673435	10.236717944237723
Arabic	8988713	manual_output_funchead_RANDOM3	7.21683322395776	10.46511700516434
Basque	1234875	manual_output_funchead_RANDOM3	8.5017660490635	8.501794652478633
Basque	2926479	manual_output_funchead_RANDOM3	8.426387924379801	8.426417134825575
Basque	322396	manual_output_funchead_RANDOM3	8.455004612556728	8.455024214628866
Basque	370034	manual_output_funchead_RANDOM3	8.365873742211567	8.365911477909174
Basque	5195738	manual_output_funchead_RANDOM3	8.392204193061817	8.392230847041228
Basque	5284893	manual_output_funchead_RANDOM3	8.411453759539574	8.411477039388568
Basque	5654503	manual_output_funchead_RANDOM3	8.39837772303134	8.398401209919813
Basque	7946224	manual_output_funchead_RANDOM3	8.484921673333053	8.48494599865887
Basque	8143440	manual_output_funchead_RANDOM3	8.470102009126594	8.470125042117964
Basque	8969980	manual_output_funchead_RANDOM3	8.39403665293676	8.394060483087259
