Language	Model	Type	Surp	FullSurp
Afrikaans	1706438	manual_output_funchead_RANDOM4	6.4039591903333015	8.975337805824312
Afrikaans	3729822	manual_output_funchead_RANDOM4	6.548025598546249	9.342635292814542
Afrikaans	4372443	manual_output_funchead_RANDOM4	6.451975842043394	9.097677232047001
Afrikaans	4910676	manual_output_funchead_RANDOM4	6.49427376150274	9.167557782056381
Afrikaans	5062984	manual_output_funchead_RANDOM4	6.51030142063127	9.105884582457808
Afrikaans	5109039	manual_output_funchead_RANDOM4	6.599077610281062	9.39675146337499
Afrikaans	5763978	manual_output_funchead_RANDOM4	6.585123516762093	9.347858001258778
Afrikaans	7312334	manual_output_funchead_RANDOM4	6.442786503870119	9.05772074281145
Afrikaans	9180557	manual_output_funchead_RANDOM4	6.450110021047097	9.114080736922814
Afrikaans	9883558	manual_output_funchead_RANDOM4	6.55169622483107	9.205270238296977
Ancient_Greek	1931146	manual_output_funchead_RANDOM4	7.397837291238306	10.58590781706191
Ancient_Greek	2076645	manual_output_funchead_RANDOM4	7.274197675763711	10.389257810905399
Ancient_Greek	288647	manual_output_funchead_RANDOM4	7.463249514610232	10.71707164605959
Ancient_Greek	3433328	manual_output_funchead_RANDOM4	7.351777693624802	10.503893437889673
Ancient_Greek	6569190	manual_output_funchead_RANDOM4	7.328956383258393	10.493036208417974
Ancient_Greek	6572613	manual_output_funchead_RANDOM4	7.333706458745499	10.468399874380736
Ancient_Greek	845425	manual_output_funchead_RANDOM4	7.4200557342736575	10.642851910805756
Ancient_Greek	9364325	manual_output_funchead_RANDOM4	7.395417544073322	10.566625740568032
Ancient_Greek	9505094	manual_output_funchead_RANDOM4	7.22523586916648	10.310023337897087
Ancient_Greek	9661539	manual_output_funchead_RANDOM4	7.4597800343878635	10.712198885388581
Arabic	138789	manual_output_funchead_RANDOM4	7.284162430425195	10.466777710689007
Arabic	322463	manual_output_funchead_RANDOM4	7.098561355201425	10.245610607141737
Arabic	6329330	manual_output_funchead_RANDOM4	7.216205933260807	10.446558104031082
Arabic	6844688	manual_output_funchead_RANDOM4	7.215577288667603	10.39774753992083
Arabic	7039153	manual_output_funchead_RANDOM4	7.12099470379918	10.275527711884767
Basque	2646970	manual_output_funchead_RANDOM4	8.420990638466014	8.421034268765972
Basque	348828	manual_output_funchead_RANDOM4	8.380730931280363	8.38076169756791
Basque	5227109	manual_output_funchead_RANDOM4	8.398510756580954	8.398532142477846
Basque	5703929	manual_output_funchead_RANDOM4	8.499916123431495	8.499941510232194
Basque	5727153	manual_output_funchead_RANDOM4	8.381634974027248	8.381656596613452
Basque	5964981	manual_output_funchead_RANDOM4	8.44284777114088	8.442867756633115
Basque	6104638	manual_output_funchead_RANDOM4	8.393690781838218	8.3937135759089
Basque	7536513	manual_output_funchead_RANDOM4	8.410087389297988	8.410112126873168
Basque	7959890	manual_output_funchead_RANDOM4	8.48539914115937	8.485423852579183
Belarusian	2700565	manual_output_funchead_RANDOM4	9.253060787992535	11.436947230494603
Belarusian	3293685	manual_output_funchead_RANDOM4	9.276102214262691	11.70813067116155
Belarusian	4370760	manual_output_funchead_RANDOM4	9.192682601877074	11.527223829085452
Belarusian	4722850	manual_output_funchead_RANDOM4	9.104803654240504	11.296122579958562
Belarusian	7134720	manual_output_funchead_RANDOM4	9.101627012127366	11.319159187715734
Belarusian	7498407	manual_output_funchead_RANDOM4	9.030318335525129	11.230272238595145
Belarusian	7569899	manual_output_funchead_RANDOM4	9.319549687378242	11.588883226789783
Bulgarian	2249529	manual_output_funchead_RANDOM4	7.539422688230927	11.04261636065335
Bulgarian	2324578	manual_output_funchead_RANDOM4	7.396983408425071	10.813993510783803
Bulgarian	374756	manual_output_funchead_RANDOM4	7.4012290878279305	10.752607072204095
Bulgarian	3758829	manual_output_funchead_RANDOM4	7.37826626432199	10.739201675267692
Bulgarian	548791	manual_output_funchead_RANDOM4	7.419367701332654	10.776151244388336
Bulgarian	5556687	manual_output_funchead_RANDOM4	7.544683073233963	10.91126421577555
Bulgarian	6755184	manual_output_funchead_RANDOM4	7.336741240345348	10.68097032845237
Catalan	334616	manual_output_funchead_RANDOM4	6.1047236645931235	7.743571413883695
Catalan	3981442	manual_output_funchead_RANDOM4	6.058437580702144	7.684501233434928
Catalan	4158663	manual_output_funchead_RANDOM4	6.181496611564536	7.868821572870019
Catalan	4523000	manual_output_funchead_RANDOM4	6.155664367223246	7.813877665960315
Catalan	4935278	manual_output_funchead_RANDOM4	6.151632273172518	7.861560466871183
Catalan	5914881	manual_output_funchead_RANDOM4	6.053321913681855	7.726058565782075
Catalan	6574489	manual_output_funchead_RANDOM4	6.134657035947864	7.82409260952597
Catalan	7358274	manual_output_funchead_RANDOM4	6.117868448114081	7.8062739119249285
Catalan	7394090	manual_output_funchead_RANDOM4	6.072671747540463	7.756781998453111
Catalan	7488183	manual_output_funchead_RANDOM4	6.01057388044203	7.57913573962932
Catalan	9424451	manual_output_funchead_RANDOM4	6.059526188304906	7.695118052144886
Chinese	2945785	manual_output_funchead_RANDOM4	7.834378729225628	9.829738089751496
Chinese	4130321	manual_output_funchead_RANDOM4	7.785354444365418	9.79017430980672
Chinese	4145045	manual_output_funchead_RANDOM4	7.828636823782032	9.856627070389285
Chinese	5564929	manual_output_funchead_RANDOM4	7.796884174889879	9.858373691709463
Chinese	6079911	manual_output_funchead_RANDOM4	7.820418394454802	9.773693783552522
Chinese	6314764	manual_output_funchead_RANDOM4	7.8706036339121415	9.854365531494029
Chinese	6958957	manual_output_funchead_RANDOM4	7.802767628721407	9.758700062004769
Chinese	7557498	manual_output_funchead_RANDOM4	7.813027081870508	9.839208498167489
Chinese	8632144	manual_output_funchead_RANDOM4	7.855165818900116	9.89752504753344
Chinese	9464995	manual_output_funchead_RANDOM4	7.768416518044099	9.825355699327257
Chinese	9637990	manual_output_funchead_RANDOM4	7.794587252488149	9.736297552075486
Coptic	121194	manual_output_funchead_RANDOM4	5.425112019510247	7.547943276015495
Coptic	4822639	manual_output_funchead_RANDOM4	5.269465235671817	7.398438715202025
Coptic	6987829	manual_output_funchead_RANDOM4	5.117102351138931	6.997843690432375
Coptic	7665963	manual_output_funchead_RANDOM4	5.2665020704841154	7.202622900763862
Coptic	7871642	manual_output_funchead_RANDOM4	5.229961523898813	7.038691303341888
Coptic	8524392	manual_output_funchead_RANDOM4	5.195498729146682	7.2126905563029835
Croatian	1049358	manual_output_funchead_RANDOM4	7.93453272100702	7.93455209917314
Croatian	2197584	manual_output_funchead_RANDOM4	7.906824028535336	7.906841963605701
Croatian	2855573	manual_output_funchead_RANDOM4	8.006441300705614	8.006457115417202
Croatian	6810666	manual_output_funchead_RANDOM4	8.074990245286788	8.07500681328373
Croatian	6944387	manual_output_funchead_RANDOM4	7.972035428907708	7.972049062147422
Croatian	8963323	manual_output_funchead_RANDOM4	8.069714408256296	8.069737176870785
Croatian	9660740	manual_output_funchead_RANDOM4	7.999941228242603	7.999959926636224
Czech	1144035	manual_output_funchead_RANDOM4	7.14337452975425	10.971661260860133
Czech	1526584	manual_output_funchead_RANDOM4	7.138176558353131	10.935727764637592
Czech	1944586	manual_output_funchead_RANDOM4	7.13856742150294	10.938677623483436
Czech	2033316	manual_output_funchead_RANDOM4	7.114671241902532	10.941559284668529
Czech	2296413	manual_output_funchead_RANDOM4	7.3399447824734	11.234141389491011
Czech	2387058	manual_output_funchead_RANDOM4	7.146148539896903	10.793892959501703
Czech	2785295	manual_output_funchead_RANDOM4	7.14144924734515	10.85292963974602
Czech	3813913	manual_output_funchead_RANDOM4	7.189386515211397	10.982298956164447
Czech	7522043	manual_output_funchead_RANDOM4	7.3139797553561285	11.175883944081955
Czech	8567091	manual_output_funchead_RANDOM4	7.153886886411932	11.005761291077034
Czech	9150078	manual_output_funchead_RANDOM4	7.112475668723458	10.96978334871797
Danish	2392404	manual_output_funchead_RANDOM4	7.228326916186457	7.228344429280155
Danish	2463882	manual_output_funchead_RANDOM4	7.290969891928128	7.290997983684176
Danish	4032554	manual_output_funchead_RANDOM4	7.385860810930444	7.385884425427256
Danish	4290454	manual_output_funchead_RANDOM4	7.229699562059055	7.22973019746856
Danish	463858	manual_output_funchead_RANDOM4	7.254544113584272	7.254559460773624
Danish	7061023	manual_output_funchead_RANDOM4	7.296105844530336	7.296130192873311
Danish	7309084	manual_output_funchead_RANDOM4	7.269647897412159	7.269667928873962
Danish	8461862	manual_output_funchead_RANDOM4	7.2830452541297594	7.283066813831598
Danish	8924674	manual_output_funchead_RANDOM4	7.316973949602278	7.316993561226503
Danish	8980785	manual_output_funchead_RANDOM4	7.319706648005398	7.319731093921348
Danish	987417	manual_output_funchead_RANDOM4	7.318185081544202	7.3182021945389515
Dutch	1652163	manual_output_funchead_RANDOM4	6.893963991585	9.518662116115653
Dutch	4424385	manual_output_funchead_RANDOM4	6.929531691684367	9.624977697537442
Dutch	5000354	manual_output_funchead_RANDOM4	6.846811325470845	9.519482771128647
Dutch	552179	manual_output_funchead_RANDOM4	6.862012735266434	9.490953583717346
Dutch	5734014	manual_output_funchead_RANDOM4	6.889381378248055	9.56269510712023
Dutch	6095749	manual_output_funchead_RANDOM4	6.885728760918556	9.562189553720723
Dutch	6363725	manual_output_funchead_RANDOM4	6.870451305995833	9.499233117709005
Dutch	6973480	manual_output_funchead_RANDOM4	6.841907617892825	9.362644473003748
Dutch	8270256	manual_output_funchead_RANDOM4	6.914481444489359	9.56558989236058
Dutch	8594919	manual_output_funchead_RANDOM4	6.903123130287559	9.608635969037051
Dutch	9503004	manual_output_funchead_RANDOM4	6.922456294798631	9.655592686633518
English	1641200	manual_output_funchead_RANDOM4	6.626090463964734	9.004428902821711
English	5257886	manual_output_funchead_RANDOM4	6.703876469847056	9.080966626362489
English	5595592	manual_output_funchead_RANDOM4	6.6519093621888254	9.077024829940514
English	6794333	manual_output_funchead_RANDOM4	6.616648430431919	8.990328827221658
English	8902782	manual_output_funchead_RANDOM4	6.590635096617463	8.959544576969396
English	929677	manual_output_funchead_RANDOM4	6.700369705857489	9.108958282631313
Estonian	1743925	manual_output_funchead_RANDOM4	8.469370602928407	10.077804178862984
Estonian	255929	manual_output_funchead_RANDOM4	8.44878210371666	10.0893153322875
Estonian	3109680	manual_output_funchead_RANDOM4	8.384321358919198	10.021278502018452
Estonian	4120357	manual_output_funchead_RANDOM4	8.460843577384399	10.14437994000215
Estonian	5788327	manual_output_funchead_RANDOM4	8.3761913854089	10.047532064027038
Estonian	6306940	manual_output_funchead_RANDOM4	8.490086737308841	10.21982721130778
Estonian	6405095	manual_output_funchead_RANDOM4	8.476086537732405	10.151505140531048
Estonian	6541382	manual_output_funchead_RANDOM4	8.417559689832489	10.089089889059549
Estonian	7816831	manual_output_funchead_RANDOM4	8.425080341370371	10.131629110538398
Estonian	8479040	manual_output_funchead_RANDOM4	8.378972379871685	10.082547102162604
Estonian	9262388	manual_output_funchead_RANDOM4	8.438791813165276	10.148714120416923
Finnish	1429290	manual_output_funchead_RANDOM4	8.039937909218462	10.802312623213911
Finnish	306270	manual_output_funchead_RANDOM4	8.129021401875146	10.95318802523373
Finnish	3245247	manual_output_funchead_RANDOM4	8.042230517648555	10.78999285123466
Finnish	5189301	manual_output_funchead_RANDOM4	8.002926915803181	10.768070901567844
Finnish	5803803	manual_output_funchead_RANDOM4	8.098591232941239	10.929290438004355
Finnish	6111261	manual_output_funchead_RANDOM4	8.054337563655885	10.859387905897295
Finnish	6240501	manual_output_funchead_RANDOM4	8.23008015469759	11.108947628957253
Finnish	7799911	manual_output_funchead_RANDOM4	8.04269550292446	10.883608548873516
Finnish	814082	manual_output_funchead_RANDOM4	8.058386624484493	10.809482217003078
Finnish	848971	manual_output_funchead_RANDOM4	8.084888197214134	10.940734302497576
Finnish	94981	manual_output_funchead_RANDOM4	8.093143605760458	10.885369586650034
French	3763947	manual_output_funchead_RANDOM4	6.100176199673687	6.157049512378843
French	5415404	manual_output_funchead_RANDOM4	5.963147152662859	6.01645239172369
French	5470521	manual_output_funchead_RANDOM4	6.056465238055711	6.108388472469679
French	5643346	manual_output_funchead_RANDOM4	5.900541579186932	5.951783043549219
French	6689786	manual_output_funchead_RANDOM4	6.020998087437398	6.07322359690754
French	7783045	manual_output_funchead_RANDOM4	6.0103296933259935	6.065113639463802
French	7954248	manual_output_funchead_RANDOM4	6.042689905751539	6.093517142741369
French	8628478	manual_output_funchead_RANDOM4	5.915746642908497	5.966767856181714
Galician	2732452	manual_output_funchead_RANDOM4	6.323097669012231	9.156025191173761
Galician	2777557	manual_output_funchead_RANDOM4	6.4897288005246825	9.465091195295953
Galician	538682	manual_output_funchead_RANDOM4	6.36685819427636	9.222167619000464
Galician	7335268	manual_output_funchead_RANDOM4	6.25031234539798	9.054781863351705
German	2879783	manual_output_funchead_RANDOM4	7.216362601108533	9.29970546977684
German	6128980	manual_output_funchead_RANDOM4	7.206411742257528	9.363643936693895
German	6318990	manual_output_funchead_RANDOM4	7.147616177477587	9.30327717597799
German	6453913	manual_output_funchead_RANDOM4	7.206126210273588	9.329139324498236
German	7658813	manual_output_funchead_RANDOM4	7.2217099218717475	9.330539420072828
German	9237699	manual_output_funchead_RANDOM4	7.221727316753581	9.339115337085921
German	9656585	manual_output_funchead_RANDOM4	7.21178908429192	9.372542582130917
Gothic	1263643	manual_output_funchead_RANDOM4	6.876811070578277	8.950863256527484
Gothic	1565803	manual_output_funchead_RANDOM4	6.762885260551096	8.851979463149593
Gothic	3113208	manual_output_funchead_RANDOM4	6.817894927783133	8.966713928334574
Gothic	3257023	manual_output_funchead_RANDOM4	6.886250668494748	8.922324366477437
Gothic	421884	manual_output_funchead_RANDOM4	7.053388112472849	9.132975683775724
Gothic	4952162	manual_output_funchead_RANDOM4	6.9591573447074895	9.058131204128312
Gothic	5248352	manual_output_funchead_RANDOM4	6.87848114979176	8.999861051630049
Gothic	6817890	manual_output_funchead_RANDOM4	6.894596406666009	8.911831844489523
Gothic	7629292	manual_output_funchead_RANDOM4	6.88908044675603	8.95688198784249
Gothic	9112670	manual_output_funchead_RANDOM4	6.898251775389095	9.021402960011422
Greek	2160322	manual_output_funchead_RANDOM4	7.198179786941543	8.986339030521028
Greek	2982148	manual_output_funchead_RANDOM4	7.255735371926679	9.06940627423421
Greek	4659479	manual_output_funchead_RANDOM4	7.1437679718907985	8.89867296010374
Greek	4678179	manual_output_funchead_RANDOM4	7.226286460417489	9.210629666479818
Greek	5888995	manual_output_funchead_RANDOM4	7.132321073886917	8.897348191012352
Greek	6433312	manual_output_funchead_RANDOM4	7.1641559837105335	8.96881979474262
Greek	793606	manual_output_funchead_RANDOM4	7.153662004613774	9.048021456822594
Greek	8032587	manual_output_funchead_RANDOM4	7.099117454802163	8.815011815015536
Greek	940757	manual_output_funchead_RANDOM4	7.344196750938548	9.288221362417552
Greek	9525007	manual_output_funchead_RANDOM4	7.200190393180182	9.037941078036567
Hebrew	1130856	manual_output_funchead_RANDOM4	6.7214457763230495	8.41733516337647
Hebrew	2263448	manual_output_funchead_RANDOM4	6.7475643151288605	8.523234067393911
Hebrew	3106682	manual_output_funchead_RANDOM4	6.874383237018317	8.679028890783655
Hebrew	4231140	manual_output_funchead_RANDOM4	6.780822134943193	8.586515197612734
Hebrew	4549418	manual_output_funchead_RANDOM4	6.7259102929532055	8.4572691551426
Hebrew	4917967	manual_output_funchead_RANDOM4	6.779289965601804	8.554142713690407
Hebrew	5444158	manual_output_funchead_RANDOM4	6.794899207454698	8.528671424790677
Hebrew	6830155	manual_output_funchead_RANDOM4	6.765328832567037	8.543429479914659
Hebrew	6854004	manual_output_funchead_RANDOM4	6.765288913379739	8.527087516674186
Hebrew	9348253	manual_output_funchead_RANDOM4	6.705790374633808	8.464906454062316
Hindi	1497177	manual_output_funchead_RANDOM4	5.921954049056347	7.618457110316105
Hindi	2552057	manual_output_funchead_RANDOM4	5.9083177478872395	7.419351756340955
Hindi	3321947	manual_output_funchead_RANDOM4	6.0870533555213715	7.771830841486633
Hindi	535642	manual_output_funchead_RANDOM4	5.874570737284562	7.5127116262728615
Hindi	5672971	manual_output_funchead_RANDOM4	6.105151427773318	7.792666258732756
Hindi	5920805	manual_output_funchead_RANDOM4	5.911842380318917	7.586262160956194
Hindi	6610863	manual_output_funchead_RANDOM4	5.991066738398232	7.565523486885611
Hindi	6717272	manual_output_funchead_RANDOM4	5.944179744861709	7.591203237398505
Hindi	6744463	manual_output_funchead_RANDOM4	5.90682421583257	7.472617125711582
Hindi	9463983	manual_output_funchead_RANDOM4	5.982332478350605	7.622471112043349
Hindi	9995643	manual_output_funchead_RANDOM4	5.93463426479142	7.525495028512567
Hungarian	2669086	manual_output_funchead_RANDOM4	8.57764388638958	8.577679189288816
Hungarian	3658656	manual_output_funchead_RANDOM4	8.639995477707785	8.64008115908555
Hungarian	4126343	manual_output_funchead_RANDOM4	8.613187637375095	8.613265585901749
Hungarian	427940	manual_output_funchead_RANDOM4	8.614882229535024	8.61490152241347
