Language	Model	Type	UAS	Pars
Estonian	6004854147	manual_output_funchead_two_coarse_lambda09_best_large	0.779768056034	1.0483093039698463
German	71307869	manual_output_funchead_two_coarse_lambda09_best_large	0.868462757528	0.5957371714098029
Basque	9590786184	manual_output_funchead_two_coarse_lambda09_best_large	0.742779783394	1.1626694619751243
Vietnamese	8604993053	manual_output_funchead_two_coarse_lambda09_best_large	0.686505120146	1.4647803533322596
Basque	5417024915	manual_output_funchead_two_coarse_lambda09_best_large	0.746690734055	1.1879280919871844
Korean	7538096224	manual_output_funchead_two_coarse_lambda09_best_large	0.695501097293	1.6229971473724545
English	8253448084	manual_output_funchead_two_coarse_lambda09_best_large	0.835331006929	0.8059029541497092
Lithuanian	5938709556	manual_output_funchead_two_coarse_lambda09_best_large	0.537938844847	2.3412240051062163
Coptic	1512478300	manual_output_funchead_two_coarse_lambda09_best_large	0.801377726751	0.9572197468491564
Norwegian	5969325668	manual_output_funchead_two_coarse_lambda09_best_large	0.845190149477	0.74507438664841
Marathi	6527573707	manual_output_funchead_two_coarse_lambda09_best_large	0.681286549708	1.4143794907463922
Persian	637132345	manual_output_funchead_two_coarse_lambda09_best_large	0.850331674959	0.7442725676077383
Basque	7473453870	manual_output_funchead_two_coarse_lambda09_best_large	0.774167669475	1.0916181910638105
English	5593687804	manual_output_funchead_two_coarse_lambda09_best_large	0.832473575077	0.7953474484272902
Ancient_Greek	6727343105	manual_output_funchead_two_coarse_lambda09_best_large	0.829502316545	0.9313500356752586
Old_Church_Slavonic	3901401544	manual_output_funchead_two_coarse_lambda09_best_large	0.845148514851	0.923824102359243
Marathi	6983409439	manual_output_funchead_two_coarse_lambda09_best_large	0.733918128655	1.5517115174678333
Greek	7920532892	manual_output_funchead_two_coarse_lambda09_best_large	0.818481497235	0.8526559774290496
Indonesian	6050259150	manual_output_funchead_two_coarse_lambda09_best_large	0.769938938469	1.122639804605365
Russian	1126867524	manual_output_funchead_two_coarse_lambda09_best_large	0.814226624165	0.8939821105741607
Japanese	2095642367	manual_output_funchead_two_coarse_lambda09_best_large	0.866794810187	0.6968361098969115
Gothic	5869981999	manual_output_funchead_two_coarse_lambda09_best_large	0.790488431877	1.200381217347979
Slovenian	5947007887	manual_output_funchead_two_coarse_lambda09_best_large	0.837156912326	0.8163396445888305
