Language	FileName	ModelName	Counter	Dependency	Distance_Mean_NoPunct	Distance_Sigma_NoPunct	DH_Sigma_NoPunct	DH_Mean_NoPunct
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	acl	0.41425797	0.24688597	0.32179356	-3.5753548
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	advcl	2.3842387	0.21660669	0.11189719	-0.84878707
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	advmod	-1.2220786	0.117966555	0.073327124	-0.8137489
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	amod	-0.0017343828	1.0510035	0.6768366	-1.3870996
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	appos	1.5259677	0.4682497	0.5203633	-2.760925
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	aux	-1.2766908	0.10073392	0.3971899	4.8497305
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	case	-2.3607743	0.23606406	0.3150208	4.9202614
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	cc	3.4774065	0.28156754	0.2819996	3.26504
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	ccomp	2.6790357	0.2446114	0.44985974	-3.7366636
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	conj	2.421636	0.27700895	0.44606885	-4.13162
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	cop	-1.8361659	0.3055342	0.5258593	-3.0659306
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	csubj	0.9669764	0.5540057	0.57608557	-2.2054615
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	dep	0.88475066	0.74302995	0.638056	-0.13530555
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	det	-6.725606	0.3131028	0.1257532	2.427402
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	discourse	1.1386813	0.674622	0.6813611	0.55759037
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	dislocated	0.9880494	0.1936051	0.17970213	0.57043797
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	fixed	-0.03335641	0.99369127	0.5595051	-2.543098
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	flat	-0.02015518	1.009614	0.9094239	-0.6702743
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	iobj	-3.8309355	0.5138318	0.6317669	-2.0026262
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	mark	1.2565497	0.16662253	0.4018644	5.0548105
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	nmod	-0.4785287	0.30520722	0.41829237	-4.147625
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	nsubj	-2.7699566	0.08580628	0.12361973	2.0593877
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	nummod	-0.7554537	0.7664591	0.8780606	0.8504226
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	obj	-2.4200919	0.14980757	0.43551275	-4.57423
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	obl	0.046123616	0.104782686	0.16565774	-2.9041705
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	orphan	0.5555767	0.8776744	0.788673	-0.911712
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	parataxis	3.2692878	0.28794944	0.48610318	-3.1735985
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	punct	-0.04363904	1.0262833	1.016895	-0.0242364
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	vocative	0.4933492	0.49666622	0.4770307	0.2547701
Coptic	3012510	inferRealGrammars_PureUD.py	1990000	xcomp	1.3387905	0.3486885	0.48032442	-3.4286945
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	acl	2.0049334	0.073380075	0.38741252	-6.2568035
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	advcl	2.1702602	0.114022404	0.061814357	-0.9981749
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	advmod	-0.87904763	0.053723324	0.053269472	0.4429721
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	amod	-1.873887	0.07333013	0.3666173	-6.873673
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	appos	1.0347663	0.099422134	0.38491082	-5.1390877
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	aux	-0.9211401	0.07486771	0.16829756	2.5062733
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	case	0.99349016	0.0479521	0.15172876	6.709735
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	cc	4.962702	0.16028166	0.2014424	5.184088
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	ccomp	2.2075822	0.17759573	0.28949675	-3.829466
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	compound	-6.8888936	0.37828913	0.34511045	-7.0048957
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	conj	2.6904142	0.061520778	0.35434595	-6.618922
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	cop	-0.85493463	0.1028444	0.2804618	3.0682843
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	csubj	0.12404353	0.9043251	0.6484932	-0.99364585
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	dep	0.6092649	0.11056948	-0.026352726	-1.3072454
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	det	-2.2138658	0.046738174	0.32405305	7.656938
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	dislocated	1.1805378	0.64287966	0.6702802	1.8879616
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	fixed	-1.6300529	0.63075626	0.45070598	-5.1280727
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	flat	-4.415866	0.402737	0.3836993	-5.9728756
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	goeswith	-0.49302873	0.9973087	0.87301564	-0.6141399
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	iobj	0.14588718	0.025107767	0.06887581	-2.8143206
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	mark	1.7633858	0.057870917	0.35853058	6.5969024
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	nmod	-0.04778801	0.046545554	0.075816356	-3.5429542
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	nsubj	-0.11062952	0.009031995	0.04106227	0.8816635
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	nummod	-1.9664484	0.0732829	-0.09205988	1.1950927
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	obj	-0.15274419	0.03730542	0.08084322	-3.3327148
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	obl	0.40793923	0.045028187	0.026845599	-1.1882187
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	parataxis	0.7402776	0.05106969	0.09147459	-0.075999536
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	punct	-0.014456631	1.0117235	0.97891074	0.043862924
Hebrew	5716754	inferRealGrammars_PureUD.py	1990000	xcomp	0.7240872	0.08494696	0.22795282	-4.8975782
French	1566755	inferRealGrammars_PureUD.py	1990000	acl	1.6262809	0.07735821	0.053523794	-3.074118
