diff_corr_nocorr	diff_DLM_NoDLM	probVPBranching	probNPBranching	probObj
-0.899152073015	-0.007470286045	0.4	0.3	0.9
-0.723574218435	-0.04704812095	0.3	0.3	0.9
-0.62545213408	0.0144395816575	0.4	0.3	0.8
-0.556650862915	-0.0842950473175	0.4	0.3	0.7
-0.530503763305	-0.157706028625	0.4	0.3	0.6
-0.512905494345	-0.0231647893375	0.2	0.3	0.9
-0.49031246222	-0.0101026551625	0.3	0.3	0.8
-0.40069948922	-0.063858289155	0.3	0.3	0.7
-0.384249752765	-0.001960330415	0.1	0.3	0.9
-0.35709325808	0.0163456837975	0.2	0.3	0.7
-0.353029416975	0.0150449289325	0.2	0.3	0.8
-0.349815461445	-0.17864179446	0.4	0.3	0.5
-0.31575863595	-0.086259132175	0.3	0.3	0.6
-0.314842209415	-0.0476676437675	0.1	0.3	0.8
-0.26858785211	0.0172353684375	0.3	0.3	0.5
-0.25206549699	-0.07233911884	0.4	0.1	0.9
-0.233373901975	0.02360491617	0.1	0.3	0.7
-0.209251803935	-0.00387987973	0.2	0.3	0.5
-0.201745315215	-0.0061326645925	0.1	0.3	0.5
-0.183860753005	0.025828226895	0.1	0.3	0.6
-0.18044547714	0.0413742323825	0.2	0.3	0.6
-0.1468766932	-0.14491704141	0.4	0.1	0.8
-0.12570382052	-0.03452707141	0.3	0.1	0.9
-0.125257400905	-0.0102993165675	0.1	0.3	0.4
-0.11900334413	0.00500931319	0.2	0.3	0.4
-0.11409245586	-0.00725414522	0.1	0.1	0.9
-0.11158053434	0.0509401315	0.3	0.3	0.4
-0.10081311042	-0.0143055005625	0.1	0.3	0.2
-0.100045936705	-0.03042837022	0.3	0.3	0.2
-0.095663355355	0.02212925451	0.1	0.3	0.3
-0.0927221978	-0.0168145293	0.3	0.3	0.3
-0.090775144285	0.0162958948025	0.2	0.3	0.3
-0.08438559437	-0.18442922887	0.4	0.1	0.7
-0.0811181436	0.01117537717	0.2	0.1	0.7
-0.07962799741	-0.01923141539	0.2	0.1	0.8
-0.07295490019	-0.00907603956	0.1	0.1	0.8
-0.07148156041	-0.05116468366	0.3	0.1	0.8
-0.06822017275	0.03046192122	0.2	0.1	0.9
-0.047973179835	-0.0328138024525	0.4	0.3	0.4
-0.04395322452	-0.077904660675	0.4	0.3	0.3
-0.04353971042	-0.01551241425	0.1	0.1	0.7
-0.037838666595	-0.021628595955	0.3	0.1	0.7
-0.035669984115	0.04970225912	0.2	0.3	0.2
-0.02683261679	-0.00665358071	0.2	0.1	0.6
-0.02122368606	-0.00824226611	0.1	0.1	0.6
-0.01990186944	0.00518844645	0.1	0.1	0.2
-0.01260132176	0.02353000031	0.1	0.1	0.3
-0.01250107762	0.0054832486	0.2	0.1	0.4
-0.01222903876	-0.02416582583	0.2	0.1	0.3
-0.00817768606	0.0051799133	0.2	0.1	0.2
-0.005421553625	-0.00923299683	0.1	0.0	0.2
-0.00262397289	-0.02391133412	0.3	0.1	0.6
0.00058444959	0.00845544402	0.1	0.1	0.5
0.00189591379	-0.00581960445	0.1	0.1	0.4
0.007626067595	-0.0079824700525	0.1	0.0	0.9
0.00902139661	-0.01316876996	0.1	0.0	0.8
0.00910136045	-0.0199682365825	0.1	0.0	0.6
0.01231459725	-0.0117928100625	0.2	0.0	0.9
0.016997264815	-1.37328949998e-05	0.1	0.0	0.7
0.018949271175	-0.036141748465	0.2	0.0	0.8
0.02999693916	-0.016246621355	0.2	0.0	0.2
0.03080531996	-0.0449434203	0.3	0.0	0.9
0.03102837116	0.0091099582175	0.1	0.0	0.3
0.037063694965	-0.0469652896875	0.4	0.3	0.2
0.0374876897	0.0089904046275	0.1	0.0	0.5
0.04022458229	-0.09417839505	0.3	0.1	0.2
0.045135693475	-0.0866534456425	0.3	0.0	0.8
0.04601964303	0.01742329283	0.2	0.1	0.5
0.04662990475	-0.32070803255	0.4	0.1	0.3
0.0495099908	0.0037742890275	0.1	0.0	0.4
0.05802851555	-0.03794709345	0.3	0.1	0.3
0.05888890771	-0.028728568635	0.2	0.0	0.6
0.06130588491	-0.0385199051875	0.2	0.0	0.5
0.06336944098	-0.05341169045	0.3	0.1	0.5
0.06458710864	-0.21961379345	0.4	0.1	0.6
0.06477443928	-0.048756498065	0.4	0.0	0.9
0.066912667545	-0.008584293535	0.2	0.0	0.7
0.06749865546	-0.02642529998	0.2	0.0	0.4
0.073732638795	-0.110244766608	0.3	0.0	0.6
0.075415332665	-0.117437493405	0.3	0.0	0.2
0.07683606512	-0.34039789061	0.4	0.1	0.2
0.083203973255	-0.0012071102125	0.2	0.0	0.3
0.08754533019	-0.05159838576	0.3	0.1	0.4
0.09147389806	-0.101295320057	0.3	0.0	0.3
0.09629223067	-0.121169270313	0.3	0.0	0.4
0.09974925185	-0.160139367757	0.4	0.0	0.8
0.10316773208	-0.19855934044	0.4	0.1	0.5
0.105357176085	-0.362242504045	0.4	0.0	0.3
0.109402619015	-0.08319202285	0.3	0.0	0.7
0.114508606595	-0.382961771102	0.4	0.0	0.5
0.11652929243	-0.347633669857	0.4	0.0	0.4
0.1275990449	-0.27704138871	0.4	0.1	0.4
0.12891885238	-0.240398302615	0.4	0.0	0.2
0.138967791365	-0.124533251967	0.3	0.0	0.5
0.15149651628	-0.244087588815	0.4	0.0	0.7
0.161154665175	-0.264522714717	0.4	0.0	0.6
