dependency	satisfiedFraction	posteriorMean	posteriorSD	posteriorOpposite
acl	0.849431818181818	4.07737722111083	0.643101204832315	0
advcl	0.841359773371105	4.25217083451398	0.887853223670535	0
advmod	0.508152173913043	0.0728730643163396	0.574383640033528	0.427875
amod	0.83695652173913	3.87340219065484	0.606761563337423	0
appos	0.773529411764706	3.74582072457352	0.930820764247637	0
aux	0.263456090651558	-2.429829237056	0.649887824356491	0.999875
ccomp	0.876056338028169	4.36577999535662	0.830589867085488	0
compound	0.614420062695925	1.16189851436091	0.601498515200352	0.02625
conj	0.816666666666667	3.35145457190687	0.534484792524061	0
csubj	0.777126099706745	2.88810019856774	0.824472899814031	0.000125
dep	0.643109540636042	1.23520199766814	0.618339293398531	0.02325
det	0.714673913043478	2.29794104683943	0.741788192423916	0.000375
discourse	0.362264150943396	-1.33293103611158	0.53075155786163	0.992625
dislocated	0.607692307692308	0.975209701474807	1.46122583184135	0.215375
expl	0.358823529411765	-1.94708145546333	2.32669497392906	0.84625
fixed	0.32312925170068	-1.84642871378468	0.442030114136915	1
flat	0.659442724458204	1.66018859244617	0.696932743812451	0.008
goeswith	0.57258064516129	-0.0453751029414033	1.05181185977623	0.494
iobj	0.493939393939394	-0.352461655553825	0.833195604044989	0.66625
lifted_case	0.807065217391304	3.88167048012026	0.849194143509062	0
lifted_cc	0.831521739130435	3.77480219322111	0.573883753921431	0
lifted_cop	0.802898550724638	3.09578655157026	0.602557098669809	0
lifted_mark	0.85054347826087	4.337277334479	0.810829281485611	0
list	0.586776859504132	0.815744147369727	1.00702803856686	0.163
nmod	0.815217391304348	4.01989516495759	0.8207498189087	0
nsubj	0.285326086956522	-2.86536829393781	0.801753104871015	0.99975
nummod	0.736413043478261	1.96590289406878	0.475757579219055	0.00175
obl	0.777173913043478	2.78817738670086	0.575138063437231	0
orphan	0.702479338842975	2.37590260037551	0.987039743277354	0.009875
parataxis	0.558730158730159	0.738224679585169	0.819000018261189	0.177625
reparandum	0.534246575342466	0.25575692818385	4.66979267761446	0.557375
vocative	0.415094339622642	-1.03285797141567	0.637256742516339	0.956
xcomp	0.900849858356941	6.00245708521916	1.35063395509288	0
