dependency	satisfiedFraction	posteriorMean	posteriorSD	posteriorOpposite
acl	0.772959183673469	1.54441588636185	0.461373320891897	0.0011
advcl	0.806122448979592	1.8813706040157	0.330649769291285	0
advmod	0.512254901960784	-0.131386120508043	0.320769286729746	0.6501
amod	0.475490196078431	0.371823144499786	0.483697815909301	0.2217
appos	0.702127659574468	0.994595864955368	0.306944238494352	9e-04
aux	0.448979591836735	-0.183106847691853	0.247618564033956	0.7846
ccomp	0.862244897959184	2.32252338992138	0.577539252561818	0
compound	0.607954545454545	0.493150435017314	0.27546829689586	0.0342
conj	0.72	1.37138415703681	0.399479917902541	5e-04
csubj	0.704787234042553	1.25391106040362	0.357065666748511	0
dep	0.667763157894737	0.909650578731335	0.373731440461981	0.0181
det	0.487745098039216	0.0142615097253561	0.255654393924814	0.4902
discourse	0.482142857142857	-0.127114016278472	0.273790982328073	0.6833
dislocated	0.592105263157895	0.256578174876466	0.518968363264981	0.2739
expl	0.526041666666667	0.530914886783195	1.4440099576435	0.3421
fixed	0.384375	-0.502335250395508	0.274490408611812	0.9616
flat	0.638888888888889	0.572507746331341	0.203390196020669	0.0054
goeswith	0.551470588235294	0.268476148946816	0.34426509744375	0.1853
iobj	0.480978260869565	-0.154132492638517	0.537500687593095	0.6232
lifted_case	0.759803921568627	1.39896309092455	0.246410996660061	0
lifted_cc	0.79656862745098	1.55649454926009	0.332575764502408	0
lifted_cop	0.789893617021277	1.53666818735216	0.253402622929979	0
lifted_mark	0.799019607843137	1.88703793023723	0.409550546103419	0
list	0.6	0.542855689294992	0.429599539423008	0.0821
nmod	0.737745098039216	1.21852251095529	0.240543952349897	0
nsubj	0.0784313725490196	-4.64741501923117	1.48875455548261	0.9999
nummod	0.512254901960784	0.0692081048059251	0.200723299682554	0.3527
obl	0.58578431372549	0.346963005446842	0.592408051396302	0.2612
orphan	0.625	0.610687139073292	0.308514080068408	0.0223
parataxis	0.664772727272727	0.702698033541211	0.247606009219436	0.0035
reparandum	0.5125	0.107451352391094	0.659436042075185	0.4253
vocative	0.46875	0.196242783460322	0.698125672714777	0.3942
xcomp	0.915816326530612	4.19542520709738	1.121350067447	1e-04
