dependency	satisfiedFraction
acl	0.9019608
advcl	0.9215686
advmod	0.3584906
amod	0.6981132
appos	0.8367347
aux	0.2745098
ccomp	0.9607843
compound	0.673913
conj	0.9230769
csubj	0.7959184
dep	0.6829268
det	0.5849057
discourse	0.2051282
dislocated	0.6842105
expl	0.5384615
fixed	0.3488372
flat	0.7021277
goeswith	0.3888889
iobj	0.6875
lifted_case	0.8301887
lifted_cc	0.9245283
lifted_cop	0.74
lifted_mark	0.8679245
list	0.4117647
nmod	0.9056604
nsubj	0.2075472
nummod	0.509434
obl	0.9056604
orphan	0.7777778
parataxis	0.8478261
reparandum	0.3636364
vocative	0.4358974
xcomp	0.9607843
