Language	CoarseDependency	BranchingEntropy
Hindi	lifted_mark	0.676601644555
Hindi	lifted_case	0.38302662214
Hindi	lifted_cop	0.0269065112319
Hindi	conj	4.21515222815e-11
Hindi	acl	0.662813656429
Hindi	vocative	0.410116320117
Hindi	advcl	0.245494117356
Hindi	dislocated	0.284198810848
Hindi	aux	0.00780037499205
Hindi	case	5.20174374586e-08
Hindi	nsubj	0.0752890441261
Hindi	nummod	0.0364223312165
Hindi	advmod	0.0839351198869
Hindi	punct	0.464533103918
Hindi	compound	0.0399903042449
Hindi	lifted_cc	0.0135504027088
Hindi	xcomp	0.056937224503
Hindi	obl	0.0161131559591
Hindi	obj	0.567015137453
Hindi	dep	0.424905631527
Hindi	det	4.34236408019e-11
Hindi	nmod	0.109788388063
Hindi	amod	0.122398812591
Hindi	iobj	1.20413236755e-10
Swedish	list	4.20602361778e-08
Swedish	orphan	0.101264818335
Swedish	reparandum	6.83976429677e-08
Swedish	lifted_mark	0.0145441874304
Swedish	lifted_case	0.0984286538842
Swedish	csubj	0.482991990889
Swedish	lifted_cop	0.592817065904
Swedish	conj	0.0303859677687
Swedish	acl	0.00850147678485
Swedish	vocative	0.689994458035
Swedish	mark	6.83976429677e-08
Swedish	discourse	0.22371807621
Swedish	advcl	0.594358475682
Swedish	dislocated	0.67666533978
Swedish	aux	0.0263757086325
Swedish	parataxis	0.141765032961
Swedish	flat	0.0295044446247
Swedish	nsubj	0.465115771381
Swedish	nummod	0.468375621373
Swedish	advmod	0.643184798889
Swedish	punct	0.442267059398
Swedish	compound	0.0873616557233
Swedish	lifted_cc	0.133587639143
Swedish	ccomp	0.0773706020153
Swedish	xcomp	0.138619430656
Swedish	obl	0.464223996763
Swedish	obj	0.20839950294
Swedish	appos	4.07470327474e-10
Swedish	det	0.0075226510217
Swedish	nmod	0.684343610236
Swedish	amod	0.147980189093
Swedish	iobj	0.107700286177
Swedish	expl	0.48350197608
Swedish	fixed	0.0116050032274
German	ccomp	0.51686386988
German	lifted_case	0.100428663592
German	csubj	0.581115838052
German	lifted_cop	0.530248330494
German	conj	0.00951488962834
German	acl	0.200247573748
German	mark	1.9420680218e-07
German	advcl	0.605031026259
German	aux	0.63595704816
German	parataxis	0.230433635233
German	flat	0.00140928443013
German	nsubj	0.519676114508
German	nummod	0.148137595629
German	advmod	0.519835632874
German	punct	0.587636266107
German	compound	0.683722728473
German	obj	0.689512913417
German	lifted_mark	0.196866728818
German	xcomp	0.551220030983
German	obl	0.670427522779
German	lifted_cc	0.108902665631
German	dep	0.686995035983
German	appos	0.0629798495651
