"","Language","Type","Model","Pars","Surp"
"1","Afrikaans","manual_output_funchead_two_coarse_lambda09_best_balanced","5046665960",0.705322490605261,6.28555288205388
"2","Ancient_Greek","manual_output_funchead_two_coarse_lambda09_best_balanced","2516852197",0.916932361700702,7.20709416408734
"3","Arabic","manual_output_funchead_two_coarse_lambda09_best_balanced","3835252040",0.910777292011354,6.97526358514272
"4","Basque","manual_output_funchead_two_coarse_lambda09_best_balanced","8672367733",1.10121116162877,8.23066748360183
"5","Belarusian","manual_output_funchead_two_coarse_lambda09_best_balanced","6240844779",1.6964366428519,8.90715594032451
"6","Bulgarian","manual_output_funchead_two_coarse_lambda09_best_balanced","18714601",0.567077557139589,7.20928081414233
"7","Catalan","manual_output_funchead_two_coarse_lambda09_best_balanced","8804783850",0.568798109872654,5.80763105249497
"8","Chinese","manual_output_funchead_two_coarse_lambda09_best_balanced","6506194697",1.21328580285345,7.68581992115199
"9","Coptic","manual_output_funchead_two_coarse_lambda09_best_balanced","9980524482",0.842061972371746,5.12020788192749
"10","Croatian","manual_output_funchead_two_coarse_lambda09_best_balanced","5267858882",0.830337114631553,7.79546690020396
"11","Czech","manual_output_funchead_two_coarse_lambda09_best_balanced","8366283978",NA,6.88002698379932
"12","Czech","manual_output_funchead_two_coarse_lambda09_best_balanced","5094433174",NA,7.03452053808185
"13","Czech","manual_output_funchead_two_coarse_lambda09_best_balanced","6567715106",NA,6.98064131561451
"14","Danish","manual_output_funchead_two_coarse_lambda09_best_balanced","3270634651",0.761631314586451,7.08714444462715
"15","Dutch","manual_output_funchead_two_coarse_lambda09_best_balanced","6881123351",0.666519561598553,6.71522424286534
"16","English","manual_output_funchead_two_coarse_lambda09_best_balanced","8404836484",0.682286532169115,6.48087735050203
"17","Estonian","manual_output_funchead_two_coarse_lambda09_best_balanced","8684097388",0.934388218934561,8.33738054575503
"18","Finnish","manual_output_funchead_two_coarse_lambda09_best_balanced","749186078",0.918114605656996,7.86191210478129
"19","French","manual_output_funchead_two_coarse_lambda09_best_balanced","844932020",0.558494393185117,5.70477920282062
"20","Galician","manual_output_funchead_two_coarse_lambda09_best_balanced","618745179",1.05483553719276,6.11697510876172
"21","German","manual_output_funchead_two_coarse_lambda09_best_balanced","2785881362",0.612236128511728,7.08423641417719
"22","Gothic","manual_output_funchead_two_coarse_lambda09_best_balanced","9944847221",1.05449704924001,6.80994567965751
"23","Greek","manual_output_funchead_two_coarse_lambda09_best_balanced","1479906576",0.752264406650891,6.96685870967667
"24","Hebrew","manual_output_funchead_two_coarse_lambda09_best_balanced","6475257003",0.828298615747356,6.59478970372674
"25","Hindi","manual_output_funchead_two_coarse_lambda09_best_balanced","6322278314",0.514814302725874,5.69706297368847
"26","Hungarian","manual_output_funchead_two_coarse_lambda09_best_balanced","7441475010",1.15805760347092,8.52009135287749
"27","Indonesian","manual_output_funchead_two_coarse_lambda09_best_balanced","6692858366",0.962574250914223,7.8267347263086
"28","Irish","manual_output_funchead_two_coarse_lambda09_best_balanced","4042245630",2.45038234504974,7.93340425515871
"29","Italian","manual_output_funchead_two_coarse_lambda09_best_balanced","4982347129",0.586589505690598,6.37620345913841
"30","Japanese","manual_output_funchead_two_coarse_lambda09_best_balanced","6822497466",0.633996550581995,6.18639444209564
"31","Korean","manual_output_funchead_two_coarse_lambda09_best_balanced","2983756417",1.63275876370211,7.59127683934774
"32","Latin","manual_output_funchead_two_coarse_lambda09_best_balanced","2104657829",1.19857738668254,7.5669011463378
"33","Latvian","manual_output_funchead_two_coarse_lambda09_best_balanced","8425689023",1.37802628187347,8.5379910720561
"34","Lithuanian","manual_output_funchead_two_coarse_lambda09_best_balanced","7079023400",2.41056249797817,9.1268425081751
"35","Marathi","manual_output_funchead_two_coarse_lambda09_best_balanced","9891860501",1.42544629978158,7.19339715179644
"36","Norwegian","manual_output_funchead_two_coarse_lambda09_best_balanced","2196341832",0.597957526661229,6.75959257864604
"37","Old_Church_Slavonic","manual_output_funchead_two_coarse_lambda09_best_balanced","1081592835",0.970298254430884,6.70935935355184
"38","Persian","manual_output_funchead_two_coarse_lambda09_best_balanced","3670417635",0.738714590470985,6.80693085052011
"39","Polish","manual_output_funchead_two_coarse_lambda09_best_balanced","6101868652",0.508667682429397,8.08712545592325
"40","Portuguese","manual_output_funchead_two_coarse_lambda09_best_balanced","9026756482",0.564007306278123,6.04969668024257
"41","Romanian","manual_output_funchead_two_coarse_lambda09_best_balanced","2006351133",0.978010842670012,7.04994002604515
"42","Russian","manual_output_funchead_two_coarse_lambda09_best_balanced","129735271",0.895029767031335,7.17409089213334
"43","Serbian","manual_output_funchead_two_coarse_lambda09_best_balanced","3065397356",0.805273560221405,7.56539552546116
"44","Slovak","manual_output_funchead_two_coarse_lambda09_best_balanced","292677637",0.699307919654447,8.88915646626054
"45","Slovenian","manual_output_funchead_two_coarse_lambda09_best_balanced","7021869359",0.798928060913507,7.25866946140954
"46","Spanish","manual_output_funchead_two_coarse_lambda09_best_balanced","7429964346",0.671826373810397,6.02764042235017
"47","Swedish","manual_output_funchead_two_coarse_lambda09_best_balanced","4830756694",0.81457109087949,6.78718268131044
"48","Tamil","manual_output_funchead_two_coarse_lambda09_best_balanced","6968744064",1.72471141815186,8.95022875422442
"49","Telugu","manual_output_funchead_two_coarse_lambda09_best_balanced","8832613105",0.859194965491175,7.74305753504976
"50","Turkish","manual_output_funchead_two_coarse_lambda09_best_balanced","4398615662",1.82107139639037,8.97432544278519
"51","Ukrainian","manual_output_funchead_two_coarse_lambda09_best_balanced","245233931",1.01056690453658,8.76105491416646
"52","Urdu","manual_output_funchead_two_coarse_lambda09_best_balanced","8161695169",0.746712604726072,5.87007700522241
"53","Vietnamese","manual_output_funchead_two_coarse_lambda09_best_balanced","8694515501",1.25387968715349,7.57485829997012
