"","Language","Type","Model","Surp"
"1","Afrikaans","manual_output_funchead_langmod_coarse_final","476413",6.27192606676908
"2","Ancient_Greek","manual_output_funchead_langmod_coarse_final","3629173",7.19797832438095
"3","Arabic","manual_output_funchead_langmod_coarse_final","5216401",6.93318954531748
"4","Basque","manual_output_funchead_langmod_coarse_final","1556381",8.19242216116566
"5","Belarusian","manual_output_funchead_langmod_coarse_final","3122922",8.83886200788152
"6","Bulgarian","manual_output_funchead_langmod_coarse_final","2480875",7.2944404363736
"7","Catalan","manual_output_funchead_langmod_coarse_final","1873110",5.84152889697474
"8","Chinese","manual_output_funchead_langmod_coarse_final","4624274",7.73012725542837
"9","Coptic","manual_output_funchead_langmod_coarse_final","3528000",4.88035187040057
"10","Croatian","manual_output_funchead_langmod_coarse_final","4078709",7.85985208751524
"11","Czech","manual_output_funchead_langmod_coarse_final","4501428",6.97645659589946
"12","Danish","manual_output_funchead_langmod_coarse_final","5489353",7.17387404924197
"13","Dutch","manual_output_funchead_langmod_coarse_final","802120",6.71398138583066
"14","English","manual_output_funchead_langmod_coarse_final","1999088",6.49849741599848
"15","Estonian","manual_output_funchead_langmod_coarse_final","1443132",8.34098036300499
"16","Finnish","manual_output_funchead_langmod_coarse_final","90517",7.88792732020652
"17","French","manual_output_funchead_langmod_coarse_final","6764104",5.69964216622035
"18","Galician","manual_output_funchead_langmod_coarse_final","196516",6.11443070843495
"19","German","manual_output_funchead_langmod_coarse_final","2736661",7.08420944510458
"20","Gothic","manual_output_funchead_langmod_coarse_final","3418365",6.71892488802084
"21","Greek","manual_output_funchead_langmod_coarse_final","2132447",7.01219718643358
"22","Hebrew","manual_output_funchead_langmod_coarse_final","76823",6.59699600248727
"23","Hindi","manual_output_funchead_langmod_coarse_final","5738194",5.61693537340897
"24","Hungarian","manual_output_funchead_langmod_coarse_final","5915676",8.50213052856077
"25","Indonesian","manual_output_funchead_langmod_coarse_final","2924206",7.81449471349696
"26","Irish","manual_output_funchead_langmod_coarse_final","8274240",7.90721148975996
"27","Italian","manual_output_funchead_langmod_coarse_final","4127823",6.38981275012413
"28","Japanese","manual_output_funchead_langmod_coarse_final","871729",6.3129524688662
"29","Korean","manual_output_funchead_langmod_coarse_final","6245856",7.56980507583804
"30","Latin","manual_output_funchead_langmod_coarse_final","5058918",7.62871812174296
"31","Latvian","manual_output_funchead_langmod_coarse_final","8419211",8.57006099797086
"32","Lithuanian","manual_output_funchead_langmod_coarse_final","4570836",9.14653316643617
"33","Marathi","manual_output_funchead_langmod_coarse_final","5442179",6.99956862886073
"34","Norwegian","manual_output_funchead_langmod_coarse_final","4544151",6.77161727543929
"35","Old_Church_Slavonic","manual_output_funchead_langmod_coarse_final","8064870",6.70457311717661
"36","Persian","manual_output_funchead_langmod_coarse_final","4537752",6.91388870580701
"37","Polish","manual_output_funchead_langmod_coarse_final","4784623",8.12446725621601
"38","Portuguese","manual_output_funchead_langmod_coarse_final","4508756",6.06483223481051
"39","Romanian","manual_output_funchead_langmod_coarse_final","7499474",7.06447992318398
"40","Russian","manual_output_funchead_langmod_coarse_final","1257577",7.16636435680516
"41","Serbian","manual_output_funchead_langmod_coarse_final","5958735",7.60319412014413
"42","Slovak","manual_output_funchead_langmod_coarse_final","932315",8.87857069890787
"43","Slovenian","manual_output_funchead_langmod_coarse_final","3251118",7.22723944439266
"44","Spanish","manual_output_funchead_langmod_coarse_final","9012833",6.04924104236341
"45","Swedish","manual_output_funchead_langmod_coarse_final","8444732",6.81793999743009
"46","Tamil","manual_output_funchead_langmod_coarse_final","7784159",8.92616634334776
"47","Telugu","manual_output_funchead_langmod_coarse_final","912132",7.8123568912231
"48","Turkish","manual_output_funchead_langmod_coarse_final","9700919",8.95179825486929
"49","Ukrainian","manual_output_funchead_langmod_coarse_final","334999",8.70660059485751
"50","Urdu","manual_output_funchead_langmod_coarse_final","6595187",5.9140345417505
"51","Vietnamese","manual_output_funchead_langmod_coarse_final","7902703",7.55438627467174
