"","Language","Type","Model","AverageLengthPerWord"
"1","Afrikaans","manual_output_funchead_coarse_depl","5865625",2.210456358
"2","Ancient_Greek","manual_output_funchead_coarse_depl","6081210",2.21136173487
"3","Arabic","manual_output_funchead_coarse_depl","9657519",2.77565447856
"4","Basque","manual_output_funchead_coarse_depl","6222458",1.98873596523
"5","Belarusian","manual_output_funchead_coarse_depl","8271764",2.36734693878
"6","Bulgarian","manual_output_funchead_coarse_depl","3052631",1.92984963404
"7","Catalan","manual_output_funchead_coarse_depl","4001769",2.47437415636
"8","Chinese","manual_output_funchead_coarse_depl","6899795",2.52740107058
"9","Coptic","manual_output_funchead_coarse_depl","1124565",2.1697187313
"10","Croatian","manual_output_funchead_coarse_depl","9589665",2.23475323567
"11","Czech","manual_output_funchead_coarse_depl","8654620",2.19892763844
"12","Danish","manual_output_funchead_coarse_depl","8995213",2.212426364
"13","Dutch","manual_output_funchead_coarse_depl","7445909",2.13543940954
"14","English","manual_output_funchead_coarse_depl","2189630",2.11002477761
"15","Estonian","manual_output_funchead_coarse_depl","763803",2.10245535714
"16","Finnish","manual_output_funchead_coarse_depl","5993401",2.01049479332
"17","French","manual_output_funchead_coarse_depl","8237174",2.42355191213
"18","Galician","manual_output_funchead_coarse_depl","2954501",2.39333424024
"19","German","manual_output_funchead_coarse_depl","9103895",2.1708211995
"20","Gothic","manual_output_funchead_coarse_depl","9203610",2.05207344096
"21","Greek","manual_output_funchead_coarse_depl","6796608",2.37605312989
"22","Hebrew","manual_output_funchead_coarse_depl","3400921",2.35047674083
"23","Hindi","manual_output_funchead_coarse_depl","638179",2.32605542991
"24","Hungarian","manual_output_funchead_coarse_depl","6596261",2.43083969466
"25","Indonesian","manual_output_funchead_coarse_depl","5408252",2.21343509104
"26","Irish","manual_output_funchead_coarse_depl","3719763",2.47948243993
"27","Italian","manual_output_funchead_coarse_depl","2586367",2.25808613453
"28","Japanese","manual_output_funchead_coarse_depl","7296019",2.17320581096
"29","Korean","manual_output_funchead_coarse_depl","314498",2.0950984103
"30","Latin","manual_output_funchead_coarse_depl","3985777",2.10701247829
"31","Latvian","manual_output_funchead_coarse_depl","8353964",2.19399275423
"32","Lithuanian","manual_output_funchead_coarse_depl","970902",2.32064985036
"33","Marathi","manual_output_funchead_coarse_depl","1604148",1.65858389913
"34","Norwegian","manual_output_funchead_coarse_depl","2541451",1.97419273167
"35","Old_Church_Slavonic","manual_output_funchead_coarse_depl","1246468",1.90513667768
"36","Persian","manual_output_funchead_coarse_depl","4831626",2.20745271997
"37","Polish","manual_output_funchead_coarse_depl","5172620",1.7297338173
"38","Portuguese","manual_output_funchead_coarse_depl","3266598",2.28594307953
"39","Romanian","manual_output_funchead_coarse_depl","7349060",2.19477728857
"40","Russian","manual_output_funchead_coarse_depl","7245681",2.16885715434
"41","Serbian","manual_output_funchead_coarse_depl","5826996",2.14307195775
"42","Slovak","manual_output_funchead_coarse_depl","9493108",1.70165911985
"43","Slovenian","manual_output_funchead_coarse_depl","4728781",2.07732068043
"44","Spanish","manual_output_funchead_coarse_depl","4206968",2.38088242196
"45","Swedish","manual_output_funchead_coarse_depl","9141734",2.08073687082
"46","Tamil","manual_output_funchead_coarse_depl","800383",2.23746200608
"47","Telugu","manual_output_funchead_coarse_depl","4818092",1.30555555556
"48","Turkish","manual_output_funchead_coarse_depl","6821175",2.20611992432
"49","Ukrainian","manual_output_funchead_coarse_depl","8866063",2.15801226385
"50","Urdu","manual_output_funchead_coarse_depl","8432834",2.55747358639
"51","Vietnamese","manual_output_funchead_coarse_depl","2194242",2.00440113172
