"","Language","Type","Model"
"1","Afrikaans","manual_output_funchead_ground_coarse_final","5140435"
"2","Ancient_Greek","manual_output_funchead_ground_coarse_final","4903625"
"3","Arabic","manual_output_funchead_ground_coarse_final","1377450"
"4","Basque","manual_output_funchead_ground_coarse_final","5430429"
"5","Belarusian","manual_output_funchead_ground_coarse_final","4306356"
"6","Bulgarian","manual_output_funchead_ground_coarse_final","6102528"
"7","Catalan","manual_output_funchead_ground_coarse_final","6550321"
"8","Chinese","manual_output_funchead_ground_coarse_final","1105957"
"9","Coptic","manual_output_funchead_ground_coarse_final","5155803"
"10","Croatian","manual_output_funchead_ground_coarse_final","9238767"
"11","Czech","manual_output_funchead_ground_coarse_final","499722"
"12","Danish","manual_output_funchead_ground_coarse_final","5889850"
"13","Dutch","manual_output_funchead_ground_coarse_final","7241557"
"14","English","manual_output_funchead_ground_coarse_final","7520227"
"15","Estonian","manual_output_funchead_ground_coarse_final","9750613"
"16","Finnish","manual_output_funchead_ground_coarse_final","1742267"
"17","French","manual_output_funchead_ground_coarse_final","9269015"
"18","Galician","manual_output_funchead_ground_coarse_final","2284441"
"19","German","manual_output_funchead_ground_coarse_final","6522123"
"20","Gothic","manual_output_funchead_ground_coarse_final","1096327"
"21","Greek","manual_output_funchead_ground_coarse_final","3473327"
"22","Hebrew","manual_output_funchead_ground_coarse_final","9783889"
"23","Hindi","manual_output_funchead_ground_coarse_final","1987011"
"24","Hungarian","manual_output_funchead_ground_coarse_final","1920622"
"25","Indonesian","manual_output_funchead_ground_coarse_final","3564332"
"26","Irish","manual_output_funchead_ground_coarse_final","910807"
"27","Italian","manual_output_funchead_ground_coarse_final","4411633"
"28","Japanese","manual_output_funchead_ground_coarse_final","3679914"
"29","Korean","manual_output_funchead_ground_coarse_final","8498532"
"30","Latin","manual_output_funchead_ground_coarse_final","6801994"
"31","Latvian","manual_output_funchead_ground_coarse_final","2818837"
"32","Lithuanian","manual_output_funchead_ground_coarse_final","5342711"
"33","Marathi","manual_output_funchead_ground_coarse_final","6734866"
"34","Norwegian","manual_output_funchead_ground_coarse_final","5648267"
"35","Old_Church_Slavonic","manual_output_funchead_ground_coarse_final","8735902"
"36","Persian","manual_output_funchead_ground_coarse_final","1219040"
"37","Polish","manual_output_funchead_ground_coarse_final","1830518"
"38","Portuguese","manual_output_funchead_ground_coarse_final","4176516"
"39","Romanian","manual_output_funchead_ground_coarse_final","643506"
"40","Russian","manual_output_funchead_ground_coarse_final","1935936"
"41","Serbian","manual_output_funchead_ground_coarse_final","294441"
"42","Slovak","manual_output_funchead_ground_coarse_final","8058440"
"43","Slovenian","manual_output_funchead_ground_coarse_final","7335440"
"44","Spanish","manual_output_funchead_ground_coarse_final","4594419"
"45","Swedish","manual_output_funchead_ground_coarse_final","8725567"
"46","Tamil","manual_output_funchead_ground_coarse_final","5098545"
"47","Telugu","manual_output_funchead_ground_coarse_final","7525511"
"48","Turkish","manual_output_funchead_ground_coarse_final","5754928"
"49","Ukrainian","manual_output_funchead_ground_coarse_final","1356979"
"50","Urdu","manual_output_funchead_ground_coarse_final","5325281"
"51","Vietnamese","manual_output_funchead_ground_coarse_final","1988915"
