Language	FileName	Direction	Group
Danish	4554946807	OV	GROUP3
Danish	8729629327	OV	GROUP4
Danish	2616466607	OV	GROUP1
Danish	1108530248	OV	GROUP2
Danish	2784096538	OV	GROUP3
Danish	5824485390	OV	GROUP4
Danish	3243028224	OV	GROUP1
Danish	122581733	OV	GROUP2
Danish	8761703752	OV	GROUP3
Danish	9346918106	OV	GROUP4
Danish	5604041068	VO	GROUP1
Danish	5500305980	VO	GROUP2
Danish	7575930030	VO	GROUP3
Danish	3952714728	VO	GROUP4
Danish	8690418231	VO	GROUP1
Danish	1552290073	VO	GROUP2
Danish	3311572534	VO	GROUP3
Danish	6161271648	VO	GROUP4
Danish	8015690102	VO	GROUP1
Danish	3540964777	VO	GROUP2
Danish	384412782	VO	GROUP3
Danish	5914445670	VO	GROUP4
Dutch	4435548871	OV	GROUP1
Dutch	1118393839	OV	GROUP2
Dutch	4456562268	OV	GROUP3
Dutch	7775405388	OV	GROUP4
Dutch	4727165580	OV	GROUP1
Dutch	5266995269	OV	GROUP2
Dutch	8061996055	OV	GROUP3
Dutch	1073347678	OV	GROUP4
Dutch	2568301737	OV	GROUP1
Dutch	9666829161	OV	GROUP2
Dutch	3331821553	OV	GROUP3
Dutch	7914274986	OV	GROUP4
Dutch	5990686683	OV	GROUP1
Dutch	6955889391	VO	GROUP1
Dutch	8705762937	VO	GROUP2
Dutch	8857876313	VO	GROUP3
Dutch	2181121230	VO	GROUP4
Dutch	7974561834	VO	GROUP1
Dutch	3902085028	VO	GROUP2
Dutch	1454093843	VO	GROUP3
Dutch	5427721463	VO	GROUP4
Dutch	6170861758	VO	GROUP1
Dutch	7925799883	VO	GROUP2
Dutch	5101586457	VO	GROUP3
Dutch	4979061618	VO	GROUP4
Dutch	5944845713	VO	GROUP1
English	2539204204	OV	GROUP1
English	4409672014	OV	GROUP2
English	7030440871	OV	GROUP3
English	7876628481	OV	GROUP4
English	9386080325	OV	GROUP1
English	4947121803	OV	GROUP2
English	2608680131	OV	GROUP3
English	6295386939	OV	GROUP4
English	9021624881	OV	GROUP1
English	4910096554	OV	GROUP2
English	8253448084	OV	GROUP3
English	677471935	OV	GROUP4
English	5695541364	VO	GROUP1
English	7580379440	VO	GROUP2
English	1861401696	VO	GROUP3
English	6448967977	VO	GROUP4
English	5593687804	VO	GROUP1
English	3260879064	VO	GROUP2
English	9322393111	VO	GROUP3
English	9935841037	VO	GROUP4
English	521274686	VO	GROUP1
English	9691137995	VO	GROUP2
English	9632101529	VO	GROUP3
English	7405933776	VO	GROUP4
Estonian	2193715782	OV	GROUP1
Estonian	6548791509	OV	GROUP2
Estonian	184087540	OV	GROUP3
Estonian	6985317856	OV	GROUP4
Estonian	1640027993	OV	GROUP1
Estonian	8609622278	OV	GROUP2
Estonian	5879401288	OV	GROUP3
Estonian	9828378963	OV	GROUP4
Estonian	7125397000	OV	GROUP1
Estonian	8287909227	OV	GROUP2
Estonian	9895311798	OV	GROUP3
Estonian	1420288269	OV	GROUP4
Estonian	1534374712	VO	GROUP1
Estonian	6005170877	VO	GROUP2
Estonian	6293982301	VO	GROUP3
Estonian	2367739706	VO	GROUP4
Estonian	6004854147	VO	GROUP1
Estonian	4227834293	VO	GROUP2
Estonian	9516554508	VO	GROUP3
Estonian	4737512014	VO	GROUP4
Estonian	9201022475	VO	GROUP1
Estonian	453495948	VO	GROUP2
Estonian	3317895290	VO	GROUP3
Estonian	6460036660	VO	GROUP4
Finnish	1266678302	OV	GROUP1
Finnish	7281723814	OV	GROUP2
Finnish	582421446	OV	GROUP3
Finnish	561431915	OV	GROUP4
Finnish	1801673413	OV	GROUP1
Finnish	7780466564	OV	GROUP2
Finnish	2710299600	OV	GROUP3
Finnish	2319061700	OV	GROUP4
Finnish	8684997966	OV	GROUP1
Finnish	6642178163	OV	GROUP2
Finnish	5335149485	OV	GROUP3
Finnish	6582140560	OV	GROUP4
Finnish	8934540534	VO	GROUP1
Finnish	3742081041	VO	GROUP2
Finnish	1165449940	VO	GROUP3
Finnish	7512597550	VO	GROUP4
Finnish	6589028339	VO	GROUP1
Finnish	8278855198	VO	GROUP2
Finnish	1555669820	VO	GROUP3
Finnish	9752094430	VO	GROUP4
Finnish	3542538061	VO	GROUP1
Finnish	1375310690	VO	GROUP2
Finnish	3529350779	VO	GROUP3
Finnish	4663177148	VO	GROUP4
French	7622895099	OV	GROUP1
French	1804798267	OV	GROUP2
French	8111446947	OV	GROUP3
French	6273746389	OV	GROUP4
French	8932085602	OV	GROUP1
French	7908722978	OV	GROUP2
French	7897086626	OV	GROUP3
French	6320535347	OV	GROUP4
French	6662217200	OV	GROUP1
French	5303474759	OV	GROUP2
French	1452193365	OV	GROUP3
French	3669059037	OV	GROUP4
French	8663386833	VO	GROUP1
French	8546236540	VO	GROUP2
French	2913304388	VO	GROUP3
French	1853947948	VO	GROUP4
French	7260291825	VO	GROUP1
French	1842524198	VO	GROUP2
French	4013494826	VO	GROUP3
French	6912153951	VO	GROUP4
French	3037027383	VO	GROUP1
French	4872997742	VO	GROUP2
French	8192054014	VO	GROUP3
French	6854151894	VO	GROUP4
Galician	454387779	OV	GROUP1
Galician	7889150172	OV	GROUP2
Galician	898582989	OV	GROUP3
Galician	8639776079	OV	GROUP4
Galician	4011099045	OV	GROUP1
Galician	9182157309	OV	GROUP2
Galician	845646266	OV	GROUP3
Galician	6804679991	OV	GROUP4
Galician	2670938162	OV	GROUP1
Galician	6863491188	OV	GROUP2
Galician	345548586	OV	GROUP3
Galician	1106493779	OV	GROUP4
Galician	8753749998	VO	GROUP1
Galician	7875103053	VO	GROUP2
Galician	9888894181	VO	GROUP3
Galician	7145686102	VO	GROUP4
Galician	6029986537	VO	GROUP1
Galician	5469793482	VO	GROUP2
Galician	2745190476	VO	GROUP3
Galician	8515847732	VO	GROUP4
Galician	1356713099	VO	GROUP1
Galician	5988943500	VO	GROUP2
Galician	9306240684	VO	GROUP3
Galician	2179952099	VO	GROUP4
German	8723024291	OV	GROUP1
German	6342040758	OV	GROUP2
German	7136971851	OV	GROUP3
German	71307869	OV	GROUP4
German	175901926	OV	GROUP1
German	7233494255	OV	GROUP2
German	4702663606	OV	GROUP3
German	4445452725	OV	GROUP4
German	5722010187	OV	GROUP1
German	4190278615	OV	GROUP2
German	7237154057	OV	GROUP3
German	4661301716	OV	GROUP4
German	9024217012	VO	GROUP1
German	183828430	VO	GROUP2
German	3150957569	VO	GROUP3
German	8515262878	VO	GROUP4
German	5715216458	VO	GROUP1
German	136153380	VO	GROUP2
German	6574715777	VO	GROUP3
German	8202691602	VO	GROUP4
German	6706744738	VO	GROUP1
German	3888300843	VO	GROUP2
German	1831204260	VO	GROUP3
German	9443367601	VO	GROUP4
Gothic	6737090998	OV	GROUP1
Gothic	7843548989	OV	GROUP2
Gothic	3694139128	OV	GROUP3
Gothic	5935470810	OV	GROUP4
Gothic	2357964386	OV	GROUP1
Gothic	3406263810	OV	GROUP2
Gothic	7296551045	OV	GROUP3
Gothic	6143094904	OV	GROUP4
Gothic	5146462271	OV	GROUP1
Gothic	6118902839	OV	GROUP2
Gothic	5335219129	OV	GROUP3
Gothic	6256606243	OV	GROUP4
Gothic	7215537599	VO	GROUP1
Gothic	8738609137	VO	GROUP2
Gothic	2305067591	VO	GROUP3
Gothic	4762537530	VO	GROUP4
Gothic	7331081936	VO	GROUP1
Gothic	9323684490	VO	GROUP2
Gothic	1202122097	VO	GROUP3
Gothic	9319134439	VO	GROUP4
Gothic	2985003243	VO	GROUP1
Gothic	5759701124	VO	GROUP2
Gothic	5869981999	VO	GROUP3
Gothic	1358396919	VO	GROUP4
Greek	2209324319	OV	GROUP1
Greek	6456624145	OV	GROUP2
Greek	3529480172	OV	GROUP3
Greek	5485218092	OV	GROUP4
Greek	391300779	OV	GROUP1
Greek	1540783101	OV	GROUP2
Greek	9363886521	OV	GROUP3
Greek	4395741772	OV	GROUP4
Greek	5990544894	OV	GROUP1
Greek	7331222042	OV	GROUP2
Greek	9998851151	OV	GROUP3
Greek	5370391157	OV	GROUP4
Greek	5152840389	VO	GROUP1
Greek	8432842461	VO	GROUP2
Greek	443087336	VO	GROUP3
Greek	3046758712	VO	GROUP4
Greek	9770309800	VO	GROUP1
Greek	6619864691	VO	GROUP2
Greek	3866288962	VO	GROUP3
Greek	7650272780	VO	GROUP4
Greek	5105683559	VO	GROUP1
Greek	9619503589	VO	GROUP2
Greek	538279922	VO	GROUP3
Greek	7920532892	VO	GROUP4
Hebrew	8681764859	OV	GROUP1
Hebrew	6390048527	OV	GROUP2
Hebrew	9622715829	OV	GROUP3
Hebrew	6251060391	OV	GROUP4
Hebrew	7717550035	OV	GROUP1
Hebrew	9230706573	OV	GROUP2
Hebrew	9618702992	OV	GROUP3
Hebrew	6087914014	OV	GROUP4
Hebrew	907470382	OV	GROUP1
Hebrew	5764264925	OV	GROUP2
Hebrew	484359128	OV	GROUP3
Hebrew	1334963092	OV	GROUP4
Hebrew	6281657213	VO	GROUP1
Hebrew	643621124	VO	GROUP2
Hebrew	6614334335	VO	GROUP3
Hebrew	8002327225	VO	GROUP4
Hebrew	6866507495	VO	GROUP1
Hebrew	7994146565	VO	GROUP2
Hebrew	9351257043	VO	GROUP3
Hebrew	6719626898	VO	GROUP4
Hebrew	4914310971	VO	GROUP1
Hebrew	6482958279	VO	GROUP2
Hebrew	5904258105	VO	GROUP3
Hebrew	7408502760	VO	GROUP4
Hindi	4611313920	OV	GROUP1
Hindi	4220078889	OV	GROUP2
Hindi	612057196	OV	GROUP3
Hindi	9635394031	OV	GROUP4
Hindi	1376619858	OV	GROUP1
Hindi	6931578816	OV	GROUP2
Hindi	1091791772	OV	GROUP3
Hindi	2016540864	OV	GROUP4
Hindi	7704815015	OV	GROUP1
Hindi	3424672901	OV	GROUP2
Hindi	678089378	OV	GROUP3
Hindi	1676837368	OV	GROUP4
Hindi	5884876022	VO	GROUP1
Hindi	2815589020	VO	GROUP2
Hindi	9755066701	VO	GROUP3
Hindi	5962983572	VO	GROUP4
Hindi	9408810693	VO	GROUP1
Hindi	1066497213	VO	GROUP2
Hindi	4411777117	VO	GROUP3
Hindi	2187989692	VO	GROUP4
Hindi	4930250224	VO	GROUP1
Hindi	1939270997	VO	GROUP2
Hindi	2868111645	VO	GROUP3
Hindi	6446658008	VO	GROUP4
Hungarian	8705090251	OV	GROUP1
Hungarian	5786187046	OV	GROUP2
Hungarian	835743013	OV	GROUP3
Hungarian	3342300900	OV	GROUP4
Hungarian	9502250582	OV	GROUP1
Hungarian	288003905	OV	GROUP2
Hungarian	5224955774	OV	GROUP3
Hungarian	6648854911	OV	GROUP4
Hungarian	469486279	OV	GROUP1
Hungarian	9627108233	OV	GROUP2
Hungarian	2692870494	OV	GROUP3
Hungarian	9410202872	OV	GROUP4
Hungarian	1738048221	VO	GROUP1
Hungarian	993437270	VO	GROUP2
Hungarian	5072424235	VO	GROUP3
Hungarian	5672293328	VO	GROUP4
Hungarian	8148810023	VO	GROUP1
Hungarian	8420939739	VO	GROUP2
Hungarian	9615205925	VO	GROUP3
Hungarian	7332538565	VO	GROUP4
Hungarian	5449734832	VO	GROUP1
Hungarian	8976437696	VO	GROUP2
Hungarian	9381740066	VO	GROUP3
Hungarian	1963391511	VO	GROUP4
Indonesian	6755837038	OV	GROUP1
Indonesian	3375856929	OV	GROUP2
Indonesian	8416536337	OV	GROUP3
Indonesian	5916698353	OV	GROUP4
Indonesian	5193281046	OV	GROUP1
Indonesian	2519584723	OV	GROUP2
Indonesian	4879060792	OV	GROUP3
Indonesian	4731998067	OV	GROUP4
Indonesian	5382881867	OV	GROUP1
Indonesian	2560182878	OV	GROUP2
Indonesian	891385641	OV	GROUP3
Indonesian	4375311486	OV	GROUP4
Indonesian	2915991909	OV	GROUP1
Indonesian	7754637447	VO	GROUP1
Indonesian	8584451646	VO	GROUP2
Indonesian	4450050250	VO	GROUP3
Indonesian	5041640935	VO	GROUP4
Indonesian	4418369424	VO	GROUP1
Indonesian	993273831	VO	GROUP2
Indonesian	4470228795	VO	GROUP3
Indonesian	5736069436	VO	GROUP4
Indonesian	6530645675	VO	GROUP1
Indonesian	8374529174	VO	GROUP2
Indonesian	302488657	VO	GROUP3
Indonesian	6050259150	VO	GROUP4
Irish	446418493	OV	GROUP1
Irish	5975979969	OV	GROUP2
Irish	8231415483	OV	GROUP3
Irish	2938889752	OV	GROUP4
Irish	3555231916	OV	GROUP1
Irish	4619624644	OV	GROUP2
Irish	2623977758	OV	GROUP3
Irish	344643896	OV	GROUP4
Irish	7302807329	OV	GROUP1
Irish	3167933702	OV	GROUP2
Irish	7643703723	OV	GROUP3
Irish	8839370098	OV	GROUP4
Irish	4327898982	VO	GROUP1
Irish	21781067	VO	GROUP2
Irish	7638971026	VO	GROUP3
Irish	8605528680	VO	GROUP4
Irish	2176303463	VO	GROUP1
Irish	9473689637	VO	GROUP2
Irish	2994323834	VO	GROUP3
Irish	999781918	VO	GROUP4
Irish	6195122992	VO	GROUP1
Irish	1262201731	VO	GROUP2
Irish	2189901908	VO	GROUP3
Irish	7248715847	VO	GROUP4
Italian	9606114276	OV	GROUP1
Italian	8402267411	OV	GROUP2
Italian	911553149	OV	GROUP3
Italian	1605203152	OV	GROUP4
Italian	3185031035	OV	GROUP1
Italian	2158478159	OV	GROUP2
Italian	3713807910	OV	GROUP3
Italian	1044261734	OV	GROUP4
Italian	1239069177	OV	GROUP1
Italian	189889708	OV	GROUP2
Italian	8737054154	OV	GROUP3
Italian	4907163801	OV	GROUP4
Italian	7633747248	VO	GROUP1
Italian	2159801813	VO	GROUP2
Italian	9424731915	VO	GROUP3
Italian	9858186698	VO	GROUP4
Italian	847591789	VO	GROUP1
Italian	1145283527	VO	GROUP2
Italian	5313212627	VO	GROUP3
Italian	2705796116	VO	GROUP4
Italian	9363890371	VO	GROUP1
Italian	1068152483	VO	GROUP2
Italian	7676356370	VO	GROUP3
Italian	3331694372	VO	GROUP4
Italian	9251457876	VO	GROUP1
Japanese	1461148279	OV	GROUP1
Japanese	3208314050	OV	GROUP2
Japanese	8173520601	OV	GROUP3
Japanese	7214227584	OV	GROUP4
Japanese	2858962760	OV	GROUP1
Japanese	6063659499	OV	GROUP2
Japanese	6615716453	OV	GROUP3
Japanese	2365254073	OV	GROUP4
Japanese	8879667084	OV	GROUP1
Japanese	9193927684	OV	GROUP2
Japanese	8439402816	OV	GROUP3
Japanese	7639076918	OV	GROUP4
Japanese	1009595739	VO	GROUP1
Japanese	313937142	VO	GROUP2
Japanese	1283183948	VO	GROUP3
Japanese	1188143023	VO	GROUP4
Japanese	1068152990	VO	GROUP1
Japanese	5152625031	VO	GROUP2
Japanese	6673178128	VO	GROUP3
Japanese	3088536385	VO	GROUP4
Japanese	2095642367	VO	GROUP1
Japanese	2067345890	VO	GROUP2
Japanese	3429225363	VO	GROUP3
Japanese	1241281058	VO	GROUP4
Korean	1499199054	OV	GROUP1
Korean	8621284411	OV	GROUP2
Korean	9243768601	OV	GROUP3
Korean	3103565506	OV	GROUP4
Korean	6505521778	OV	GROUP1
Korean	4992077103	OV	GROUP2
Korean	3602806999	OV	GROUP3
Korean	7594850778	OV	GROUP4
Korean	7538096224	OV	GROUP1
Korean	9584137591	OV	GROUP2
Korean	939764232	OV	GROUP3
Korean	4858556654	OV	GROUP4
Korean	7169100329	VO	GROUP1
Korean	9582190605	VO	GROUP2
Korean	9355623957	VO	GROUP3
Korean	8609572867	VO	GROUP4
Korean	8034124534	VO	GROUP1
Korean	4995776196	VO	GROUP2
Korean	8121711353	VO	GROUP3
Korean	5533753756	VO	GROUP4
Korean	7193607338	VO	GROUP1
Korean	2944795873	VO	GROUP2
Korean	9541660327	VO	GROUP3
Korean	2724621042	VO	GROUP4
Korean	543184510	VO	GROUP1
Latin	821585655	OV	GROUP1
Latin	8298287341	OV	GROUP2
Latin	8078552324	OV	GROUP3
Latin	1528853115	OV	GROUP4
Latin	9577508682	OV	GROUP1
Latin	744025601	OV	GROUP2
Latin	7282489453	OV	GROUP3
Latin	4429085299	OV	GROUP4
Latin	8755117090	OV	GROUP1
Latin	2887451989	OV	GROUP2
Latin	5784962908	OV	GROUP3
Latin	1696082381	OV	GROUP4
Latin	2642906750	VO	GROUP1
Latin	1105443501	VO	GROUP2
Latin	2984520075	VO	GROUP3
Latin	1892835101	VO	GROUP4
Latin	6935517048	VO	GROUP1
Latin	9147526051	VO	GROUP2
Latin	9019187249	VO	GROUP3
Latin	6754888529	VO	GROUP4
Latin	5234583181	VO	GROUP1
Latin	4766918754	VO	GROUP2
Latin	7278378530	VO	GROUP3
Latin	1542884737	VO	GROUP4
Latvian	8390429393	OV	GROUP1
Latvian	9708684289	OV	GROUP2
Latvian	6855128177	OV	GROUP3
Latvian	3845175163	OV	GROUP4
Latvian	2831766463	OV	GROUP1
Latvian	869200836	OV	GROUP2
Latvian	9624874339	OV	GROUP3
Latvian	4460902927	OV	GROUP4
Latvian	7669348116	OV	GROUP1
Latvian	9342502206	OV	GROUP2
Latvian	3902501904	OV	GROUP3
