"","Language","Model","Type","Direction","Group","Surp","FullSurp","UAS","Pars","Efficiency"
"1","Afrikaans",2869394950,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",6.25948639901809,8.80534100830492,0.852745424293,0.745429028067335,6.37896678718362
"2","Afrikaans",1658885477,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",6.44226702547993,8.97166004791486,0.865848585691,0.683818720243933,6.48185904317587
"3","Afrikaans",2336973232,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",6.35978760093109,8.88679203174492,0.857113144759,0.721010431920034,6.44481927275801
"4","Afrikaans",4418056942,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",6.33686505544193,8.9106597754389,0.827995008319,0.814493543544347,6.51767209344209
"5","Afrikaans",5770375398,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP3",6.32796440034542,8.82814859975877,0.85503327787,0.737288815606255,6.43245677591714
"6","Afrikaans",5621493157,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP3",6.35266026122917,8.94513971164553,0.827579034942,0.812076987571605,6.52947122267786
"7","Afrikaans",9098792234,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP4",6.29142723139927,8.78742991356354,0.849001663894,0.740346442021665,6.402630950281
"8","Afrikaans",2244052059,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP4",6.3384943240134,8.87665078503803,0.823419301165,0.811772786539525,6.51641767815159
"9","Ancient_Greek",2460249038,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",7.31449454667638,10.493499488034,0.765625467045,1.04174516663354,7.62479025864228
"10","Ancient_Greek",2824182837,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",7.25376421923435,10.3151764547723,0.831445224929,0.931878636368293,7.46026643367921
"11","Ancient_Greek",6847276818,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",7.32338529646236,10.4330357076595,0.773098191601,1.04811261519422,7.63915938201035
"12","Ancient_Greek",1662443726,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",7.22170834272033,10.3081988790875,0.834464205649,0.914493256697757,7.41403076514605
"13","Ancient_Greek",7121520514,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP3",7.29277552463135,10.4580762200713,0.760424450755,1.08107258711423,7.64457055928244
"14","Ancient_Greek",2464717213,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP3",7.21725389288484,10.2694616046455,0.834763114632,0.91312782225668,7.40865632585303
"15","Ancient_Greek",542477161,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP4",7.33584606858624,10.4451484441536,0.780421461665,1.01347859397168,7.61574005569929
"16","Ancient_Greek",2121072826,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP4",7.21854456031331,10.2807751431205,0.827200717382,0.945731889316095,7.44242199359807
"17","Arabic",7835557024,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",7.05418834045584,10.0733526971916,0.810367152136,0.915626108190025,7.26439561460028
"18","Arabic",5867584802,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",7.01751539032111,10.0349713614864,0.818350116106,0.89825553062149,7.21401938191049
"19","Arabic",6427878818,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",6.94284149204,10.1014043556609,0.82147481514,0.886168678169984,7.13472602100598
"20","Arabic",861592665,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",7.00766898570705,10.0331799984822,0.817964879239,0.867645054874155,7.1745471420105
