Model	Type
8238226	manual_output_funchead_RANDOM
720142	manual_output_funchead_RANDOM
8898506	manual_output_funchead_RANDOM
7568152	manual_output_funchead_RANDOM
198684	manual_output_funchead_RANDOM
4405342	manual_output_funchead_RANDOM
7675472	manual_output_funchead_RANDOM
7523854	manual_output_funchead_RANDOM
9548173	manual_output_funchead_RANDOM
914237	manual_output_funchead_RANDOM
638179	manual_output_funchead_coarse_depl
5208902332	manual_output_funchead_langmod_coarse_best_balanced
9749585504	manual_output_funchead_two_coarse_parser_best_balanced
6322278314	manual_output_funchead_two_coarse_lambda09_best_balanced
1987011	manual_output_funchead_ground_coarse_final
