Model	Type
9941860	manual_output_funchead_RANDOM
1371976	manual_output_funchead_RANDOM
2859078	manual_output_funchead_RANDOM
5466874	manual_output_funchead_RANDOM
3267783	manual_output_funchead_RANDOM
3135880	manual_output_funchead_RANDOM
5514674	manual_output_funchead_RANDOM
6463685	manual_output_funchead_RANDOM
342453	manual_output_funchead_RANDOM
6626781	manual_output_funchead_RANDOM
1408654	manual_output_funchead_RANDOM
6899795	manual_output_funchead_coarse_depl
9211633685	manual_output_funchead_langmod_coarse_best_balanced
4334711614	manual_output_funchead_two_coarse_parser_best_balanced
6506194697	manual_output_funchead_two_coarse_lambda09_best_balanced
1105957	manual_output_funchead_ground_coarse_final
