Model	Type
37277	manual_output_funchead_RANDOM
5953198	manual_output_funchead_RANDOM
2847244	manual_output_funchead_RANDOM
4147103	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
2138590	manual_output_funchead_RANDOM
6285151	manual_output_funchead_RANDOM
750969	manual_output_funchead_RANDOM
3848887	manual_output_funchead_RANDOM
591473	manual_output_funchead_RANDOM
5674604	manual_output_funchead_RANDOM
2189630	manual_output_funchead_coarse_depl
9521003471	manual_output_funchead_langmod_coarse_best_balanced
9187031691	manual_output_funchead_two_coarse_parser_best_balanced
8404836484	manual_output_funchead_two_coarse_lambda09_best_balanced
7520227	manual_output_funchead_ground_coarse_final
