dependency	satisfiedFraction	posteriorMean	posteriorSD	posteriorOpposite
acl	0.793367346938776	1.50549627266397	0.326852828127335	0
advcl	0.760204081632653	1.18021325380805	0.35217628172465	2e-04
advmod	0.377450980392157	-0.603395527024894	0.234686417336394	0.9923
amod	0.580882352941177	0.60200994424211	0.22784559259507	0.0014
appos	0.691489361702128	0.896161538213949	0.310496069163043	0.0041
aux	0.303571428571429	-1.00250649807946	0.423755412424023	0.9881
ccomp	0.816326530612245	1.81930680449557	0.484076035704664	2e-04
compound	0.605113636363636	0.56362668848305	0.334547994665784	0.0413
conj	0.7	1.01852807400873	0.391477630851997	0.0047
csubj	0.680851063829787	0.708131500729952	0.38441530170468	0.0363
dep	0.657894736842105	0.679389052247385	0.347363129376114	0.027
det	0.504901960784314	0.179441375890095	0.194987493543647	0.1692
discourse	0.407142857142857	-0.423815596634869	0.304283894290791	0.9248
dislocated	0.526315789473684	-0.0219828956542335	0.469222880497621	0.4973
expl	0.5	1.03322486549098	2.16257669312493	0.3222
fixed	0.421875	-0.312017375099321	0.286428254675283	0.8747
flat	0.619444444444444	0.469562523254765	0.171519123839185	0.0044
goeswith	0.544117647058823	0.213701420006333	0.384558949105446	0.2684
iobj	0.71195652173913	0.94452379156615	0.516270596337956	0.0367
lifted_case	0.779411764705882	1.44859538885334	0.273201895055418	0
lifted_cc	0.769607843137255	1.19472462027254	0.314813504831283	1e-04
lifted_cop	0.678191489361702	0.760698200076239	0.17127735006714	1e-04
lifted_mark	0.757352941176471	1.13261486566582	0.430203844890982	0.0061
list	0.608333333333333	0.463409954132402	0.284057324675079	0.0449
nmod	0.781862745098039	1.58553496583434	0.318277213633477	0
nsubj	0.134803921568627	-2.58061647491535	0.645649934916071	1
nummod	0.477941176470588	-0.094679423710181	0.142763753037152	0.7561
obl	0.747549019607843	1.09285999928578	0.388475587394403	0.0029
orphan	0.6328125	0.565786216792165	0.30305979850672	0.0327
parataxis	0.659090909090909	0.56318457956437	0.294911437195505	0.0378
reparandum	0.5	0.0290046494912265	0.918410558390442	0.4817
vocative	0.451388888888889	-0.19777621207615	0.215168501538744	0.8386
xcomp	0.910714285714286	3.85425381077906	0.878200156902319	0
