dependency	satisfiedFraction	posteriorMean	posteriorSD	posteriorOpposite
acl	0.705236486486487	1.03825231588102	0.230118344629138	2e-04
advcl	0.720202874049028	1.0426221603198	0.292458242554012	0.0012
advmod	0.344687753446878	-0.853469871955001	0.235524452306527	0.9996
amod	0.555194805194805	0.464166703980903	0.189942827383071	0.0064
appos	0.61301671064204	0.486922932080317	0.187054139022745	0.0068
aux	0.320675105485232	-1.0179966305974	0.394127460985128	0.9918
ccomp	0.815033783783784	1.79410130711776	0.433059712215361	0
compound	0.550751879699248	0.250483760027682	0.239825167003906	0.1362
conj	0.624483043837883	0.511786209214126	0.235845195931705	0.023
csubj	0.663732394366197	0.555163057038369	0.322771163189893	0.0478
dep	0.620239390642002	0.509246683191872	0.207953104248147	0.0117
det	0.542207792207792	0.362608706177922	0.181769861316883	0.02
discourse	0.43957345971564	-0.254867729773957	0.257865234145842	0.8468
dislocated	0.541484716157205	0.0738170162041853	0.388991887950792	0.3987
