dependency	satisfiedFraction
acl	1
advcl	1
advmod	0.6078431
amod	0.9411765
appos	0.9361702
aux	0.1632653
ccomp	1
compound	0.6590909
conj	0.98
csubj	0.9361702
dep	0.6923077
det	0.7843137
discourse	0.2162162
dislocated	0.6315789
expl	0.25
fixed	0.3170732
flat	0.6222222
goeswith	0.7777778
iobj	0.5869565
lifted_case	0.9803922
lifted_cc	0.9803922
lifted_cop	0.9791667
lifted_mark	1
list	0.5294118
nmod	0.9803922
nsubj	0.254902
nummod	0.8431373
obl	0.9803922
orphan	0.8235294
parataxis	0.7272727
reparandum	0.5454545
vocative	0.4864865
xcomp	1
